,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:45.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),0,2
1,1,11:28.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by L. James),,2,2
2,1,11:15.0,,Personal foul by G. Hill (drawn by A. Horford),2,2
3,1,11:07.0,,J. Brown misses 2-pt jump shot from 9 ft,2,2
4,1,11:04.0,Defensive rebound by L. James,,2,2
5,1,11:00.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,5,2
6,1,10:45.0,,J. Tatum misses 2-pt jump shot from 20 ft,5,2
7,1,10:40.0,,Offensive rebound by M. Morris,5,2
8,1,10:39.0,,M. Morris makes 2-pt layup at rim,5,4
9,1,10:21.0,L. James misses 3-pt jump shot from 29 ft,,5,4
10,1,10:18.0,,Defensive rebound by A. Horford,5,4
11,1,10:10.0,,J. Tatum makes 2-pt jump shot from 20 ft (assist by A. Horford),5,6
12,1,9:47.0,L. James misses 2-pt jump shot from 18 ft,,5,6
13,1,9:45.0,,Defensive rebound by J. Brown,5,6
14,1,9:35.0,,K. Irving makes 2-pt jump shot from 16 ft,5,8
15,1,9:13.0,Shooting foul by M. Morris (drawn by L. James),,5,8
16,1,9:13.0,L. James makes free throw 1 of 2,,6,8
17,1,9:13.0,L. James makes free throw 2 of 2,,7,8
18,1,9:02.0,,A. Horford makes 2-pt jump shot from 11 ft (assist by K. Irving),7,10
19,1,8:49.0,Shooting foul by J. Tatum (drawn by C. Osman),,7,10
20,1,8:49.0,C. Osman makes free throw 1 of 2,,8,10
21,1,8:49.0,C. Osman misses free throw 2 of 2,,8,10
22,1,8:49.0,,Defensive rebound by J. Brown,8,10
23,1,8:35.0,,M. Morris misses 2-pt layup from 1 ft (block by T. Thompson),8,10
24,1,8:32.0,Defensive rebound by T. Thompson,,8,10
25,1,8:29.0,Shooting foul by J. Brown (drawn by G. Hill),,8,10
26,1,8:29.0,G. Hill makes free throw 1 of 2,,9,10
27,1,8:29.0,G. Hill makes free throw 2 of 2,,10,10
28,1,8:16.0,,K. Irving makes 2-pt jump shot from 15 ft (assist by J. Brown),10,12
29,1,7:52.0,L. James makes 2-pt layup from 1 ft,,12,12
30,1,7:35.0,,J. Brown misses 2-pt layup from 1 ft,12,12
31,1,7:30.0,,Offensive rebound by J. Brown,12,12
32,1,7:23.0,,M. Morris misses 3-pt jump shot from 26 ft,12,12
33,1,7:20.0,Defensive rebound by C. Osman,,12,12
34,1,7:13.0,C. Osman misses 2-pt layup from 4 ft,,12,12
35,1,7:10.0,Offensive rebound by T. Thompson,,12,12
36,1,7:01.0,G. Hill misses 2-pt jump shot from 19 ft,,12,12
37,1,6:58.0,,Defensive rebound by A. Horford,12,12
38,1,6:51.0,,J. Tatum misses 2-pt layup from 1 ft (block by J. Smith),12,12
39,1,6:49.0,Defensive rebound by C. Osman,,12,12
40,1,6:47.0,L. James misses 2-pt layup from 4 ft (block by A. Horford),,12,12
41,1,6:47.0,Offensive rebound by Team,,12,12
42,1,6:47.0,,Boston full timeout,12,12
43,1,6:47.0,,T. Rozier enters the game for J. Tatum,12,12
44,1,6:47.0,,S. Ojeleye enters the game for J. Brown,12,12
45,1,6:47.0,,A. Baynes enters the game for A. Horford,12,12
46,1,6:41.0,J. Smith makes 2-pt dunk at rim (assist by L. James),,14,12
47,1,6:28.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),14,15
48,1,6:21.0,,Offensive charge foul by G. Hill (drawn by K. Irving),14,15
49,1,6:21.0,Turnover by G. Hill (offensive foul),,14,15
50,1,6:10.0,,K. Irving misses 3-pt jump shot from 26 ft,14,15
51,1,6:08.0,Defensive rebound by Team,,14,15
52,1,6:08.0,,Loose ball foul by A. Baynes (drawn by T. Thompson),14,15
