,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:35.0,C. Anthony makes 2-pt jump shot from 9 ft,,2,0
1,1,11:16.0,,T. Warren misses 2-pt jump shot from 12 ft,2,0
2,1,11:14.0,,Offensive rebound by A. Len,2,0
3,1,11:14.0,,A. Len makes 2-pt layup at rim,2,2
4,1,10:56.0,P. George makes 2-pt jump shot from 19 ft,,4,2
5,1,10:39.0,,E. Payton makes 2-pt jump shot from 8 ft,4,4
6,1,10:21.0,R. Westbrook misses 2-pt jump shot from 14 ft,,4,4
7,1,10:17.0,,Defensive rebound by D. Bender,4,4
8,1,10:08.0,,E. Payton makes 2-pt layup at rim (assist by D. Booker),4,6
9,1,9:47.0,P. George misses 2-pt layup from 2 ft (block by A. Len),,4,6
10,1,9:45.0,,Defensive rebound by D. Bender,4,6
11,1,9:38.0,,T. Warren misses 2-pt jump shot from 7 ft,4,6
12,1,9:36.0,Defensive rebound by S. Adams,,4,6
13,1,9:26.0,C. Anthony makes 2-pt jump shot from 7 ft,,6,6
14,1,9:19.0,,Turnover by E. Payton (bad pass; steal by S. Adams),6,6
15,1,9:06.0,S. Adams misses 2-pt hook shot from 6 ft (block by A. Len),,6,6
16,1,9:04.0,,Defensive rebound by A. Len,6,6
17,1,8:57.0,,T. Warren makes 2-pt jump shot from 12 ft (assist by D. Booker),6,8
18,1,8:34.0,C. Anthony misses 2-pt jump shot from 10 ft,,6,8
19,1,8:32.0,,Defensive rebound by E. Payton,6,8
20,1,8:29.0,,D. Booker misses 3-pt jump shot from 25 ft,6,8
21,1,8:25.0,,Offensive rebound by D. Booker,6,8
22,1,8:23.0,,D. Booker makes 2-pt jump shot from 7 ft,6,10
23,1,8:23.0,Oklahoma City full timeout,,6,10
24,1,8:06.0,C. Anthony misses 2-pt jump shot from 2 ft (block by A. Len),,6,10
25,1,8:02.0,Offensive rebound by R. Westbrook,,6,10
26,1,8:01.0,P. George misses 3-pt jump shot from 26 ft,,6,10
27,1,8:01.0,,Defensive rebound by T. Warren,6,10
28,1,7:58.0,,D. Booker makes 2-pt layup at rim (assist by T. Warren),6,12
29,1,7:58.0,Violation by J. Huestis (def goaltending),,6,12
30,1,7:43.0,J. Huestis misses 3-pt jump shot from 23 ft,,6,12
31,1,7:41.0,Offensive rebound by R. Westbrook,,6,12
32,1,7:41.0,Shooting foul by E. Payton (drawn by R. Westbrook),,6,12
33,1,7:41.0,R. Westbrook makes free throw 1 of 2,,7,12
34,1,7:41.0,R. Westbrook makes free throw 2 of 2,,8,12
35,1,7:30.0,,E. Payton misses 2-pt layup at rim,8,12
36,1,7:28.0,Defensive rebound by C. Anthony,,8,12
37,1,7:22.0,C. Anthony misses 3-pt jump shot from 25 ft,,8,12
38,1,7:18.0,,Defensive rebound by D. Bender,8,12
39,1,7:14.0,,D. Booker makes 3-pt jump shot from 25 ft,8,15
40,1,7:03.0,P. George misses 3-pt jump shot from 24 ft,,8,15
41,1,6:57.0,Offensive rebound by R. Westbrook,,8,15
42,1,6:50.0,J. Huestis makes 2-pt dunk at rim (assist by R. Westbrook),,10,15
43,1,6:50.0,Shooting foul by A. Len (drawn by J. Huestis),,10,15
44,1,6:50.0,J. Huestis makes free throw 1 of 1,,11,15
45,1,6:33.0,,T. Warren misses 2-pt jump shot from 12 ft,11,15
46,1,6:30.0,Defensive rebound by P. George,,11,15
47,1,6:24.0,Personal foul by D. Bender (drawn by S. Adams),,11,15
48,1,6:18.0,R. Westbrook makes 2-pt layup at rim,,13,15
49,1,6:04.0,,E. Payton misses 2-pt layup from 1 ft (block by J. Huestis),13,15
50,1,6:04.0,,Offensive rebound by Team,13,15
51,1,6:02.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Payton),13,18
52,1,5:51.0,R. Westbrook misses 2-pt jump shot from 13 ft,,13,18
53,1,5:51.0,,Defensive rebound by D. Booker,13,18
54,1,5:46.0,,T. Warren makes 2-pt layup at rim (assist by D. Booker),13,20
55,1,5:26.0,Turnover by P. George (bad pass),,13,20
56,1,5:16.0,,D. Booker misses 3-pt jump shot from 22 ft,13,20
57,1,5:13.0,Defensive rebound by C. Anthony,,13,20
58,1,5:06.0,C. Anthony makes 2-pt jump shot from 19 ft,,15,20
59,1,4:48.0,,Shooting foul by C. Anthony (drawn by T. Warren),15,20
60,1,4:48.0,,T. Warren makes free throw 1 of 2,15,21
61,1,4:48.0,T. Ferguson enters the game for J. Huestis,,15,21
62,1,4:48.0,,T. Warren makes free throw 2 of 2,15,22
63,1,4:35.0,T. Ferguson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,18,22
64,1,4:20.0,,D. Booker makes 2-pt jump shot from 8 ft,18,24
65,1,4:20.0,,Shooting foul by T. Ferguson (drawn by D. Booker),18,24
66,1,4:20.0,,D. Booker makes free throw 1 of 1,18,25
67,1,4:09.0,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),,20,25
68,1,3:51.0,,T. Warren misses 2-pt jump shot from 10 ft,20,25
69,1,3:49.0,Defensive rebound by S. Adams,,20,25
