,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:43.0,,M. Turner misses 2-pt jump shot from 16 ft,0,0
1,1,11:40.0,Defensive rebound by J. Holiday,,0,0
2,1,11:33.0,Personal foul by M. Turner (drawn by D. Cousins),,0,0
3,1,11:21.0,E. Moore misses 2-pt layup at rim,,0,0
4,1,11:19.0,Offensive rebound by E. Moore,,0,0
5,1,11:18.0,E. Moore makes 2-pt layup from 1 ft,,2,0
6,1,11:07.0,,Personal foul by D. Cousins (drawn by B. Bogdanović),2,0
7,1,10:58.0,,M. Turner misses 2-pt jump shot from 11 ft,2,0
8,1,10:55.0,Defensive rebound by A. Davis,,2,0
9,1,10:45.0,D. Cousins makes 3-pt jump shot from 27 ft (assist by E. Moore),,5,0
10,1,10:28.0,,V. Oladipo misses 2-pt jump shot from 18 ft,5,0
11,1,10:27.0,,Offensive rebound by M. Turner,5,0
12,1,10:17.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,5,2
13,1,9:51.0,D. Cousins misses 2-pt jump shot from 13 ft,,5,2
14,1,9:48.0,Offensive rebound by A. Davis,,5,2
15,1,9:46.0,A. Davis makes 2-pt jump shot from 9 ft,,7,2
16,1,9:29.0,,T. Young makes 2-pt hook shot from 8 ft,7,4
17,1,9:15.0,J. Holiday misses 2-pt jump shot from 8 ft,,7,4
18,1,9:12.0,,Defensive rebound by M. Turner,7,4
19,1,9:03.0,,T. Young makes 3-pt jump shot from 26 ft (assist by V. Oladipo),7,7
20,1,8:51.0,Turnover by J. Holiday (step out of bounds),,7,7
21,1,8:35.0,,M. Turner misses 3-pt jump shot from 27 ft,7,7
22,1,8:31.0,,Offensive rebound by T. Young,7,7
23,1,8:30.0,,D. Collison misses 3-pt jump shot from 26 ft,7,7
24,1,8:26.0,Defensive rebound by A. Davis,,7,7
25,1,8:19.0,A. Davis makes 3-pt jump shot from 26 ft (assist by D. Cousins),,10,7
26,1,8:02.0,,B. Bogdanović makes 2-pt layup at rim,10,9
27,1,7:53.0,D. Cousins misses 2-pt jump shot from 6 ft (block by M. Turner),,10,9
28,1,7:50.0,,Defensive rebound by D. Collison,10,9
29,1,7:49.0,,V. Oladipo makes 2-pt dunk at rim (assist by D. Collison),10,11
30,1,7:33.0,Shooting foul by T. Young (drawn by A. Davis),,10,11
31,1,7:33.0,A. Davis misses free throw 1 of 2,,10,11
32,1,7:33.0,Offensive rebound by Team,,10,11
33,1,7:33.0,A. Davis makes free throw 2 of 2,,11,11
34,1,7:23.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by V. Oladipo),11,14
35,1,7:11.0,A. Davis makes 2-pt layup from 1 ft,,13,14
36,1,6:55.0,,Shooting foul by J. Holiday (drawn by M. Turner),13,14
37,1,6:55.0,,Indiana full timeout,13,14
38,1,6:55.0,,M. Turner makes free throw 1 of 2,13,15
39,1,6:55.0,,M. Turner makes free throw 2 of 2,13,16
40,1,6:41.0,A. Davis misses 2-pt hook shot from 5 ft,,13,16
41,1,6:40.0,,Defensive rebound by M. Turner,13,16
42,1,6:40.0,,Personal foul by D. Cousins (drawn by M. Turner),13,16
43,1,6:40.0,T. Allen enters the game for D. Cousins,,13,16
44,1,6:25.0,,M. Turner makes 2-pt layup from 1 ft,13,18
45,1,6:19.0,T. Allen makes 2-pt layup from 3 ft,,15,18
46,1,6:03.0,,V. Oladipo makes 2-pt dunk at rim,15,20
47,1,5:51.0,Turnover by J. Holiday (bad pass; steal by B. Bogdanović),,15,20
48,1,5:41.0,,Shooting foul by E. Moore (drawn by V. Oladipo),15,20
49,1,5:41.0,,V. Oladipo makes free throw 1 of 2,15,21
50,1,5:41.0,,V. Oladipo makes free throw 2 of 2,15,22
51,1,5:30.0,E. Moore misses 2-pt layup from 1 ft,,15,22
52,1,5:30.0,Offensive rebound by Team,,15,22
53,1,5:30.0,,Loose ball foul by V. Oladipo (drawn by A. Davis),15,22
54,1,5:25.0,A. Davis makes 2-pt jump shot from 17 ft,,17,22
55,1,4:58.0,,D. Collison misses 3-pt jump shot from 27 ft,17,22
56,1,4:57.0,,Offensive rebound by Team,17,22
57,1,4:57.0,,Turnover by Team (shot clock),17,22
58,1,4:46.0,T. Allen misses 2-pt jump shot from 21 ft,,17,22
59,1,4:43.0,,Defensive rebound by T. Young,17,22
60,1,4:37.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,17,22
61,1,4:36.0,,Offensive rebound by M. Turner,17,22
62,1,4:36.0,,Shooting foul by J. Holiday (drawn by M. Turner),17,22
63,1,4:36.0,,M. Turner makes free throw 1 of 2,17,23
64,1,4:36.0,,L. Stephenson enters the game for B. Bogdanović,17,23
65,1,4:36.0,J. Nelson enters the game for J. Holiday,,17,23
66,1,4:36.0,,M. Turner makes free throw 2 of 2,17,24
67,1,4:23.0,E. Moore makes 3-pt jump shot from 22 ft (assist by A. Davis),,20,24
68,1,4:13.0,,V. Oladipo makes 2-pt jump shot from 17 ft,20,26
69,1,4:07.0,Personal foul by L. Stephenson (drawn by T. Allen),,20,26
70,1,4:07.0,,C. Joseph enters the game for D. Collison,20,26
71,1,3:57.0,D. Cunningham misses 3-pt jump shot from 23 ft,,20,26
72,1,3:51.0,,Defensive rebound by L. Stephenson,20,26
73,1,3:45.0,,Turnover by M. Turner (bad pass; steal by T. Allen),20,26
74,1,3:40.0,Personal foul by V. Oladipo (drawn by A. Davis),,20,26
75,1,3:40.0,A. Davis makes free throw 1 of 2,,21,26
76,1,3:40.0,,J. Young enters the game for V. Oladipo,21,26
77,1,3:40.0,,T. Leaf enters the game for T. Young,21,26
78,1,3:40.0,D. Miller enters the game for D. Cunningham,,21,26
79,1,3:40.0,A. Davis makes free throw 2 of 2,,22,26
80,1,3:27.0,,M. Turner misses 2-pt jump shot from 18 ft,22,26
81,1,3:23.0,,Offensive rebound by T. Leaf,22,26
82,1,3:18.0,,C. Joseph misses 2-pt layup from 1 ft (block by J. Nelson),22,26
83,1,3:18.0,,Offensive rebound by Team,22,26
84,1,3:16.0,,C. Joseph makes 2-pt jump shot from 14 ft (assist by L. Stephenson),22,28
85,1,3:03.0,Shooting foul by T. Leaf (drawn by D. Miller),,22,28
86,1,3:03.0,D. Miller makes free throw 1 of 1,,26,28
87,1,3:02.0,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Nelson),,25,28
88,1,2:48.0,,Shooting foul by T. Allen (drawn by L. Stephenson),25,28
89,1,2:48.0,New Orleans full timeout,,25,28
90,1,2:48.0,,A. Jefferson enters the game for M. Turner,25,28
91,1,2:48.0,I. Clark enters the game for E. Moore,,25,28
92,1,2:48.0,,L. Stephenson makes free throw 1 of 2,26,29
93,1,2:48.0,,L. Stephenson misses free throw 2 of 2,26,29
94,1,2:45.0,Defensive rebound by A. Davis,,26,29
95,1,2:31.0,D. Miller makes 2-pt jump shot from 7 ft,,28,29
96,1,2:07.0,,T. Leaf misses 2-pt layup from 1 ft,28,29
97,1,2:05.0,Defensive rebound by A. Davis,,28,29
98,1,1:53.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Nelson),,30,29
99,1,1:28.0,,J. Young makes 2-pt jump shot from 18 ft,30,31
100,1,1:15.0,Personal foul by A. Jefferson (drawn by J. Nelson),,30,31
101,1,1:15.0,J. Nelson makes free throw 1 of 2,,31,31
102,1,1:15.0,J. Nelson makes free throw 2 of 2,,32,31
103,1,0:56.0,,C. Joseph makes 2-pt jump shot from 18 ft (assist by A. Jefferson),32,33
104,1,0:46.0,J. Nelson makes 2-pt jump shot from 14 ft,,34,33
105,1,0:31.0,,A. Jefferson misses 2-pt jump shot from 17 ft,34,33
106,1,0:28.0,,Offensive rebound by L. Stephenson,34,33
107,1,0:27.0,,L. Stephenson makes 2-pt layup from 2 ft,34,35
108,1,0:08.0,Offensive foul by A. Davis (drawn by J. Young),,34,35
109,1,0:08.0,Turnover by A. Davis (offensive foul),,34,35
110,1,0:01.0,,T. Leaf makes 2-pt jump shot from 21 ft (assist by C. Joseph),34,37
111,1,0:00.0,I. Clark misses 3-pt jump shot from 73 ft,,34,37
112,1,0:00.0,Offensive rebound by Team,,34,37
113,2,11:50.0,D. Miller misses 3-pt jump shot from 27 ft,,34,37
114,2,11:46.0,,Defensive rebound by L. Stephenson,34,37
115,2,11:41.0,,Turnover by L. Stephenson (bad pass; steal by J. Nelson),34,37
116,2,11:29.0,D. Cousins misses 2-pt jump shot from 18 ft,,34,37
117,2,11:25.0,,Defensive rebound by L. Stephenson,34,37
118,2,11:15.0,,L. Stephenson makes 2-pt jump shot from 16 ft,34,39
119,2,11:05.0,Turnover by J. Holiday (bad pass),,34,39
120,2,10:56.0,,L. Stephenson makes 2-pt layup from 1 ft,34,41
121,2,10:49.0,J. Holiday makes 2-pt layup from 1 ft,,36,41
122,2,10:23.0,,J. Young makes 2-pt layup from 1 ft,36,43
123,2,10:11.0,D. Cousins misses 3-pt jump shot from 26 ft,,36,43
124,2,10:08.0,Offensive rebound by J. Nelson,,36,43
125,2,10:06.0,I. Clark misses 3-pt jump shot from 25 ft,,36,43
126,2,10:06.0,Offensive rebound by Team,,36,43
127,2,10:05.0,,Loose ball foul by T. Leaf (drawn by D. Cousins),36,43
128,2,9:59.0,J. Holiday makes 2-pt dunk from 1 ft,,38,43
129,2,9:46.0,,L. Stephenson misses 2-pt jump shot from 19 ft,38,43
130,2,9:42.0,,Offensive rebound by J. Young,38,43
131,2,9:32.0,,Shooting foul by J. Holiday (drawn by L. Stephenson),38,43
132,2,9:32.0,,L. Stephenson makes free throw 1 of 2,38,44
133,2,9:32.0,,T. Young enters the game for T. Leaf,38,44
134,2,9:32.0,E. Moore enters the game for J. Holiday,,38,44
135,2,9:32.0,,L. Stephenson makes free throw 2 of 2,38,45
136,2,9:18.0,J. Nelson makes 3-pt jump shot from 23 ft (assist by D. Cousins),,41,45
137,2,8:50.0,,L. Stephenson misses 2-pt jump shot from 15 ft,41,45
138,2,8:48.0,Defensive rebound by D. Cousins,,41,45
139,2,8:46.0,Turnover by I. Clark (out of bounds lost ball),,41,45
140,2,8:46.0,,D. Collison enters the game for J. Young,41,45
141,2,8:38.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by C. Joseph),41,48
142,2,8:21.0,D. Miller makes 3-pt jump shot from 26 ft,,44,48
143,2,8:07.0,,T. Young misses 2-pt hook shot from 7 ft,44,48
144,2,8:03.0,Defensive rebound by J. Nelson,,44,48
145,2,7:59.0,J. Nelson misses 3-pt jump shot from 26 ft,,44,48
146,2,7:57.0,,Defensive rebound by A. Jefferson,44,48
147,2,7:44.0,,A. Jefferson makes 2-pt hook shot from 4 ft,44,50
