,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,W. Johnson misses 3-pt jump shot from 22 ft,0,0
1,1,11:39.0,Defensive rebound by J. Murray,,0,0
2,1,11:37.0,Personal foul by A. Rivers (drawn by J. Murray),,0,0
3,1,11:29.0,P. Millsap misses 3-pt jump shot from 24 ft,,0,0
4,1,11:27.0,,Defensive rebound by Team,0,0
5,1,11:16.0,,T. Wallace makes 2-pt jump shot from 4 ft (assist by T. Harris),0,2
6,1,11:16.0,Violation by P. Millsap (def goaltending),,0,2
7,1,10:54.0,W. Barton makes 2-pt jump shot from 1 ft (assist by J. Murray),,2,2
8,1,10:40.0,,T. Harris misses 2-pt jump shot from 19 ft,2,2
9,1,10:40.0,Defensive rebound by Team,,2,2
10,1,10:40.0,,Loose ball foul by D. Jordan (drawn by P. Millsap),2,2
11,1,10:27.0,Turnover by P. Millsap (lost ball; steal by T. Harris),,2,2
12,1,10:22.0,,T. Wallace makes 2-pt layup from 1 ft (assist by T. Harris),2,4
13,1,10:06.0,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Jokić),,4,4
14,1,9:50.0,,T. Harris misses 3-pt jump shot from 24 ft,4,4
15,1,9:46.0,,Offensive rebound by D. Jordan,4,4
16,1,9:44.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by A. Rivers),4,7
17,1,9:26.0,J. Murray makes 2-pt jump shot from 20 ft (assist by P. Millsap),,6,7
18,1,9:09.0,,W. Johnson makes 2-pt jump shot from 19 ft,6,9
19,1,8:48.0,N. Jokić makes 3-pt jump shot from 23 ft (assist by P. Millsap),,9,9
20,1,8:24.0,,A. Rivers misses 3-pt jump shot from 24 ft,9,9
21,1,8:24.0,Defensive rebound by Team,,9,9
22,1,8:12.0,Personal foul by W. Johnson (drawn by J. Murray),,9,9
23,1,8:06.0,J. Murray makes 2-pt jump shot from 12 ft,,11,9
