,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
0,1,11:42.0,P. George misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Johnson,0,0
2,1,11:28.0,,J. Johnson misses 2-pt layup from 2 ft,0,0
3,1,11:25.0,Defensive rebound by S. Adams,,0,0
4,1,11:21.0,S. Adams misses 2-pt layup from 3 ft (block by H. Whiteside),,0,0
5,1,11:21.0,Offensive rebound by Team,,0,0
6,1,11:12.0,R. Westbrook misses 2-pt jump shot from 14 ft,,0,0
7,1,11:05.0,,Defensive rebound by H. Whiteside,0,0
8,1,10:51.0,,J. Richardson makes 2-pt jump shot from 11 ft (assist by H. Whiteside),0,2
9,1,10:40.0,P. George misses 2-pt jump shot from 12 ft,,0,2
10,1,10:39.0,,Defensive rebound by Team,0,2
11,1,10:39.0,Loose ball foul by P. George (drawn by J. Johnson),,0,2
12,1,10:21.0,,J. Richardson makes 2-pt layup from 1 ft,0,4
13,1,10:09.0,P. George misses 2-pt layup from 1 ft (block by H. Whiteside),,0,4
14,1,10:06.0,,Defensive rebound by H. Whiteside,0,4
15,1,10:04.0,,T. Johnson makes 2-pt layup from 1 ft (assist by G. Dragić),0,6
16,1,9:51.0,Turnover by R. Westbrook (bad pass),,0,6
17,1,9:40.0,,G. Dragić makes 2-pt layup at rim,0,8
18,1,9:39.0,Oklahoma City full timeout,,0,8
19,1,9:22.0,C. Brewer misses 3-pt jump shot from 23 ft,,0,8
20,1,9:18.0,Offensive rebound by C. Brewer,,0,8
21,1,9:06.0,Personal foul by H. Whiteside (drawn by S. Adams),,0,8
22,1,8:58.0,Turnover by R. Westbrook (lost ball; steal by T. Johnson),,0,8
23,1,8:54.0,,J. Richardson makes 2-pt layup from 1 ft,0,10
24,1,8:43.0,R. Westbrook misses 2-pt jump shot from 8 ft,,0,10
25,1,8:41.0,,Defensive rebound by H. Whiteside,0,10
26,1,8:35.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Richardson),0,12
27,1,8:35.0,,Shooting foul by R. Westbrook (drawn by H. Whiteside),0,12
28,1,8:35.0,,H. Whiteside misses free throw 1 of 1,0,12
29,1,8:35.0,Defensive rebound by C. Anthony,,0,12
30,1,8:22.0,P. George misses 3-pt jump shot from 23 ft,,0,12
31,1,8:19.0,,Defensive rebound by H. Whiteside,0,12
32,1,8:11.0,,H. Whiteside misses 2-pt jump shot from 15 ft,0,12
33,1,8:07.0,Defensive rebound by P. George,,0,12
34,1,7:56.0,Shooting foul by J. Johnson (drawn by P. George),,0,12
35,1,7:56.0,P. George misses free throw 1 of 2,,0,12
36,1,7:56.0,Offensive rebound by Team,,0,12
37,1,7:56.0,P. George makes free throw 2 of 2,,1,12
38,1,7:39.0,,J. Richardson makes 2-pt jump shot from 15 ft,1,14
39,1,7:22.0,C. Anthony misses 2-pt jump shot from 21 ft,,1,14
40,1,7:20.0,,Defensive rebound by T. Johnson,1,14
41,1,7:11.0,,J. Johnson makes 2-pt layup from 1 ft,1,16
42,1,6:56.0,Shooting block foul by J. Johnson (drawn by P. George),,1,16
43,1,6:56.0,P. George makes free throw 1 of 2,,2,16
44,1,6:56.0,,J. Winslow enters the game for J. Johnson,2,16
45,1,6:56.0,P. George makes free throw 2 of 2,,3,16
46,1,6:45.0,,G. Dragić makes 2-pt jump shot from 16 ft,3,18
47,1,6:31.0,Shooting foul by H. Whiteside (drawn by C. Anthony),,3,18
48,1,6:31.0,C. Anthony makes free throw 1 of 2,,4,18
49,1,6:31.0,,K. Olynyk enters the game for H. Whiteside,4,18
50,1,6:31.0,C. Anthony makes free throw 2 of 2,,5,18
51,1,6:24.0,,G. Dragić misses 3-pt jump shot from 24 ft,5,18
52,1,6:22.0,Defensive rebound by C. Anthony,,5,18
53,1,6:19.0,Personal foul by G. Dragić (drawn by S. Adams),,5,18
54,1,6:19.0,S. Adams misses free throw 1 of 2,,5,18
55,1,6:19.0,Offensive rebound by Team,,5,18
56,1,6:19.0,S. Adams misses free throw 2 of 2,,5,18
57,1,6:17.0,,Defensive rebound by K. Olynyk,5,18
58,1,5:55.0,,K. Olynyk misses 2-pt hook shot from 6 ft,5,18
59,1,5:54.0,,Offensive rebound by J. Winslow,5,18
