,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,,J. Redick misses 2-pt jump shot from 21 ft,0,0
1,1,11:38.0,Defensive rebound by Team,,0,0
2,1,11:38.0,,Loose ball foul by A. Johnson (drawn by Z. Randolph),0,0
3,1,11:28.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,0,0
4,1,11:23.0,,Defensive rebound by D. Šarić,0,0
5,1,11:17.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),0,3
6,1,11:00.0,B. Bogdanović makes 2-pt jump shot from 22 ft,,2,3
7,1,10:41.0,,J. Redick misses 2-pt jump shot from 17 ft,2,3
8,1,10:37.0,Defensive rebound by W. Cauley-Stein,,2,3
9,1,10:23.0,Z. Randolph makes 2-pt jump shot from 14 ft,,4,3
10,1,10:15.0,,B. Simmons makes 2-pt jump shot from 14 ft,4,5
11,1,10:05.0,W. Cauley-Stein makes 2-pt hook shot from 4 ft (assist by D. Fox),,6,5
12,1,9:57.0,,D. Šarić misses 3-pt jump shot from 26 ft,6,5
13,1,9:53.0,,Offensive rebound by A. Johnson,6,5
14,1,9:46.0,,Personal foul by D. Fox (drawn by B. Simmons),6,5
15,1,9:40.0,,Turnover by B. Simmons (traveling),6,5
16,1,9:22.0,Shooting foul by R. Covington (drawn by W. Cauley-Stein),,6,5
17,1,9:22.0,W. Cauley-Stein misses free throw 1 of 2,,6,5
18,1,9:22.0,Offensive rebound by Team,,6,5
19,1,9:22.0,W. Cauley-Stein misses free throw 2 of 2,,6,5
20,1,9:20.0,,Defensive rebound by D. Šarić,6,5
21,1,9:07.0,,B. Simmons makes 2-pt jump shot from 14 ft,6,7
22,1,8:59.0,D. Fox misses 2-pt jump shot from 6 ft,,6,7
23,1,8:57.0,,Defensive rebound by B. Simmons,6,7
24,1,8:51.0,,Turnover by R. Covington (lost ball; steal by G. Temple),6,7
25,1,8:42.0,W. Cauley-Stein misses 2-pt jump shot from 3 ft,,6,7
26,1,8:40.0,,Defensive rebound by A. Johnson,6,7
27,1,8:27.0,,J. Redick misses 3-pt jump shot from 25 ft,6,7
28,1,8:23.0,Defensive rebound by Z. Randolph,,6,7
29,1,8:13.0,G. Temple misses 2-pt layup from 4 ft,,6,7
30,1,8:13.0,,Defensive rebound by Team,6,7
31,1,8:13.0,,T. Booker enters the game for D. Šarić,6,7
