,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:46.0,,Turnover by A. Baynes (bad pass; steal by J. Holiday),0,0
1,1,11:43.0,Turnover by J. Holiday (bad pass),,0,0
2,1,11:30.0,,M. Morris makes 2-pt jump shot from 8 ft,0,2
3,1,11:14.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by C. Payne),,3,2
4,1,10:59.0,,T. Rozier misses 3-pt jump shot from 24 ft,3,2
5,1,10:56.0,Defensive rebound by D. Nwaba,,3,2
6,1,10:51.0,Shooting foul by J. Brown (drawn by C. Felício),,3,2
7,1,10:51.0,C. Felício makes free throw 1 of 2,,4,2
8,1,10:51.0,C. Felício makes free throw 2 of 2,,5,2
9,1,10:28.0,,J. Brown makes 2-pt jump shot from 14 ft,5,4
10,1,10:10.0,D. Nwaba makes 2-pt hook shot from 9 ft (assist by C. Payne),,7,4
11,1,10:00.0,,J. Brown misses 3-pt jump shot from 24 ft,7,4
12,1,9:57.0,,Offensive rebound by A. Baynes,7,4
13,1,9:55.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by A. Baynes),7,7
14,1,9:34.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by C. Felício),,10,7
15,1,9:22.0,,Turnover by T. Rozier (bad pass; steal by C. Felício),10,7
16,1,9:20.0,Turnover by C. Felício (out of bounds lost ball),,10,7
17,1,9:08.0,,M. Morris misses 3-pt jump shot from 22 ft,10,7
18,1,9:04.0,Defensive rebound by C. Felício,,10,7
19,1,8:49.0,C. Payne makes 3-pt jump shot from 27 ft (assist by J. Holiday),,13,7
20,1,8:32.0,,A. Baynes makes 2-pt layup at rim (assist by M. Morris),13,9
21,1,8:20.0,L. Markkanen misses 2-pt layup from 5 ft,,13,9
22,1,8:16.0,,Defensive rebound by A. Baynes,13,9
23,1,8:08.0,,A. Baynes misses 3-pt jump shot from 24 ft,13,9
24,1,8:06.0,Defensive rebound by C. Felício,,13,9
25,1,7:59.0,C. Payne misses 2-pt jump shot from 8 ft,,13,9
26,1,7:56.0,Offensive rebound by C. Payne,,13,9
27,1,7:55.0,C. Payne makes 2-pt jump shot from 8 ft,,15,9
28,1,7:37.0,,J. Brown makes 2-pt layup from 2 ft (assist by M. Morris),15,11
29,1,7:23.0,D. Nwaba misses 2-pt jump shot from 12 ft,,15,11
30,1,7:21.0,,Defensive rebound by A. Baynes,15,11
31,1,7:16.0,,J. Brown makes 2-pt jump shot from 6 ft,15,13
32,1,7:09.0,Turnover by C. Payne (bad pass; steal by A. Baynes),,15,13
33,1,7:02.0,,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),15,15
34,1,7:02.0,,Shooting foul by D. Nwaba (drawn by J. Brown),15,15
35,1,7:02.0,,J. Brown makes free throw 1 of 1,15,16
36,1,6:47.0,C. Felício misses 2-pt layup from 2 ft (block by G. Yabusele),,15,16
37,1,6:43.0,,Defensive rebound by G. Yabusele,15,16
38,1,6:37.0,,Turnover by T. Rozier (bad pass; steal by D. Nwaba),15,16
39,1,6:28.0,L. Markkanen misses 3-pt jump shot from 27 ft,,15,16
40,1,6:25.0,,Defensive rebound by T. Rozier,15,16
41,1,6:23.0,,Turnover by J. Brown (discontinued dribble),15,16
42,1,6:23.0,,Boston full timeout,15,16
43,1,6:12.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,18,16
44,1,5:56.0,,Personal foul by L. Markkanen (drawn by T. Rozier),18,16
45,1,5:45.0,,G. Yabusele makes 3-pt jump shot from 22 ft (assist by J. Brown),18,19
46,1,5:36.0,D. Nwaba misses 2-pt dunk from 3 ft (block by G. Yabusele),,18,19
47,1,5:35.0,,Defensive rebound by A. Baynes,18,19
48,1,5:35.0,,Personal foul by L. Markkanen (drawn by A. Baynes),18,19
49,1,5:34.0,,G. Monroe enters the game for A. Baynes,18,19
50,1,5:34.0,B. Portis enters the game for L. Markkanen,,18,19
51,1,5:19.0,,M. Morris makes 2-pt jump shot from 17 ft,18,21
52,1,4:50.0,D. Nwaba misses 2-pt layup from 4 ft,,18,21
53,1,4:48.0,Offensive rebound by D. Nwaba,,18,21
54,1,4:47.0,D. Nwaba misses 2-pt layup from 1 ft,,18,21
55,1,4:41.0,Offensive rebound by C. Felício,,18,21
56,1,4:41.0,C. Felício makes 2-pt layup at rim,,20,21
57,1,4:28.0,,T. Rozier misses 3-pt jump shot from 24 ft,20,21
58,1,4:25.0,Defensive rebound by C. Felício,,20,21
59,1,4:14.0,J. Holiday makes 2-pt layup from 1 ft (assist by C. Payne),,22,21
60,1,4:02.0,,T. Rozier makes 2-pt jump shot from 22 ft (assist by G. Monroe),22,23
61,1,3:56.0,,J. Bird enters the game for J. Brown,22,23
62,1,3:56.0,S. Kilpatrick enters the game for D. Nwaba,,22,23
63,1,3:56.0,R. Arcidiacono enters the game for C. Payne,,22,23
64,1,3:53.0,B. Portis misses 2-pt jump shot from 21 ft,,22,23
65,1,3:48.0,,Defensive rebound by G. Yabusele,22,23
66,1,3:40.0,,G. Monroe makes 2-pt jump shot from 14 ft,22,25
67,1,3:22.0,Shooting foul by G. Monroe (drawn by S. Kilpatrick),,22,25
68,1,3:22.0,S. Kilpatrick makes free throw 1 of 2,,23,25
69,1,3:22.0,Ö. Aşık enters the game for C. Felício,,23,25
70,1,3:22.0,S. Kilpatrick makes free throw 2 of 2,,24,25
71,1,3:00.0,,G. Monroe makes 2-pt layup from 2 ft (assist by T. Rozier),24,27
72,1,2:53.0,S. Kilpatrick misses 3-pt jump shot from 22 ft,,24,27
73,1,2:50.0,,Defensive rebound by G. Monroe,24,27
74,1,2:45.0,,Personal foul by R. Arcidiacono (drawn by T. Rozier),24,27
75,1,2:45.0,Chicago full timeout,,24,27
76,1,2:45.0,,S. Ojeleye enters the game for G. Yabusele,24,27
77,1,2:45.0,J. Grant enters the game for J. Holiday,,24,27
78,1,2:36.0,,T. Rozier misses 2-pt jump shot from 5 ft,24,27
79,1,2:34.0,,Offensive rebound by T. Rozier,24,27
80,1,2:32.0,,J. Bird misses 3-pt jump shot from 24 ft,24,27
81,1,2:29.0,Defensive rebound by B. Portis,,24,27
82,1,2:15.0,B. Portis makes 2-pt jump shot from 15 ft (assist by J. Grant),,26,27
83,1,2:00.0,,S. Ojeleye misses 3-pt jump shot from 24 ft,26,27
84,1,1:58.0,Defensive rebound by Ö. Aşık,,26,27
85,1,1:53.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,28,27
86,1,1:30.0,,J. Bird makes 3-pt jump shot from 23 ft (assist by G. Monroe),28,30
87,1,1:15.0,Ö. Aşık misses 2-pt hook shot from 2 ft,,28,30
88,1,1:13.0,,Defensive rebound by G. Monroe,28,30
89,1,1:07.0,,J. Bird misses 2-pt jump shot from 14 ft,28,30
