,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CHARLOTTE_ACTION,CHICAGO_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,,D. Howard makes 2-pt hook shot from 8 ft,0,2
1,1,11:28.0,L. Markkanen misses 2-pt layup from 2 ft,,0,2
2,1,11:22.0,,Defensive rebound by D. Howard,0,2
3,1,11:15.0,,N. Batum misses 2-pt jump shot from 13 ft,0,2
4,1,11:11.0,Defensive rebound by L. Markkanen,,0,2
5,1,10:51.0,K. Dunn misses 2-pt jump shot from 12 ft,,0,2
6,1,10:47.0,,Defensive rebound by M. Kidd-Gilchrist,0,2
7,1,10:40.0,,D. Howard makes 2-pt layup from 5 ft (assist by M. Williams),0,4
8,1,10:31.0,Turnover by R. Lopez (bad pass; steal by D. Howard),,0,4
9,1,10:25.0,,D. Howard misses 2-pt layup from 3 ft,0,4
10,1,10:20.0,Defensive rebound by K. Dunn,,0,4
11,1,10:00.0,R. Lopez misses 2-pt jump shot from 17 ft,,0,4
12,1,9:58.0,,Defensive rebound by D. Howard,0,4
13,1,9:49.0,,N. Batum misses 2-pt layup from 3 ft (block by J. Holiday),0,4
14,1,9:46.0,Defensive rebound by L. Markkanen,,0,4
15,1,9:41.0,J. Holiday makes 2-pt jump shot from 16 ft,,2,4
16,1,9:24.0,,Personal foul by L. Markkanen (drawn by K. Walker),2,4
17,1,9:15.0,,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Holiday),2,4
18,1,9:07.0,K. Dunn makes 2-pt dunk from 1 ft,,4,4
19,1,8:50.0,,Turnover by N. Batum (bad pass; steal by K. Dunn),4,4
20,1,8:39.0,R. Lopez misses 2-pt layup from 1 ft (block by D. Howard),,4,4
21,1,8:29.0,Offensive rebound by L. Markkanen,,4,4
22,1,8:29.0,L. Markkanen makes 2-pt layup at rim,,6,4
23,1,8:26.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 15 ft,6,4
24,1,8:23.0,Defensive rebound by K. Dunn,,6,4
25,1,8:18.0,K. Dunn misses 2-pt jump shot from 16 ft,,6,4
26,1,8:14.0,,Defensive rebound by D. Howard,6,4
27,1,8:09.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),6,7
28,1,8:09.0,,Shooting foul by R. Lopez (drawn by M. Williams),6,7
29,1,8:09.0,,M. Williams makes free throw 1 of 1,6,8
30,1,7:54.0,D. Valentine misses 2-pt jump shot from 17 ft,,6,8
31,1,7:54.0,,Defensive rebound by M. Kidd-Gilchrist,6,8
32,1,7:42.0,,K. Walker misses 3-pt jump shot from 27 ft,6,8
33,1,7:37.0,,Offensive rebound by M. Williams,6,8
34,1,7:36.0,,M. Williams misses 2-pt layup from 1 ft,6,8
35,1,7:36.0,Defensive rebound by L. Markkanen,,6,8
36,1,7:27.0,D. Valentine misses 3-pt jump shot from 26 ft,,6,8
37,1,7:23.0,,Defensive rebound by M. Kidd-Gilchrist,6,8
38,1,7:04.0,,D. Howard misses 2-pt jump shot from 6 ft,6,8
39,1,7:00.0,Defensive rebound by D. Valentine,,6,8
40,1,6:43.0,R. Lopez misses 2-pt jump shot from 5 ft (block by D. Howard),,6,8
41,1,6:40.0,Offensive rebound by D. Valentine,,6,8
42,1,6:38.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,8
43,1,6:33.0,,Defensive rebound by D. Howard,6,8
44,1,6:33.0,,D. Howard makes 2-pt dunk from 1 ft,6,10
45,1,6:33.0,Chicago full timeout,,6,10
46,1,6:10.0,L. Markkanen makes 3-pt jump shot from 24 ft,,9,10
47,1,5:52.0,,M. Kidd-Gilchrist misses 2-pt layup from 6 ft,9,10
48,1,5:48.0,Defensive rebound by L. Markkanen,,9,10
49,1,5:39.0,J. Holiday misses 2-pt jump shot from 17 ft,,9,10
50,1,5:35.0,,Defensive rebound by D. Howard,9,10
51,1,5:33.0,,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist),9,10
52,1,5:33.0,,M. Kidd-Gilchrist misses free throw 1 of 2,9,10
53,1,5:33.0,,Offensive rebound by Team,9,10
54,1,5:33.0,,M. Kidd-Gilchrist misses free throw 2 of 2,9,10
55,1,5:30.0,Defensive rebound by R. Lopez,,9,10
56,1,5:11.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Dunn),,9,10
57,1,5:11.0,K. Dunn makes free throw 1 of 2,,10,10
58,1,5:11.0,D. Nwaba enters the game for D. Valentine,,10,10
59,1,5:11.0,K. Dunn makes free throw 2 of 2,,11,10
60,1,5:00.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),11,13
61,1,4:48.0,K. Dunn misses 2-pt jump shot from 11 ft,,11,13
62,1,4:42.0,Offensive rebound by R. Lopez,,11,13
63,1,4:42.0,R. Lopez makes 2-pt layup at rim,,13,13
64,1,4:29.0,,N. Batum misses 2-pt layup from 2 ft,13,13
65,1,4:24.0,,Offensive rebound by N. Batum,13,13
66,1,4:24.0,,N. Batum makes 2-pt layup at rim,13,15
67,1,4:15.0,R. Lopez misses 2-pt jump shot from 11 ft,,13,15
68,1,4:12.0,,Defensive rebound by M. Williams,13,15
69,1,4:02.0,,D. Howard makes 2-pt jump shot from 19 ft (assist by N. Batum),13,17
70,1,3:51.0,K. Dunn makes 2-pt jump shot from 11 ft,,15,17
71,1,3:32.0,,M. Williams misses 2-pt layup at rim,15,17
72,1,3:31.0,,Offensive rebound by M. Williams,15,17
73,1,3:31.0,,M. Williams makes 2-pt layup at rim,15,19
74,1,3:31.0,,Shooting foul by D. Nwaba (drawn by M. Williams),15,19
75,1,3:31.0,N. Mirotić enters the game for L. Markkanen,,15,19
76,1,3:31.0,,M. Williams makes free throw 1 of 1,15,20
77,1,3:31.0,,J. Lamb enters the game for M. Kidd-Gilchrist,15,20
78,1,3:19.0,J. Holiday misses 2-pt jump shot from 17 ft,,15,20
79,1,3:15.0,,Defensive rebound by D. Howard,15,20
80,1,3:07.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),15,23
81,1,2:51.0,R. Lopez makes 2-pt jump shot from 6 ft (assist by K. Dunn),,17,23
82,1,2:35.0,,K. Walker misses 2-pt layup from 2 ft,17,23
83,1,2:35.0,,Offensive rebound by M. Williams,17,23
84,1,2:35.0,,M. Williams misses 2-pt layup from 1 ft,17,23
85,1,2:35.0,Defensive rebound by N. Mirotić,,17,23
86,1,2:23.0,K. Dunn makes 2-pt jump shot from 21 ft,,19,23
87,1,2:02.0,,D. Howard misses 2-pt layup from 2 ft (block by D. Nwaba),19,23
88,1,2:00.0,Defensive rebound by R. Lopez,,19,23
89,1,1:57.0,N. Mirotić makes 2-pt layup from 2 ft (assist by D. Nwaba),,21,23
90,1,1:57.0,Shooting foul by K. Walker (drawn by N. Mirotić),,21,23
91,1,1:57.0,,Charlotte full timeout,21,23
92,1,1:57.0,,Technical foul by K. Walker,21,23
93,1,1:57.0,,T. Graham enters the game for M. Williams,21,23
94,1,1:57.0,,M. Monk enters the game for N. Batum,21,23
95,1,1:57.0,,J. O'Bryant enters the game for D. Howard,21,23
96,1,1:57.0,,M. Carter-Williams enters the game for K. Walker,21,23
97,1,1:57.0,J. Grant enters the game for K. Dunn,,21,23
98,1,1:57.0,B. Portis enters the game for R. Lopez,,21,23
99,1,1:57.0,J. Holiday makes technical free throw,,22,23
100,1,1:57.0,N. Mirotić makes free throw 1 of 1,,23,23
101,1,1:32.0,,M. Carter-Williams misses 2-pt layup from 2 ft,23,23
102,1,1:23.0,Defensive rebound by B. Portis,,23,23
103,1,1:22.0,D. Nwaba makes 2-pt layup at rim (assist by J. Grant),,25,23
104,1,1:08.0,,J. Lamb makes 2-pt layup from 2 ft,25,25
105,1,0:54.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,28,25
106,1,0:54.0,Shooting foul by M. Carter-Williams (drawn by J. Holiday),,28,25
107,1,0:54.0,J. Holiday makes free throw 1 of 1,,29,25
108,1,0:32.0,,Turnover by J. O'Bryant (lost ball; steal by J. Holiday),29,25
109,1,0:23.0,B. Portis makes 2-pt jump shot from 7 ft (assist by J. Holiday),,31,25
110,1,0:02.0,,M. Carter-Williams misses 2-pt layup from 3 ft (block by N. Mirotić),31,25
111,1,0:02.0,,Offensive rebound by Team,31,25
112,1,0:00.0,,J. Lamb misses 2-pt jump shot from 15 ft,31,25
113,1,0:00.0,,Offensive rebound by Team,31,25
114,2,11:46.0,D. Nwaba misses 2-pt layup from 1 ft,,31,25
115,2,11:46.0,Offensive rebound by Team,,31,25
116,2,11:44.0,P. Zipser misses 2-pt jump shot from 14 ft,,31,25
117,2,11:32.0,,Defensive rebound by T. Graham,31,25
118,2,11:30.0,,Offensive foul by T. Graham (drawn by P. Zipser),31,25
119,2,11:30.0,,Turnover by T. Graham (offensive foul),31,25
120,2,11:16.0,D. Nwaba misses 2-pt layup from 2 ft (block by J. Lamb),,31,25
121,2,11:13.0,,Defensive rebound by M. Monk,31,25
122,2,11:04.0,,T. Graham makes 3-pt jump shot from 25 ft,31,28
123,2,10:47.0,Turnover by J. Grant (bad pass; steal by J. O'Bryant),,31,28
124,2,10:46.0,,Personal foul by N. Mirotić (drawn by J. O'Bryant),31,28
125,2,10:46.0,,J. O'Bryant makes clear path free throw 2 of 2,31,29
126,2,10:46.0,,J. O'Bryant makes clear path free throw 1 of 2,31,30
127,2,10:40.0,,J. Lamb misses 3-pt jump shot from 25 ft,31,30
128,2,10:36.0,Defensive rebound by B. Portis,,31,30
129,2,10:28.0,N. Mirotić misses 3-pt jump shot from 25 ft,,31,30
130,2,10:25.0,,Defensive rebound by M. Monk,31,30
131,2,10:17.0,,M. Carter-Williams misses 2-pt layup from 1 ft,31,30
132,2,10:17.0,,Offensive rebound by Team,31,30
133,2,10:12.0,,J. Lamb misses 3-pt jump shot from 25 ft,31,30
134,2,10:06.0,Defensive rebound by P. Zipser,,31,30
135,2,9:56.0,N. Mirotić misses 2-pt layup from 3 ft,,31,30
136,2,9:53.0,,Defensive rebound by J. Lamb,31,30
137,2,9:47.0,,M. Monk makes 3-pt jump shot from 23 ft (assist by T. Graham),31,33
138,2,9:41.0,Shooting foul by M. Carter-Williams (drawn by D. Nwaba),,31,33
139,2,9:41.0,D. Nwaba makes free throw 1 of 2,,32,33
140,2,9:41.0,D. Nwaba misses free throw 2 of 2,,32,33
141,2,9:41.0,Offensive rebound by Team,,32,33
142,2,9:41.0,,Loose ball foul by T. Graham (drawn by N. Mirotić),32,33
143,2,9:30.0,N. Mirotić misses 2-pt layup from 3 ft (block by J. Lamb),,32,33
144,2,9:28.0,Offensive rebound by Team,,32,33
145,2,9:20.0,N. Mirotić misses 2-pt jump shot from 15 ft,,32,33
146,2,9:10.0,,Defensive rebound by J. O'Bryant,32,33
147,2,9:07.0,,J. O'Bryant misses 3-pt jump shot from 26 ft,32,33
148,2,9:04.0,Defensive rebound by N. Mirotić,,32,33
149,2,8:57.0,Turnover by B. Portis (bad pass; steal by M. Carter-Williams),,32,33
150,2,8:52.0,,Personal foul by B. Portis (drawn by M. Monk),32,33
151,2,8:52.0,,D. Howard enters the game for J. O'Bryant,32,33
152,2,8:52.0,R. Lopez enters the game for N. Mirotić,,32,33
153,2,8:42.0,,M. Monk misses 2-pt jump shot from 21 ft,32,33
154,2,8:38.0,Defensive rebound by P. Zipser,,32,33
155,2,8:30.0,Shooting foul by D. Howard (drawn by R. Lopez),,32,33
156,2,8:30.0,R. Lopez misses free throw 1 of 2,,32,33
157,2,8:30.0,Offensive rebound by Team,,32,33
158,2,8:30.0,R. Lopez makes free throw 2 of 2,,33,33
159,2,8:16.0,,M. Carter-Williams makes 2-pt layup from 2 ft,33,35
160,2,8:07.0,J. Grant makes 2-pt jump shot from 11 ft,,35,35
161,2,7:51.0,,T. Graham misses 2-pt jump shot from 11 ft,35,35
162,2,7:47.0,Defensive rebound by R. Lopez,,35,35
163,2,7:46.0,,N. Batum enters the game for M. Monk,35,35
164,2,7:46.0,,K. Walker enters the game for M. Carter-Williams,35,35
165,2,7:44.0,P. Zipser misses 2-pt jump shot from 15 ft,,35,35
166,2,7:41.0,,Defensive rebound by J. Lamb,35,35
167,2,7:31.0,,J. Lamb makes 2-pt jump shot from 11 ft (assist by N. Batum),35,37
168,2,7:08.0,J. Grant makes 2-pt jump shot from 16 ft,,37,37
169,2,7:03.0,,Personal foul by J. Grant (drawn by K. Walker),37,37
170,2,7:03.0,K. Dunn enters the game for J. Grant,,37,37
171,2,7:03.0,D. Valentine enters the game for D. Nwaba,,37,37
172,2,7:03.0,,M. Kidd-Gilchrist enters the game for J. Lamb,37,37
173,2,7:03.0,,M. Williams enters the game for T. Graham,37,37
174,2,6:51.0,,K. Walker misses 3-pt jump shot from 26 ft,37,37
175,2,6:47.0,Defensive rebound by B. Portis,,37,37
176,2,6:37.0,Offensive foul by B. Portis (drawn by M. Williams),,37,37
177,2,6:37.0,Turnover by B. Portis (offensive foul),,37,37
