,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
0,1,11:39.0,,M. Gortat misses 2-pt hook shot from 7 ft,0,0
1,1,11:37.0,,Offensive rebound by M. Gortat,0,0
2,1,11:37.0,,M. Gortat misses 2-pt hook shot from 3 ft,0,0
3,1,11:35.0,,Offensive rebound by M. Gortat,0,0
4,1,11:30.0,,M. Gortat makes 2-pt hook shot from 4 ft (assist by O. Porter),0,2
5,1,11:12.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by S. Adams),,3,2
6,1,10:56.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by M. Morris),3,4
7,1,10:37.0,C. Anthony misses 3-pt jump shot from 27 ft,,3,4
8,1,10:34.0,,Defensive rebound by T. Satoranský,3,4
9,1,10:24.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by T. Satoranský),3,7
10,1,10:08.0,P. George makes 2-pt jump shot from 18 ft (assist by C. Anthony),,5,7
11,1,10:01.0,,M. Morris makes 2-pt layup at rim (assist by B. Beal),5,9
12,1,10:01.0,Oklahoma City full timeout,,5,9
13,1,9:46.0,R. Westbrook misses 2-pt jump shot from 21 ft,,5,9
14,1,9:42.0,Offensive rebound by T. Ferguson,,5,9
15,1,9:34.0,S. Adams makes 2-pt hook shot from 11 ft (assist by T. Ferguson),,7,9
16,1,9:21.0,,Turnover by B. Beal (bad pass; steal by R. Westbrook),7,9
17,1,9:16.0,P. George misses 2-pt layup from 3 ft,,7,9
18,1,9:13.0,Offensive rebound by R. Westbrook,,7,9
19,1,9:12.0,R. Westbrook misses 2-pt layup from 2 ft,,7,9
20,1,9:12.0,,Defensive rebound by M. Gortat,7,9
21,1,9:01.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Gortat),7,12
22,1,8:46.0,S. Adams misses 2-pt jump shot from 11 ft,,7,12
23,1,8:44.0,Offensive rebound by P. George,,7,12
24,1,8:44.0,Shooting foul by T. Satoranský (drawn by C. Anthony),,7,12
25,1,8:44.0,C. Anthony makes free throw 1 of 2,,8,12
26,1,8:44.0,C. Anthony misses free throw 2 of 2,,8,12
27,1,8:42.0,Offensive rebound by S. Adams,,8,12
28,1,8:39.0,S. Adams makes 2-pt layup from 1 ft,,10,12
