,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,Turnover by S. Napier (out of bounds lost ball),,0,0
1,1,11:29.0,,J. Holiday makes 2-pt layup from 2 ft,0,2
2,1,11:14.0,S. Napier misses 2-pt layup at rim,,0,2
3,1,11:12.0,,Defensive rebound by A. Davis,0,2
4,1,11:04.0,,D. Cousins misses 2-pt layup at rim (block by J. Nurkić),0,2
5,1,11:01.0,,Offensive rebound by A. Davis,0,2
6,1,10:59.0,,A. Davis misses 2-pt layup from 2 ft,0,2
7,1,10:57.0,,Offensive rebound by D. Cousins,0,2
8,1,10:56.0,,D. Cousins misses 2-pt layup from 1 ft,0,2
9,1,10:56.0,Defensive rebound by C. McCollum,,0,2
10,1,10:49.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,2
11,1,10:46.0,,Defensive rebound by D. Cousins,0,2
12,1,10:42.0,,R. Rondo misses 2-pt layup from 1 ft (block by C. McCollum),0,2
13,1,10:42.0,,Offensive rebound by Team,0,2
14,1,10:39.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by R. Rondo),0,5
15,1,10:14.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by C. McCollum),,3,5
16,1,10:05.0,,A. Davis misses 2-pt layup from 1 ft,3,5
17,1,10:02.0,Defensive rebound by J. Nurkić,,3,5
18,1,9:59.0,C. McCollum makes 2-pt jump shot from 19 ft,,5,5
19,1,9:43.0,,D. Cousins misses 3-pt jump shot from 25 ft,5,5
20,1,9:43.0,Defensive rebound by S. Napier,,5,5
21,1,9:33.0,D. Lillard misses 2-pt jump shot from 22 ft,,5,5
22,1,9:33.0,,Defensive rebound by E. Moore,5,5
23,1,9:23.0,,D. Cousins misses 3-pt jump shot from 24 ft,5,5
24,1,9:20.0,Defensive rebound by D. Lillard,,5,5
25,1,9:09.0,A. Aminu misses 2-pt layup from 7 ft,,5,5
26,1,9:06.0,,Defensive rebound by D. Cousins,5,5
27,1,9:05.0,,J. Holiday makes 2-pt layup from 1 ft (assist by D. Cousins),5,7
28,1,8:47.0,J. Nurkić makes 2-pt hook shot from 6 ft,,7,7
29,1,8:37.0,,Turnover by J. Holiday (lost ball; steal by S. Napier),7,7
30,1,8:21.0,J. Nurkić makes 2-pt jump shot from 9 ft (assist by S. Napier),,9,7
31,1,7:57.0,,E. Moore misses 2-pt jump shot from 7 ft,9,7
32,1,7:55.0,Defensive rebound by J. Nurkić,,9,7
33,1,7:41.0,D. Lillard misses 3-pt jump shot from 31 ft,,9,7
34,1,7:38.0,,Defensive rebound by D. Cousins,9,7
35,1,7:36.0,,Turnover by D. Cousins (bad pass; steal by D. Lillard),9,7
36,1,7:31.0,J. Nurkić makes 2-pt jump shot from 10 ft (assist by D. Lillard),,11,7
37,1,7:24.0,,J. Holiday makes 2-pt dunk at rim,11,9
38,1,7:11.0,J. Nurkić makes 2-pt layup from 2 ft (assist by C. McCollum),,13,9
39,1,7:11.0,Shooting foul by J. Holiday (drawn by J. Nurkić),,13,9
40,1,7:11.0,J. Nurkić makes free throw 1 of 1,,14,9
41,1,7:00.0,,A. Davis makes 2-pt jump shot from 7 ft,14,11
42,1,6:41.0,S. Napier makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,17,11
43,1,6:22.0,,E. Moore misses 2-pt jump shot from 22 ft,17,11
44,1,6:19.0,Defensive rebound by A. Aminu,,17,11
