,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:46.0,Offensive charge foul by R. Hollis-Jefferson (drawn by K. Love),,0,0
1,1,11:46.0,,Turnover by R. Hollis-Jefferson (offensive foul),0,0
2,1,11:34.0,K. Love misses 2-pt layup from 1 ft (block by D. Russell),,0,0
3,1,11:33.0,K. Love misses 2-pt layup from 1 ft,,0,0
4,1,11:33.0,Offensive rebound by K. Love,,0,0
5,1,11:32.0,Offensive rebound by K. Love,,0,0
6,1,11:31.0,K. Love misses 2-pt hook shot from 1 ft (block by J. Allen),,0,0
7,1,11:29.0,Offensive rebound by G. Hill,,0,0
8,1,11:23.0,G. Hill misses 3-pt jump shot from 26 ft,,0,0
9,1,11:23.0,,Defensive rebound by R. Hollis-Jefferson,0,0
10,1,11:07.0,,D. Russell makes 3-pt jump shot from 25 ft,0,3
11,1,10:38.0,L. Nance misses 2-pt layup from 2 ft,,0,3
12,1,10:36.0,,Defensive rebound by R. Hollis-Jefferson,0,3
13,1,10:29.0,,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson),0,3
14,1,10:29.0,,R. Hollis-Jefferson misses free throw 1 of 2,0,3
15,1,10:29.0,,Offensive rebound by Team,0,3
16,1,10:29.0,,R. Hollis-Jefferson makes free throw 2 of 2,0,4
17,1,10:24.0,Personal foul by D. Russell (drawn by J. Calderón),,0,4
18,1,10:22.0,L. Nance misses 2-pt jump shot from 20 ft,,0,4
19,1,10:22.0,,Defensive rebound by A. Crabbe,0,4
20,1,10:13.0,,R. Hollis-Jefferson misses 2-pt jump shot from 19 ft,0,4
21,1,10:10.0,Defensive rebound by L. James,,0,4
22,1,9:57.0,Turnover by L. James (bad pass; steal by J. Allen),,0,4
23,1,9:53.0,,Turnover by J. Allen (traveling),0,4
24,1,9:41.0,L. Nance misses 2-pt layup from 1 ft,,0,4
25,1,9:41.0,Offensive rebound by J. Calderón,,0,4
26,1,9:38.0,J. Calderón misses 2-pt layup at rim,,0,4
27,1,9:36.0,,Defensive rebound by D. Carroll,0,4
28,1,9:18.0,,D. Carroll makes 2-pt jump shot from 22 ft (assist by D. Russell),0,6
29,1,9:09.0,L. James makes 2-pt layup at rim (assist by J. Calderón),,2,6
30,1,8:51.0,,A. Crabbe misses 3-pt jump shot from 24 ft,2,6
31,1,8:51.0,Defensive rebound by L. James,,2,6
32,1,8:44.0,L. James makes 2-pt layup from 3 ft,,4,6
33,1,8:31.0,,Shooting foul by L. James (drawn by D. Carroll),4,6
34,1,8:31.0,,D. Carroll makes free throw 1 of 2,4,7
35,1,8:31.0,,D. Carroll makes free throw 2 of 2,4,8
36,1,8:20.0,L. James makes 2-pt jump shot from 22 ft,,6,8
37,1,8:04.0,,D. Russell misses 2-pt jump shot from 14 ft,6,8
38,1,8:01.0,Defensive rebound by K. Love,,6,8
39,1,7:54.0,Shooting foul by A. Crabbe (drawn by L. Nance),,6,8
40,1,7:54.0,L. Nance misses free throw 1 of 2,,6,8
41,1,7:54.0,Offensive rebound by Team,,6,8
42,1,7:54.0,L. Nance misses free throw 2 of 2,,6,8
43,1,7:51.0,,Defensive rebound by D. Carroll,6,8
44,1,7:38.0,,R. Hollis-Jefferson misses 2-pt jump shot from 14 ft,6,8
45,1,7:34.0,Defensive rebound by K. Love,,6,8
46,1,7:27.0,G. Hill misses 3-pt jump shot from 23 ft,,6,8
47,1,7:27.0,,Defensive rebound by R. Hollis-Jefferson,6,8
48,1,7:18.0,,D. Russell misses 3-pt jump shot from 22 ft,6,8
49,1,7:15.0,Defensive rebound by L. James,,6,8
50,1,7:07.0,J. Calderón makes 3-pt jump shot from 24 ft (assist by K. Love),,9,8
51,1,7:05.0,,Brooklyn full timeout,9,8
52,1,6:46.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by A. Crabbe),9,11
53,1,6:32.0,K. Love makes 2-pt hook shot from 6 ft (assist by L. James),,11,11
54,1,6:17.0,,Shooting foul by L. Nance (drawn by D. Carroll),11,11
55,1,6:17.0,,D. Carroll makes free throw 1 of 2,11,12
56,1,6:17.0,,D. Carroll makes free throw 2 of 2,11,13
57,1,6:09.0,Offensive foul by J. Calderón (drawn by D. Carroll),,11,13
58,1,6:09.0,Turnover by J. Calderón (offensive foul),,11,13
59,1,6:09.0,,S. Dinwiddie enters the game for D. Carroll,11,13
60,1,6:09.0,,D. Cunningham enters the game for J. Allen,11,13
61,1,6:09.0,R. Hood enters the game for L. Nance,,11,13
62,1,5:50.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Hill),11,13
63,1,5:49.0,Personal foul by D. Russell (drawn by G. Hill),,11,13
64,1,5:27.0,K. Love misses 2-pt layup at rim,,11,13
65,1,5:25.0,,Defensive rebound by A. Crabbe,11,13
66,1,5:18.0,,D. Russell misses 2-pt layup from 1 ft,11,13
67,1,5:15.0,Defensive rebound by K. Love,,11,13
68,1,5:09.0,K. Love makes 3-pt jump shot from 25 ft (assist by R. Hood),,14,13
69,1,4:46.0,,D. Cunningham misses 3-pt jump shot from 22 ft,14,13
70,1,4:45.0,Defensive rebound by Team,,14,13
71,1,4:45.0,J. Clarkson enters the game for J. Calderón,,14,13
72,1,4:31.0,R. Hood makes 3-pt jump shot from 24 ft (assist by L. James),,17,13
73,1,4:13.0,,A. Crabbe misses 3-pt jump shot from 24 ft,17,13
74,1,4:11.0,Defensive rebound by L. James,,17,13
75,1,4:02.0,L. James misses 2-pt layup from 1 ft,,17,13
76,1,4:00.0,Offensive rebound by L. James,,17,13
77,1,3:59.0,L. James makes 2-pt layup from 2 ft,,19,13
78,1,3:45.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),19,16
79,1,3:33.0,Turnover by K. Love (bad pass; steal by A. Crabbe),,19,16
80,1,3:28.0,,D. Russell misses 3-pt jump shot from 24 ft,19,16
81,1,3:24.0,Defensive rebound by R. Hood,,19,16
82,1,3:17.0,Personal foul by A. Crabbe (drawn by K. Love),,19,16
83,1,3:17.0,,J. Harris enters the game for D. Russell,19,16
84,1,3:17.0,,C. LeVert enters the game for R. Hollis-Jefferson,19,16
85,1,3:17.0,,D. Carroll enters the game for A. Crabbe,19,16
86,1,3:17.0,J. Smith enters the game for K. Love,,19,16
87,1,3:17.0,T. Thompson enters the game for G. Hill,,19,16
88,1,3:09.0,R. Hood misses 2-pt jump shot from 23 ft,,19,16
89,1,3:06.0,,Defensive rebound by D. Cunningham,19,16
90,1,2:50.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by C. LeVert),19,19
91,1,2:40.0,Cleveland full timeout,,19,19
92,1,2:27.0,L. James misses 2-pt jump shot from 14 ft,,19,19
93,1,2:25.0,Offensive rebound by L. James,,19,19
94,1,2:22.0,L. James makes 2-pt layup from 3 ft,,21,19
95,1,2:03.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,21,22
96,1,2:03.0,,Shooting foul by T. Thompson (drawn by S. Dinwiddie),21,22
97,1,2:03.0,,S. Dinwiddie makes free throw 1 of 1,21,23
98,1,1:45.0,J. Smith makes 2-pt jump shot from 18 ft,,23,23
99,1,1:26.0,,D. Carroll makes 2-pt layup from 1 ft (assist by J. Harris),23,25
100,1,1:16.0,L. James misses 3-pt jump shot from 24 ft,,23,25
101,1,1:13.0,,Defensive rebound by S. Dinwiddie,23,25
102,1,1:00.0,,D. Carroll misses 3-pt jump shot from 23 ft,23,25
103,1,0:57.0,Defensive rebound by T. Thompson,,23,25
104,1,0:51.0,J. Clarkson misses 2-pt jump shot from 16 ft,,23,25
105,1,0:51.0,,Defensive rebound by C. LeVert,23,25
106,1,0:42.0,,Shooting foul by J. Smith (drawn by S. Dinwiddie),23,25
107,1,0:42.0,,S. Dinwiddie makes free throw 1 of 2,23,26
108,1,0:42.0,,S. Dinwiddie makes free throw 2 of 2,23,27
109,1,0:28.0,R. Hood makes 3-pt jump shot from 23 ft (assist by L. James),,26,27
110,1,0:10.0,Violation by J. Clarkson (def goaltending),,26,27
111,1,0:10.0,,J. Harris makes 2-pt layup from 2 ft (assist by C. LeVert),26,29
112,1,0:04.0,L. James makes 2-pt dunk from 1 ft,,28,29
113,1,0:00.0,,Shooting foul by L. James (drawn by D. Carroll),28,29
114,1,0:00.0,,D. Carroll makes free throw 1 of 2,28,30
115,1,0:00.0,,D. Carroll misses free throw 2 of 2,28,30
116,1,0:00.0,,Offensive rebound by Team,28,30
117,2,11:45.0,J. Smith misses 2-pt jump shot from 18 ft,,28,30
118,2,11:38.0,,Defensive rebound by C. LeVert,28,30
119,2,11:32.0,,J. Harris misses 2-pt layup from 2 ft,28,30
120,2,11:29.0,Defensive rebound by K. Love,,28,30
121,2,11:29.0,Turnover by K. Love (bad pass; steal by S. Dinwiddie),,28,30
122,2,11:26.0,,D. Carroll misses 2-pt dunk from 1 ft,28,30
123,2,11:23.0,,Offensive rebound by S. Dinwiddie,28,30
124,2,11:18.0,,D. Carroll misses 3-pt jump shot from 22 ft,28,30
125,2,11:15.0,Defensive rebound by K. Love,,28,30
126,2,11:09.0,Offensive foul by T. Thompson (drawn by J. Allen),,28,30
127,2,11:09.0,Turnover by T. Thompson (offensive foul),,28,30
128,2,10:52.0,,D. Carroll misses 3-pt jump shot from 25 ft,28,30
129,2,10:47.0,Defensive rebound by J. Smith,,28,30
130,2,10:41.0,K. Love makes 2-pt hook shot from 6 ft (assist by R. Hood),,30,30
131,2,10:26.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by C. LeVert),30,33
132,2,10:12.0,J. Clarkson makes 2-pt jump shot from 16 ft,,32,33
133,2,9:54.0,,S. Dinwiddie misses 2-pt jump shot from 11 ft,32,33
134,2,9:52.0,Defensive rebound by T. Thompson,,32,33
135,2,9:42.0,T. Thompson makes 2-pt jump shot from 14 ft (assist by K. Love),,34,33
136,2,9:21.0,,Shooting foul by R. Hood (drawn by J. Allen),34,33
137,2,9:21.0,,J. Allen makes free throw 1 of 2,34,34
138,2,9:21.0,J. Holland enters the game for T. Thompson,,34,34
139,2,9:21.0,,J. Allen makes free throw 2 of 2,34,35
140,2,9:14.0,R. Hood misses 3-pt jump shot from 25 ft,,34,35
141,2,9:11.0,,Defensive rebound by J. Harris,34,35
142,2,9:02.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by D. Carroll),34,38
143,2,8:50.0,J. Clarkson makes 2-pt layup from 2 ft,,36,38
144,2,8:35.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),36,40
145,2,8:18.0,K. Love misses 3-pt jump shot from 24 ft,,36,40
146,2,8:16.0,,Defensive rebound by J. Harris,36,40
147,2,8:04.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),36,43
148,2,7:51.0,Cleveland full timeout,,36,43
149,2,7:51.0,J. Calderón enters the game for R. Hood,,36,43
150,2,7:51.0,L. James enters the game for J. Clarkson,,36,43
151,2,7:46.0,L. James makes 2-pt layup from 1 ft (assist by J. Calderón),,38,43
152,2,7:46.0,Shooting foul by D. Carroll (drawn by L. James),,38,43
153,2,7:46.0,L. James makes free throw 1 of 1,,39,43
154,2,7:38.0,,Personal foul by J. Holland (drawn by J. Harris),39,43
155,2,7:31.0,,C. LeVert misses 3-pt jump shot from 25 ft,39,43
156,2,7:29.0,Defensive rebound by K. Love,,39,43
157,2,7:25.0,J. Smith misses 3-pt jump shot from 22 ft,,39,43
158,2,7:22.0,,Defensive rebound by D. Carroll,39,43
159,2,7:15.0,,J. Harris makes 2-pt layup from 1 ft (assist by D. Carroll),39,45
160,2,7:08.0,J. Smith misses 3-pt jump shot from 24 ft,,39,45
161,2,7:04.0,,Defensive rebound by J. Allen,39,45
162,2,6:44.0,,D. Russell enters the game for S. Dinwiddie,39,45
163,2,6:44.0,,R. Hollis-Jefferson enters the game for D. Carroll,39,45
164,2,6:44.0,L. Nance enters the game for J. Smith,,39,45
165,2,6:44.0,G. Hill enters the game for J. Holland,,39,45
166,2,6:44.0,,R. Hollis-Jefferson misses 2-pt hook shot from 12 ft,39,45
167,2,6:43.0,,Offensive rebound by Team,39,45
168,2,6:43.0,,Turnover by Team (shot clock),39,45
169,2,6:29.0,Def 3 sec tech foul by J. Allen,,39,45
170,2,6:29.0,K. Love makes technical free throw,,40,45
171,2,6:26.0,Turnover by K. Love (bad pass),,40,45
