,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:48.0,,D. Lillard makes 3-pt jump shot from 25 ft,0,3
1,1,11:28.0,T. Chandler misses 2-pt layup from 2 ft,,0,3
2,1,11:26.0,,Defensive rebound by J. Nurkić,0,3
3,1,11:21.0,,E. Turner makes 2-pt layup at rim (assist by D. Lillard),0,5
4,1,11:10.0,J. Jackson makes 2-pt dunk at rim (assist by T. Ulis),,2,5
5,1,10:44.0,,E. Turner makes 2-pt jump shot from 6 ft,2,7
6,1,10:24.0,D. Booker misses 2-pt jump shot from 18 ft,,2,7
7,1,10:22.0,,Defensive rebound by A. Aminu,2,7
8,1,10:12.0,,A. Aminu makes 2-pt layup from 1 ft (assist by E. Turner),2,9
9,1,9:59.0,Turnover by T. Chandler (lost ball; steal by D. Lillard),,2,9
10,1,9:54.0,,Turnover by J. Nurkić (bad pass; steal by T. Ulis),2,9
11,1,9:40.0,J. Jackson misses 2-pt jump shot from 12 ft,,2,9
12,1,9:40.0,Offensive rebound by T. Ulis,,2,9
13,1,9:26.0,T. Ulis misses 3-pt jump shot from 23 ft,,2,9
14,1,9:24.0,Offensive rebound by J. Jackson,,2,9
15,1,9:23.0,J. Jackson makes 2-pt layup at rim,,4,9
16,1,9:05.0,,C. McCollum makes 3-pt jump shot from 28 ft (assist by D. Lillard),4,12
17,1,8:47.0,D. Booker makes 2-pt jump shot from 14 ft,,6,12
18,1,8:32.0,,C. McCollum makes 2-pt jump shot from 12 ft (assist by D. Lillard),6,14
19,1,8:23.0,Shooting foul by D. Lillard (drawn by T. Ulis),,6,14
20,1,8:23.0,T. Ulis makes free throw 1 of 2,,7,14
21,1,8:23.0,T. Ulis makes free throw 2 of 2,,8,14
22,1,8:00.0,,D. Lillard makes 2-pt jump shot from 11 ft,8,16
23,1,7:54.0,D. Booker makes 2-pt layup at rim,,10,16
24,1,7:54.0,Shooting foul by C. McCollum (drawn by D. Booker),,10,16
25,1,7:54.0,D. Booker makes free throw 1 of 1,,11,16
26,1,7:39.0,,E. Turner makes 2-pt jump shot from 16 ft (assist by C. McCollum),11,18
27,1,7:36.0,Phoenix full timeout,,11,18
28,1,7:27.0,D. Booker makes 2-pt hook shot from 6 ft (assist by T. Ulis),,13,18
29,1,7:15.0,,Turnover by J. Nurkić (bad pass; steal by T. Chandler),13,18
30,1,7:11.0,J. Jackson makes 2-pt layup from 1 ft (assist by T. Chandler),,15,18
31,1,6:48.0,,A. Aminu misses 2-pt jump shot from 19 ft,15,18
32,1,6:45.0,Defensive rebound by T. Chandler,,15,18
33,1,6:41.0,D. Bender makes 3-pt jump shot from 22 ft (assist by D. Booker),,18,18
34,1,6:21.0,,J. Nurkić misses 2-pt hook shot from 7 ft,18,18
35,1,6:18.0,Defensive rebound by T. Chandler,,18,18
36,1,6:05.0,D. Booker makes 2-pt dunk at rim,,20,18
37,1,5:52.0,,E. Turner misses 3-pt jump shot from 26 ft,20,18
38,1,5:46.0,Defensive rebound by D. Bender,,20,18
39,1,5:37.0,T. Ulis makes 2-pt jump shot from 10 ft,,22,18
40,1,5:36.0,,Portland full timeout,22,18
41,1,5:36.0,,E. Davis enters the game for E. Turner,22,18
42,1,5:36.0,,Z. Collins enters the game for A. Aminu,22,18
43,1,5:36.0,,S. Napier enters the game for J. Nurkić,22,18
44,1,5:18.0,,D. Lillard makes 2-pt jump shot from 17 ft,22,20
45,1,4:53.0,Turnover by J. Jackson (lost ball; steal by S. Napier),,22,20
46,1,4:42.0,,C. McCollum misses 3-pt jump shot from 26 ft,22,20
47,1,4:37.0,Defensive rebound by D. Bender,,22,20
48,1,4:17.0,T. Ulis makes 3-pt jump shot from 25 ft (assist by D. Bender),,25,20
49,1,4:00.0,,D. Lillard makes 3-pt jump shot from 26 ft,25,23
50,1,3:45.0,Shooting foul by S. Napier (drawn by D. Booker),,25,23
51,1,3:45.0,D. Booker makes free throw 1 of 2,,26,23
52,1,3:45.0,T. Daniels enters the game for T. Chandler,,26,23
53,1,3:45.0,A. Len enters the game for J. Jackson,,26,23
54,1,3:45.0,D. Booker makes free throw 2 of 2,,27,23
55,1,3:31.0,,Shooting foul by T. Daniels (drawn by C. McCollum),27,23
56,1,3:31.0,,C. McCollum makes free throw 1 of 3,27,24
57,1,3:31.0,,C. McCollum makes free throw 2 of 3,27,25
58,1,3:31.0,,C. McCollum makes free throw 3 of 3,27,26
59,1,3:10.0,T. Daniels misses 3-pt jump shot from 27 ft,,27,26
60,1,3:07.0,,Defensive rebound by E. Davis,27,26
61,1,3:00.0,,S. Napier makes 2-pt jump shot from 18 ft,27,28
62,1,2:41.0,D. Booker misses 2-pt jump shot from 13 ft,,27,28
63,1,2:37.0,,Defensive rebound by S. Napier,27,28
64,1,2:33.0,,S. Napier misses 2-pt layup from 1 ft,27,28
65,1,2:31.0,Defensive rebound by A. Len,,27,28
66,1,2:28.0,D. Booker makes 2-pt layup from 1 ft (assist by T. Ulis),,29,28
67,1,2:18.0,,C. McCollum misses 2-pt jump shot from 13 ft,29,28
68,1,2:16.0,Defensive rebound by D. Bender,,29,28
69,1,2:10.0,T. Ulis makes 2-pt jump shot from 11 ft,,31,28
70,1,1:47.0,,S. Napier makes 3-pt jump shot from 26 ft (assist by E. Davis),31,31
71,1,1:25.0,Turnover by T. Ulis (bad pass; steal by Z. Collins),,31,31
72,1,1:12.0,,C. McCollum makes 3-pt jump shot from 27 ft (assist by Z. Collins),31,34
73,1,0:51.0,D. Booker misses 3-pt jump shot from 26 ft,,31,34
74,1,0:48.0,,Defensive rebound by D. Lillard,31,34
75,1,0:36.0,,D. Lillard misses 2-pt layup from 1 ft,31,34
76,1,0:33.0,Defensive rebound by D. Bender,,31,34
77,1,0:12.0,T. Ulis misses 3-pt jump shot from 23 ft (block by C. McCollum),,31,34
78,1,0:07.0,,Defensive rebound by E. Davis,31,34
79,1,0:01.0,,D. Lillard makes 2-pt layup from 10 ft,31,36
80,1,0:00.0,T. Ulis misses 3-pt jump shot from 61 ft,,31,36
81,1,0:00.0,Offensive rebound by Team,,31,36
82,2,11:47.0,J. Jackson misses 3-pt jump shot from 25 ft,,31,36
83,2,11:44.0,,Defensive rebound by S. Napier,31,36
84,2,11:28.0,,S. Napier misses 2-pt jump shot from 19 ft,31,36
85,2,11:26.0,Defensive rebound by A. Len,,31,36
