,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
0,1,11:37.0,D. Lee misses 3-pt jump shot from 24 ft,,0,0
1,1,11:33.0,,Defensive rebound by T. Ariza,0,0
2,1,11:29.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),0,3
3,1,11:12.0,I. Taylor makes 3-pt jump shot from 24 ft (assist by J. Collins),,3,3
4,1,10:54.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Capela),3,6
5,1,10:39.0,T. Prince misses 3-pt jump shot from 26 ft,,3,6
6,1,10:35.0,,Defensive rebound by C. Capela,3,6
7,1,10:22.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),3,8
8,1,10:10.0,I. Taylor misses 3-pt jump shot from 24 ft,,3,8
9,1,10:07.0,,Defensive rebound by C. Capela,3,8
10,1,10:02.0,,Offensive foul by C. Capela (drawn by D. Lee),3,8
11,1,10:02.0,,Turnover by C. Capela (offensive foul),3,8
12,1,9:50.0,I. Taylor makes 2-pt layup from 1 ft,,5,8
13,1,9:38.0,,Shooting foul by D. Lee (drawn by J. Harden),5,8
14,1,9:38.0,,J. Harden makes free throw 1 of 3,5,9
15,1,9:38.0,,J. Harden makes free throw 2 of 3,5,10
16,1,9:38.0,,J. Harden makes free throw 3 of 3,5,11
17,1,9:29.0,I. Taylor makes 2-pt jump shot from 7 ft,,7,11
18,1,9:13.0,,E. Gordon misses 3-pt jump shot from 26 ft,7,11
19,1,9:10.0,Defensive rebound by J. Collins,,7,11
20,1,8:57.0,T. Prince makes 2-pt layup from 4 ft,,9,11
21,1,8:48.0,,Shooting block foul by J. Collins (drawn by T. Ariza),9,11
22,1,8:48.0,,T. Ariza makes free throw 1 of 2,9,12
23,1,8:48.0,,T. Ariza makes free throw 2 of 2,9,13
24,1,8:30.0,Personal foul by T. Ariza (drawn by I. Taylor),,9,13
25,1,8:23.0,I. Taylor misses 2-pt layup from 5 ft (block by C. Capela),,9,13
26,1,8:19.0,,Defensive rebound by T. Ariza,9,13
27,1,8:10.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Harden),9,16
28,1,7:39.0,D. Lee misses 3-pt jump shot from 24 ft,,9,16
29,1,7:37.0,,Defensive rebound by J. Harden,9,16
30,1,7:27.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),9,19
31,1,7:25.0,Atlanta full timeout,,9,19
32,1,7:25.0,,G. Green enters the game for E. Gordon,9,19
33,1,7:15.0,D. Dedmon misses 3-pt jump shot from 24 ft,,9,19
34,1,7:12.0,,Defensive rebound by P. Tucker,9,19
35,1,6:56.0,,C. Capela misses 2-pt layup from 2 ft (block by J. Collins),9,19
36,1,6:52.0,Defensive rebound by T. Prince,,9,19
37,1,6:39.0,I. Taylor makes 2-pt jump shot from 21 ft,,11,19
38,1,6:33.0,T. Dorsey enters the game for D. Lee,,11,19
39,1,6:27.0,,J. Harden misses 3-pt jump shot from 23 ft,11,19
40,1,6:24.0,Defensive rebound by J. Collins,,11,19
41,1,6:10.0,T. Prince makes 2-pt jump shot from 9 ft,,13,19
42,1,5:51.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),13,21
43,1,5:36.0,T. Prince misses 3-pt jump shot from 25 ft,,13,21
44,1,5:33.0,,Defensive rebound by C. Capela,13,21
45,1,5:11.0,,C. Capela misses 2-pt layup from 1 ft,13,21
46,1,5:10.0,Defensive rebound by T. Prince,,13,21
47,1,4:52.0,Turnover by I. Taylor (bad pass; steal by C. Capela),,13,21
48,1,4:47.0,,G. Green misses 3-pt jump shot from 26 ft,13,21
49,1,4:41.0,Defensive rebound by T. Dorsey,,13,21
50,1,4:33.0,T. Dorsey makes 2-pt layup from 3 ft,,15,21
51,1,4:25.0,,G. Green misses 3-pt jump shot from 25 ft,15,21
52,1,4:22.0,Defensive rebound by J. Collins,,15,21
53,1,4:18.0,Turnover by T. Prince (lost ball; steal by J. Harden),,15,21
54,1,4:01.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),15,24
55,1,3:59.0,Atlanta full timeout,,15,24
56,1,3:59.0,,J. Johnson enters the game for P. Tucker,15,24
57,1,3:59.0,,N. Hilário enters the game for C. Capela,15,24
58,1,3:59.0,M. Muscala enters the game for D. Dedmon,,15,24
59,1,3:59.0,J. Magette enters the game for J. Collins,,15,24
60,1,3:59.0,D. Lee enters the game for I. Taylor,,15,24
