,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:46.0,A. Davis misses 2-pt hook shot from 3 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Smith,0,0
2,1,11:26.0,,Turnover by D. Smith (bad pass),0,0
3,1,11:14.0,J. Holiday makes 2-pt layup at rim (assist by N. Mirotić),,2,0
4,1,10:56.0,,D. Smith misses 3-pt jump shot from 26 ft,2,0
5,1,10:54.0,Defensive rebound by A. Davis,,2,0
6,1,10:42.0,Personal foul by D. Powell (drawn by A. Davis),,2,0
7,1,10:38.0,A. Davis makes 2-pt jump shot from 5 ft,,4,0
8,1,10:16.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Smith),4,2
9,1,10:05.0,N. Mirotić misses 3-pt jump shot from 25 ft,,4,2
10,1,10:02.0,,Defensive rebound by H. Barnes,4,2
11,1,9:50.0,,H. Barnes misses 2-pt layup from 1 ft,4,2
12,1,9:48.0,Defensive rebound by A. Davis,,4,2
13,1,9:44.0,N. Mirotić misses 3-pt jump shot from 23 ft,,4,2
14,1,9:39.0,,Defensive rebound by H. Barnes,4,2
15,1,9:28.0,,Shooting foul by J. Holiday (drawn by D. Powell),4,2
16,1,9:28.0,,D. Powell makes free throw 1 of 2,4,3
17,1,9:28.0,,D. Powell makes free throw 2 of 2,4,4
18,1,9:22.0,A. Davis misses 2-pt layup from 1 ft,,4,4
19,1,9:21.0,,Defensive rebound by D. Powell,4,4
20,1,9:13.0,,D. Powell makes 2-pt dunk from 1 ft (assist by D. Smith),4,6
21,1,9:00.0,Personal foul by Y. Ferrell (drawn by J. Holiday),,4,6
22,1,8:52.0,J. Holiday makes 2-pt jump shot from 1 ft,,6,6
23,1,8:34.0,,Personal foul by R. Rondo (drawn by H. Barnes),6,6
24,1,8:26.0,,D. Nowitzki makes 2-pt jump shot from 9 ft (assist by H. Barnes),6,8
25,1,8:12.0,E. Moore misses 2-pt jump shot from 5 ft,,6,8
26,1,8:08.0,Offensive rebound by E. Moore,,6,8
27,1,8:07.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,8,8
28,1,7:52.0,,Turnover by D. Nowitzki (bad pass; steal by A. Davis),8,8
29,1,7:47.0,R. Rondo misses 3-pt jump shot from 23 ft,,8,8
30,1,7:44.0,,Defensive rebound by D. Powell,8,8
31,1,7:43.0,,Dallas full timeout,8,8
32,1,7:43.0,,D. McDermott enters the game for D. Nowitzki,8,8
33,1,7:43.0,,N. Noel enters the game for D. Powell,8,8
34,1,7:29.0,,N. Noel misses 2-pt layup from 3 ft,8,8
35,1,7:28.0,Defensive rebound by N. Mirotić,,8,8
36,1,7:22.0,E. Moore makes 2-pt jump shot from 11 ft (assist by R. Rondo),,10,8
37,1,7:08.0,,H. Barnes misses 2-pt jump shot from 4 ft,10,8
38,1,7:03.0,Defensive rebound by A. Davis,,10,8
39,1,6:57.0,J. Holiday makes 2-pt layup at rim,,12,8
40,1,6:45.0,,N. Noel makes 2-pt jump shot from 7 ft (assist by D. Smith),12,10
41,1,6:34.0,J. Holiday misses 2-pt jump shot from 11 ft,,12,10
42,1,6:31.0,,Defensive rebound by N. Noel,12,10
43,1,6:27.0,,D. Smith makes 2-pt jump shot from 20 ft,12,12
44,1,6:17.0,Shooting block foul by N. Noel (drawn by R. Rondo),,12,12
45,1,6:17.0,R. Rondo misses free throw 1 of 2,,12,12
46,1,6:17.0,Offensive rebound by Team,,12,12
47,1,6:17.0,C. Diallo enters the game for N. Mirotić,,12,12
48,1,6:17.0,R. Rondo makes free throw 2 of 2,,13,12
49,1,5:56.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Smith),13,14
50,1,5:42.0,R. Rondo makes 2-pt jump shot from 18 ft,,15,14
51,1,5:27.0,,D. McDermott misses 3-pt jump shot from 23 ft,15,14
52,1,5:25.0,Defensive rebound by C. Diallo,,15,14
53,1,5:18.0,J. Holiday misses 2-pt layup at rim,,15,14
54,1,5:16.0,,Defensive rebound by H. Barnes,15,14
55,1,5:11.0,,D. Smith misses 3-pt jump shot from 24 ft,15,14
56,1,5:11.0,Defensive rebound by R. Rondo,,15,14
57,1,4:58.0,A. Davis misses 2-pt jump shot from 11 ft,,15,14
58,1,4:57.0,,S. Hopson enters the game for Y. Ferrell,15,14
59,1,4:57.0,D. Miller enters the game for R. Rondo,,15,14
60,1,4:57.0,Defensive rebound by Team,,15,14
61,1,4:46.0,Personal foul by D. McDermott (drawn by E. Moore),,15,14
62,1,4:39.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,17,14
63,1,4:27.0,,H. Barnes misses 2-pt jump shot from 18 ft,17,14
64,1,4:23.0,,Offensive rebound by N. Noel,17,14
65,1,4:20.0,,D. Smith misses 2-pt jump shot from 15 ft,17,14
66,1,4:19.0,,Offensive rebound by D. Smith,17,14
67,1,4:19.0,,Shooting foul by C. Diallo (drawn by D. Smith),17,14
68,1,4:19.0,,D. Smith misses free throw 1 of 2,17,14
69,1,4:19.0,,Offensive rebound by Team,17,14
70,1,4:19.0,,D. Smith makes free throw 2 of 2,17,15
71,1,4:12.0,A. Davis misses 2-pt jump shot from 11 ft,,17,15
72,1,4:09.0,,Defensive rebound by D. Smith,17,15
73,1,4:03.0,,D. Smith misses 2-pt jump shot from 10 ft,17,15
74,1,3:59.0,Defensive rebound by J. Holiday,,17,15
75,1,3:42.0,C. Diallo makes 2-pt dunk at rim (assist by D. Miller),,19,15
76,1,3:29.0,,D. Smith makes 2-pt jump shot from 21 ft (assist by H. Barnes),19,17
77,1,3:16.0,J. Holiday makes 2-pt jump shot from 5 ft,,21,17
78,1,3:02.0,,H. Barnes misses 2-pt jump shot from 4 ft,21,17
79,1,2:59.0,Defensive rebound by J. Holiday,,21,17
80,1,2:53.0,J. Holiday makes 3-pt jump shot from 25 ft,,24,17
81,1,2:50.0,,Dallas full timeout,24,17
82,1,2:50.0,,D. Powell enters the game for D. Smith,24,17
83,1,2:50.0,,Y. Ferrell enters the game for N. Noel,24,17
84,1,2:50.0,,J. Barea enters the game for H. Barnes,24,17
85,1,2:50.0,,D. Nowitzki enters the game for S. Hopson,24,17
86,1,2:50.0,I. Clark enters the game for E. Moore,,24,17
87,1,2:29.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by Y. Ferrell),24,19
88,1,2:18.0,Shooting block foul by Y. Ferrell (drawn by J. Holiday),,24,19
89,1,2:18.0,J. Holiday makes free throw 1 of 2,,25,19
90,1,2:18.0,,S. Hopson enters the game for Y. Ferrell,25,19
91,1,2:18.0,J. Holiday makes free throw 2 of 2,,26,19
92,1,2:07.0,,D. McDermott misses 2-pt jump shot from 3 ft,26,19
93,1,2:06.0,,Offensive rebound by D. Powell,26,19
