,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,K. Love misses 3-pt jump shot from 22 ft,0,0
1,1,11:41.0,Defensive rebound by R. Hollis-Jefferson,,0,0
2,1,11:18.0,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,,0,0
3,1,11:16.0,,Defensive rebound by L. James,0,0
4,1,11:00.0,,J. Calderón makes 2-pt jump shot from 15 ft,0,2
5,1,10:45.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,3,2
6,1,10:30.0,,K. Love makes 2-pt jump shot from 16 ft (assist by L. James),3,4
7,1,10:13.0,Offensive foul by S. Dinwiddie (drawn by J. Smith),,3,4
8,1,10:13.0,Turnover by S. Dinwiddie (offensive foul),,3,4
9,1,9:59.0,,K. Love misses 2-pt hook shot from 10 ft,3,4
10,1,9:57.0,Defensive rebound by R. Hollis-Jefferson,,3,4
11,1,9:50.0,A. Crabbe makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),,5,4
12,1,9:30.0,,L. James makes 2-pt layup from 2 ft,5,6
13,1,9:11.0,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Smith),,5,6
14,1,8:55.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Smith),5,9
15,1,8:41.0,A. Crabbe misses 2-pt hook shot from 5 ft,,5,9
16,1,8:39.0,,Defensive rebound by J. Smith,5,9
17,1,8:31.0,,K. Love misses 2-pt jump shot from 21 ft,5,9
18,1,8:29.0,Defensive rebound by R. Hollis-Jefferson,,5,9
19,1,8:24.0,D. Carroll misses 3-pt jump shot from 26 ft,,5,9
20,1,8:22.0,,Defensive rebound by J. Calderón,5,9
21,1,8:16.0,,J. Calderón misses 3-pt jump shot from 25 ft,5,9
22,1,8:11.0,Defensive rebound by T. Zeller,,5,9
23,1,8:00.0,D. Carroll makes 2-pt jump shot from 20 ft,,7,9
24,1,7:42.0,,Shooting foul by A. Crabbe (drawn by K. Love),7,9
25,1,7:42.0,,K. Love misses free throw 1 of 2,7,9
26,1,7:42.0,,Offensive rebound by Team,7,9
27,1,7:42.0,,K. Love makes free throw 2 of 2,7,10
28,1,7:26.0,A. Crabbe misses 3-pt jump shot from 28 ft,,7,10
29,1,7:23.0,,Defensive rebound by J. Smith,7,10
30,1,7:18.0,,K. Love misses 2-pt layup from 6 ft (block by S. Dinwiddie),7,10
31,1,7:18.0,,Offensive rebound by Team,7,10
32,1,7:09.0,,K. Love misses 2-pt jump shot from 11 ft,7,10
33,1,7:06.0,Defensive rebound by R. Hollis-Jefferson,,7,10
34,1,7:02.0,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,,7,10
35,1,6:59.0,,Defensive rebound by L. James,7,10
36,1,6:47.0,,Turnover by L. James (traveling),7,10
37,1,6:47.0,,Cleveland full timeout,7,10
38,1,6:35.0,T. Zeller misses 2-pt hook shot from 7 ft (block by K. Love),,7,10
39,1,6:35.0,Offensive rebound by Team,,7,10
40,1,6:22.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,7,10
41,1,6:19.0,Offensive rebound by D. Carroll,,7,10
42,1,6:18.0,Personal foul by J. Smith (drawn by A. Crabbe),,7,10
43,1,6:18.0,Q. Acy enters the game for T. Zeller,,7,10
