,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,K. Love misses 2-pt layup from 1 ft,0,0
1,1,11:39.0,,Offensive rebound by K. Love,0,0
2,1,11:39.0,,K. Love makes 2-pt layup at rim,0,2
3,1,11:26.0,R. Lopez misses 2-pt hook shot from 5 ft,,0,2
4,1,11:23.0,,Defensive rebound by C. Frye,0,2
5,1,11:20.0,,L. James misses 2-pt jump shot from 18 ft,0,2
6,1,11:17.0,Defensive rebound by J. Holiday,,0,2
7,1,11:09.0,Turnover by D. Valentine (bad pass; steal by L. James),,0,2
8,1,11:06.0,,L. James makes 2-pt dunk at rim (assist by J. Calderón),0,4
9,1,10:48.0,D. Valentine makes 3-pt jump shot from 22 ft (assist by K. Dunn),,3,4
10,1,10:29.0,,Turnover by L. James (bad pass),3,4
11,1,10:12.0,Turnover by J. Holiday (bad pass; steal by J. Crowder),,3,4
12,1,10:07.0,,K. Love makes 3-pt jump shot from 25 ft (assist by C. Frye),3,7
13,1,9:48.0,L. Markkanen misses 3-pt jump shot from 25 ft,,3,7
14,1,9:46.0,,Defensive rebound by C. Frye,3,7
15,1,9:34.0,,K. Love misses 2-pt jump shot from 21 ft,3,7
16,1,9:31.0,Defensive rebound by J. Holiday,,3,7
17,1,9:17.0,K. Dunn misses 2-pt jump shot from 14 ft,,3,7
18,1,9:14.0,,Defensive rebound by C. Frye,3,7
19,1,9:08.0,,J. Calderón makes 3-pt jump shot from 25 ft,3,10
20,1,8:54.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by K. Dunn),,6,10
21,1,8:32.0,,K. Love misses 3-pt jump shot from 24 ft,6,10
22,1,8:31.0,Defensive rebound by K. Dunn,,6,10
23,1,8:10.0,R. Lopez makes 2-pt hook shot from 6 ft,,8,10
24,1,7:50.0,,J. Calderón misses 3-pt jump shot from 24 ft,8,10
25,1,7:47.0,Defensive rebound by D. Valentine,,8,10
26,1,7:38.0,Personal foul by J. Calderón (drawn by R. Lopez),,8,10
27,1,7:27.0,L. Markkanen misses 2-pt jump shot from 8 ft (block by C. Frye),,8,10
28,1,7:27.0,Offensive rebound by Team,,8,10
29,1,7:25.0,J. Holiday misses 3-pt jump shot from 23 ft,,8,10
30,1,7:22.0,,Defensive rebound by L. James,8,10
31,1,7:17.0,,C. Frye misses 3-pt jump shot from 26 ft,8,10
32,1,7:14.0,Defensive rebound by K. Dunn,,8,10
33,1,7:08.0,L. Markkanen makes 2-pt layup at rim (assist by K. Dunn),,10,10
34,1,6:50.0,,C. Frye makes 2-pt layup at rim (assist by L. James),10,12
35,1,6:31.0,R. Lopez makes 2-pt hook shot from 2 ft,,12,12
36,1,6:20.0,,Shooting foul by L. Markkanen (drawn by K. Love),12,12
37,1,6:20.0,,Cleveland full timeout,12,12
38,1,6:20.0,,K. Love makes free throw 1 of 2,12,13
39,1,6:20.0,,K. Love makes free throw 2 of 2,12,14
40,1,6:02.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by L. Markkanen),,14,14
41,1,5:41.0,,L. James misses 2-pt layup from 2 ft (block by D. Valentine),14,14
42,1,5:38.0,,Offensive rebound by L. James,14,14
43,1,5:36.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),14,17
