,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,S. Ibaka misses 2-pt jump shot from 15 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Covington,0,0
2,1,11:34.0,,B. Simmons misses 2-pt layup from 3 ft,0,0
3,1,11:31.0,,Offensive rebound by J. Embiid,0,0
4,1,11:29.0,,J. Embiid makes 2-pt jump shot from 15 ft,0,2
5,1,11:11.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by D. DeRozan),,2,2
6,1,10:55.0,,B. Simmons makes 2-pt hook shot from 7 ft (assist by J. Redick),2,4
7,1,10:29.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by S. Ibaka),,4,4
8,1,10:12.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),4,6
9,1,9:59.0,S. Ibaka misses 3-pt jump shot from 26 ft,,4,6
10,1,9:55.0,,Defensive rebound by J. Redick,4,6
11,1,9:50.0,,D. Šarić misses 3-pt jump shot from 25 ft,4,6
12,1,9:47.0,Defensive rebound by J. Valančiūnas,,4,6
13,1,9:43.0,K. Lowry misses 3-pt jump shot from 25 ft,,4,6
14,1,9:40.0,,Defensive rebound by R. Covington,4,6
15,1,9:30.0,,J. Embiid misses 2-pt jump shot from 13 ft,4,6
16,1,9:25.0,Defensive rebound by J. Valančiūnas,,4,6
17,1,9:16.0,J. Valančiūnas makes 2-pt dunk from 1 ft,,6,6
18,1,8:59.0,,J. Embiid makes 2-pt jump shot from 17 ft,6,8
19,1,8:44.0,S. Ibaka misses 2-pt layup from 4 ft,,6,8
20,1,8:42.0,,Defensive rebound by J. Embiid,6,8
21,1,8:36.0,,D. Šarić misses 2-pt layup from 5 ft,6,8
22,1,8:34.0,Defensive rebound by J. Valančiūnas,,6,8
23,1,8:21.0,Turnover by J. Valančiūnas (traveling),,6,8
24,1,8:07.0,,J. Embiid makes 2-pt jump shot from 1 ft,6,10
25,1,8:07.0,,Shooting foul by J. Valančiūnas (drawn by J. Embiid),6,10
26,1,8:07.0,,J. Bayless enters the game for J. Redick,6,10
27,1,8:07.0,,J. Embiid makes free throw 1 of 1,6,11
28,1,7:49.0,D. DeRozan misses 2-pt jump shot from 10 ft,,6,11
29,1,7:39.0,Offensive rebound by S. Ibaka,,6,11
30,1,7:39.0,S. Ibaka makes 2-pt layup at rim,,8,11
31,1,7:29.0,,J. Embiid makes 2-pt layup from 1 ft,8,13
32,1,7:17.0,S. Ibaka makes 2-pt hook shot from 7 ft,,10,13
33,1,7:08.0,,Shooting foul by O. Anunoby (drawn by B. Simmons),10,13
34,1,7:08.0,,T. McConnell enters the game for R. Covington,10,13
35,1,7:08.0,,B. Simmons misses free throw 1 of 2,10,13
36,1,7:08.0,,Offensive rebound by Team,10,13
37,1,7:08.0,,B. Simmons misses free throw 2 of 2,10,13
38,1,7:02.0,Defensive rebound by J. Valančiūnas,,10,13
39,1,6:56.0,Personal foul by B. Simmons (drawn by D. DeRozan),,10,13
40,1,6:56.0,,Philadelphia full timeout,10,13
41,1,6:48.0,D. DeRozan makes 2-pt jump shot from 11 ft (assist by J. Valančiūnas),,12,13
42,1,6:30.0,,Personal foul by S. Ibaka (drawn by D. Šarić),12,13
43,1,6:19.0,,J. Embiid misses 2-pt jump shot from 18 ft,12,13
44,1,6:16.0,Defensive rebound by O. Anunoby,,12,13
45,1,5:59.0,Turnover by J. Valančiūnas (turnover),,12,13
46,1,5:51.0,,B. Simmons makes 2-pt layup from 1 ft (assist by D. Šarić),12,15
47,1,5:40.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),,14,15
48,1,5:29.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by T. McConnell),14,18
49,1,5:15.0,D. DeRozan misses 2-pt layup from 2 ft (block by B. Simmons),,14,18
50,1,5:15.0,,A. Johnson enters the game for J. Embiid,14,18
51,1,5:14.0,Defensive rebound by Team,,14,18
52,1,5:11.0,O. Anunoby misses 2-pt layup from 2 ft (block by A. Johnson),,14,18
53,1,5:11.0,,Defensive rebound by A. Johnson,14,18
54,1,4:58.0,,B. Simmons makes 2-pt jump shot from 10 ft,14,20
55,1,4:44.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,16,20
56,1,4:20.0,,D. Šarić misses 3-pt jump shot from 28 ft,16,20
57,1,4:18.0,Defensive rebound by D. DeRozan,,16,20
58,1,4:11.0,Personal foul by A. Johnson (drawn by J. Valančiūnas),,16,20
59,1,4:11.0,,J. Redick enters the game for J. Bayless,16,20
60,1,4:11.0,,R. Covington enters the game for D. Šarić,16,20
61,1,4:11.0,,T. Booker enters the game for B. Simmons,16,20
62,1,4:11.0,J. Poeltl enters the game for O. Anunoby,,16,20
63,1,4:11.0,C. Miles enters the game for J. Valančiūnas,,16,20
64,1,4:00.0,J. Poeltl makes 2-pt layup from 1 ft (assist by C. Miles),,18,20
65,1,3:59.0,,Philadelphia full timeout,18,20
66,1,3:59.0,P. Siakam enters the game for S. Ibaka,,18,20
67,1,3:48.0,,Turnover by R. Covington (traveling),18,20
68,1,3:40.0,Shooting foul by T. Booker (drawn by D. DeRozan),,18,20
69,1,3:40.0,D. DeRozan misses free throw 1 of 2,,18,20
70,1,3:40.0,Offensive rebound by Team,,18,20
71,1,3:40.0,D. DeRozan makes free throw 2 of 2,,19,20
72,1,3:23.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by R. Covington),19,23
73,1,3:03.0,D. DeRozan makes 2-pt jump shot from 9 ft,,21,23
74,1,2:52.0,,Turnover by J. Redick (bad pass),21,23
75,1,2:45.0,D. DeRozan misses 2-pt jump shot from 7 ft (block by T. McConnell),,21,23
76,1,2:41.0,,Defensive rebound by A. Johnson,21,23
77,1,2:38.0,,T. Booker makes 2-pt layup from 1 ft (assist by T. McConnell),21,25
78,1,2:28.0,J. Poeltl misses 2-pt jump shot from 5 ft (block by T. Booker),,21,25
79,1,2:25.0,,Defensive rebound by A. Johnson,21,25
80,1,2:22.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by T. McConnell),21,27
81,1,2:11.0,Toronto full timeout,,21,27
82,1,2:11.0,,J. Embiid enters the game for A. Johnson,21,27
83,1,2:11.0,D. Wright enters the game for K. Lowry,,21,27
