,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:34.0,,T. Warren makes 2-pt jump shot from 18 ft,0,2
1,1,11:17.0,R. Gobert misses 2-pt hook shot from 5 ft (block by T. Chandler),,0,2
2,1,11:10.0,,Defensive rebound by J. Jackson,0,2
3,1,11:08.0,,J. Jackson misses 2-pt jump shot from 1 ft (block by R. Gobert),0,2
4,1,11:04.0,Defensive rebound by R. Gobert,,0,2
5,1,10:54.0,Turnover by J. Ingles (bad pass; steal by T. Warren),,0,2
6,1,10:38.0,,D. Booker misses 3-pt jump shot from 25 ft,0,2
7,1,10:34.0,Defensive rebound by R. Rubio,,0,2
8,1,10:31.0,D. Mitchell makes 2-pt layup at rim,,2,2
9,1,10:31.0,Shooting foul by T. Chandler (drawn by D. Mitchell),,2,2
10,1,10:31.0,D. Mitchell makes free throw 1 of 1,,3,2
11,1,10:10.0,,M. Chriss makes 2-pt jump shot from 9 ft (assist by D. Booker),3,4
12,1,9:50.0,R. Rubio makes 2-pt layup at rim,,5,4
13,1,9:39.0,,M. Chriss misses 3-pt jump shot from 24 ft,5,4
14,1,9:36.0,Defensive rebound by R. Gobert,,5,4
15,1,9:27.0,J. Ingles makes 2-pt layup at rim,,7,4
16,1,9:27.0,,Violation by M. Chriss (def goaltending),7,4
17,1,9:14.0,,J. Jackson misses 2-pt jump shot from 12 ft,7,4
18,1,9:09.0,Defensive rebound by D. Favors,,7,4
19,1,9:00.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by J. Ingles),,10,4
20,1,8:45.0,,D. Booker misses 2-pt jump shot from 12 ft,10,4
21,1,8:43.0,Defensive rebound by D. Mitchell,,10,4
22,1,8:37.0,R. Gobert misses 2-pt jump shot at rim (block by T. Chandler),,10,4
23,1,8:36.0,Offensive rebound by D. Favors,,10,4
24,1,8:35.0,D. Favors misses 2-pt hook shot from 2 ft,,10,4
25,1,8:31.0,,Defensive rebound by M. Chriss,10,4
26,1,8:13.0,,T. Warren misses 2-pt jump shot from 10 ft,10,4
27,1,8:11.0,Defensive rebound by D. Favors,,10,4
28,1,7:59.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,4
29,1,7:55.0,,Defensive rebound by J. Jackson,10,4
30,1,7:48.0,,D. Booker makes 2-pt jump shot from 18 ft (assist by T. Chandler),10,6
31,1,7:26.0,R. Rubio makes 2-pt jump shot from 20 ft,,12,6
32,1,7:24.0,,Phoenix full timeout,12,6
33,1,7:24.0,,J. Dudley enters the game for M. Chriss,12,6
34,1,7:12.0,,Shooting foul by R. Gobert (drawn by T. Chandler),12,6
35,1,7:12.0,,T. Chandler makes free throw 1 of 2,12,7
36,1,7:12.0,,T. Chandler makes free throw 2 of 2,12,8
37,1,7:01.0,D. Favors makes 2-pt jump shot from 13 ft (assist by R. Rubio),,14,8
38,1,6:52.0,,D. Booker misses 3-pt jump shot from 24 ft,14,8
39,1,6:50.0,,Offensive rebound by T. Chandler,14,8
40,1,6:45.0,,J. Dudley misses 2-pt layup from 2 ft,14,8
41,1,6:43.0,Defensive rebound by R. Gobert,,14,8
42,1,6:37.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,17,8
43,1,6:12.0,,J. Jackson misses 2-pt layup from 1 ft (block by R. Gobert),17,8
44,1,6:06.0,Defensive rebound by D. Favors,,17,8
45,1,6:05.0,D. Favors makes 2-pt layup from 1 ft (assist by D. Mitchell),,19,8
46,1,6:05.0,,Phoenix full timeout,19,8
47,1,6:05.0,,T. Daniels enters the game for T. Chandler,19,8
48,1,6:05.0,,D. Bender enters the game for J. Jackson,19,8
49,1,5:46.0,,T. Warren misses 2-pt layup from 6 ft,19,8
50,1,5:43.0,Defensive rebound by R. Rubio,,19,8
51,1,5:36.0,R. Rubio makes 2-pt layup at rim,,21,8
52,1,5:17.0,,Turnover by J. Dudley (bad pass; steal by R. Gobert),21,8
53,1,5:15.0,Turnover by R. Gobert (bad pass),,21,8
54,1,5:15.0,A. Burks enters the game for R. Rubio,,21,8
55,1,5:15.0,J. Jerebko enters the game for D. Favors,,21,8
56,1,4:57.0,,J. Dudley misses 3-pt jump shot from 22 ft,21,8
57,1,4:54.0,Defensive rebound by A. Burks,,21,8
58,1,4:47.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by A. Burks),,24,8
59,1,4:30.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),24,11
60,1,4:14.0,Personal foul by T. Daniels (drawn by A. Burks),,24,11
61,1,4:14.0,,T. Ulis enters the game for D. Booker,24,11
62,1,4:14.0,R. O'Neale enters the game for J. Ingles,,24,11
63,1,4:12.0,Turnover by R. Gobert (bad pass),,24,11
64,1,3:55.0,,D. Bender misses 3-pt jump shot from 25 ft,24,11
65,1,3:52.0,Defensive rebound by A. Burks,,24,11
66,1,3:40.0,A. Burks misses 3-pt jump shot from 26 ft,,24,11
67,1,3:39.0,,Defensive rebound by Team,24,11
68,1,3:27.0,,T. Warren misses 2-pt layup from 10 ft,24,11
69,1,3:23.0,Defensive rebound by R. O'Neale,,24,11
70,1,3:15.0,R. Gobert makes 2-pt dunk at rim (assist by R. O'Neale),,26,11
71,1,3:02.0,,D. Bender makes 2-pt layup at rim,26,13
72,1,2:42.0,A. Burks misses 3-pt jump shot from 23 ft,,26,13
73,1,2:39.0,,Defensive rebound by D. Bender,26,13
74,1,2:32.0,,T. Ulis makes 2-pt layup at rim,26,15
75,1,2:23.0,Utah full timeout,,26,15
76,1,2:23.0,,D. House enters the game for T. Warren,26,15
77,1,2:23.0,R. Neto enters the game for J. Jerebko,,26,15
78,1,2:23.0,J. Johnson enters the game for R. Gobert,,26,15
79,1,2:23.0,D. Favors enters the game for D. Mitchell,,26,15
80,1,2:11.0,J. Johnson misses 3-pt jump shot from 25 ft,,26,15
81,1,2:05.0,,Defensive rebound by D. Bender,26,15
82,1,1:52.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by T. Ulis),26,18
83,1,1:38.0,R. O'Neale misses 2-pt layup from 1 ft,,26,18
84,1,1:36.0,,Defensive rebound by D. Bender,26,18
85,1,1:36.0,,J. Dudley misses 3-pt jump shot from 26 ft,26,18
86,1,1:25.0,Defensive rebound by D. Favors,,26,18
87,1,1:17.0,A. Burks makes 2-pt layup from 1 ft (assist by R. Neto),,28,18
88,1,0:58.0,,T. Ulis makes 3-pt jump shot from 23 ft (assist by J. Dudley),28,21
89,1,0:45.0,R. O'Neale misses 2-pt jump shot from 13 ft,,28,21
90,1,0:41.0,,Defensive rebound by T. Daniels,28,21
91,1,0:36.0,,T. Daniels makes 2-pt layup from 6 ft,28,23
92,1,0:29.0,Personal foul by T. Ulis (drawn by R. Neto),,28,23
93,1,0:12.0,D. Favors misses 2-pt jump shot from 20 ft,,28,23
94,1,0:09.0,,Defensive rebound by D. House,28,23
95,1,0:04.0,,Personal take foul by R. Neto (drawn by T. Ulis),28,23
96,1,0:00.0,,D. Bender misses 2-pt jump shot from 20 ft,28,23
97,1,0:00.0,,Offensive rebound by Team,28,23
98,2,11:52.0,Personal foul by T. Ulis (drawn by R. Rubio),,28,23
99,2,11:44.0,A. Burks misses 2-pt jump shot from 13 ft,,28,23
