,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:42.0,,Turnover by M. Plumlee (bad pass; steal by A. Drummond),0,0
1,1,11:30.0,A. Drummond misses 2-pt layup from 4 ft,,0,0
2,1,11:29.0,Offensive rebound by A. Drummond,,0,0
3,1,11:18.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Jackson),,3,0
4,1,11:00.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by T. Prince),3,2
5,1,10:43.0,R. Jackson misses 2-pt layup at rim (block by K. Bazemore),,3,2
6,1,10:43.0,Offensive rebound by Team,,3,2
7,1,10:36.0,R. Bullock misses 2-pt layup from 3 ft,,3,2
8,1,10:27.0,,Defensive rebound by M. Plumlee,3,2
9,1,10:25.0,,E. İlyasova misses 2-pt jump shot from 11 ft,3,2
10,1,10:22.0,Defensive rebound by A. Drummond,,3,2
11,1,10:17.0,R. Jackson makes 2-pt jump shot from 10 ft,,5,2
12,1,9:59.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),5,5
13,1,9:39.0,A. Bradley misses 2-pt jump shot from 11 ft,,5,5
14,1,9:36.0,,Defensive rebound by D. Schröder,5,5
15,1,9:33.0,,Personal block foul by R. Jackson (drawn by D. Schröder),5,5
16,1,9:26.0,,K. Bazemore misses 2-pt jump shot from 4 ft (block by A. Drummond),5,5
17,1,9:26.0,Defensive rebound by A. Drummond,,5,5
18,1,9:26.0,Turnover by A. Drummond (step out of bounds),,5,5
19,1,9:21.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),5,8
20,1,9:04.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by R. Jackson),,7,8
21,1,8:49.0,,E. İlyasova makes 2-pt jump shot from 9 ft (assist by D. Schröder),7,10
22,1,8:37.0,R. Bullock makes 2-pt layup from 1 ft (assist by A. Drummond),,9,10
23,1,8:14.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by D. Schröder),9,13
24,1,7:55.0,R. Jackson misses 2-pt jump shot from 10 ft,,9,13
25,1,7:53.0,,Defensive rebound by K. Bazemore,9,13
26,1,7:44.0,,E. İlyasova makes 2-pt jump shot from 13 ft (assist by M. Plumlee),9,15
27,1,7:38.0,Detroit full timeout,,9,15
28,1,7:38.0,,J. Collins enters the game for M. Plumlee,9,15
29,1,7:24.0,R. Jackson makes 2-pt jump shot from 15 ft,,11,15
30,1,7:10.0,,K. Bazemore misses 3-pt jump shot from 25 ft,11,15
31,1,7:04.0,Defensive rebound by T. Harris,,11,15
32,1,7:00.0,Turnover by T. Harris (bad pass),,11,15
