,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
0,1,11:46.0,Turnover by B. Beal (bad pass; steal by L. Mbah a Moute),,0,0
1,1,11:39.0,,C. Capela makes 2-pt dunk at rim (assist by P. Tucker),0,2
2,1,11:26.0,J. Wall makes 2-pt jump shot from 18 ft,,2,2
3,1,11:03.0,,J. Harden makes 2-pt layup from 2 ft,2,4
4,1,10:42.0,B. Beal misses 2-pt jump shot from 16 ft,,2,4
5,1,10:40.0,,Defensive rebound by P. Tucker,2,4
6,1,10:34.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),2,6
7,1,10:17.0,J. Wall misses 2-pt layup from 2 ft (block by C. Capela),,2,6
8,1,10:14.0,,Defensive rebound by J. Harden,2,6
9,1,10:11.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by J. Harden),2,8
10,1,10:10.0,Washington full timeout,,2,8
11,1,9:56.0,O. Porter makes 3-pt jump shot from 24 ft (assist by M. Morris),,5,8
12,1,9:38.0,,C. Capela misses 2-pt layup from 1 ft,5,8
13,1,9:36.0,Defensive rebound by M. Morris,,5,8
14,1,9:29.0,M. Morris misses 2-pt jump shot from 9 ft,,5,8
15,1,9:27.0,,Defensive rebound by C. Capela,5,8
16,1,9:13.0,,C. Paul misses 2-pt jump shot from 17 ft,5,8
17,1,9:11.0,Defensive rebound by J. Wall,,5,8
18,1,9:03.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,8,8
19,1,8:38.0,,J. Harden misses 2-pt jump shot from 16 ft,8,8
20,1,8:36.0,Defensive rebound by O. Porter,,8,8
21,1,8:28.0,B. Beal misses 2-pt jump shot from 21 ft,,8,8
22,1,8:24.0,,Defensive rebound by J. Harden,8,8
23,1,8:23.0,,Personal take foul by M. Morris (drawn by J. Harden),8,8
24,1,8:15.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by C. Paul),8,11
25,1,7:59.0,O. Porter misses 3-pt jump shot from 24 ft,,8,11
26,1,7:56.0,,Defensive rebound by C. Paul,8,11
27,1,7:38.0,,L. Mbah a Moute makes 2-pt jump shot from 7 ft (assist by C. Paul),8,13
28,1,7:23.0,M. Gortat makes 2-pt hook shot from 9 ft (assist by M. Morris),,10,13
29,1,7:13.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),10,15
30,1,6:48.0,Shooting foul by L. Mbah a Moute (drawn by J. Wall),,10,15
31,1,6:48.0,J. Wall makes free throw 1 of 2,,11,15
32,1,6:48.0,,E. Gordon enters the game for C. Paul,11,15
33,1,6:48.0,J. Wall makes free throw 2 of 2,,12,15
34,1,6:38.0,,E. Gordon misses 2-pt layup from 1 ft,12,15
