,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:34.0,,L. Aldridge misses 2-pt jump shot from 10 ft,0,0
1,1,11:32.0,Defensive rebound by J. Tatum,,0,0
2,1,11:19.0,J. Tatum misses 2-pt jump shot from 20 ft,,0,0
3,1,11:16.0,,Defensive rebound by L. Aldridge,0,0
4,1,11:11.0,,T. Parker misses 2-pt jump shot from 12 ft,0,0
5,1,11:07.0,Defensive rebound by A. Horford,,0,0
6,1,10:56.0,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Brown),,3,0
7,1,10:39.0,,Turnover by L. Aldridge (lost ball; steal by J. Brown),3,0
8,1,10:35.0,J. Brown makes 2-pt layup from 2 ft,,5,0
9,1,10:35.0,,San Antonio full timeout,5,0
10,1,10:14.0,,P. Gasol misses 2-pt jump shot from 17 ft,5,0
11,1,10:11.0,Defensive rebound by J. Brown,,5,0
12,1,9:55.0,J. Tatum makes 2-pt jump shot from 18 ft,,7,0
13,1,9:40.0,,P. Gasol misses 2-pt jump shot from 19 ft,7,0
14,1,9:38.0,Defensive rebound by J. Tatum,,7,0
15,1,9:33.0,K. Irving makes 2-pt jump shot from 15 ft,,9,0
16,1,9:13.0,,P. Gasol misses 2-pt jump shot from 7 ft,9,0
17,1,9:11.0,,Offensive rebound by L. Aldridge,9,0
18,1,9:11.0,,Personal foul by A. Baynes (drawn by L. Aldridge),9,0
19,1,8:59.0,,L. Aldridge misses 3-pt jump shot from 24 ft,9,0
20,1,8:56.0,Defensive rebound by J. Tatum,,9,0
21,1,8:44.0,Turnover by J. Brown (lost ball; steal by T. Parker),,9,0
22,1,8:32.0,,T. Parker misses 2-pt jump shot from 17 ft,9,0
23,1,8:29.0,,Offensive rebound by R. Gay,9,0
24,1,8:17.0,,P. Gasol misses 3-pt jump shot from 25 ft,9,0
25,1,8:13.0,Defensive rebound by A. Horford,,9,0
26,1,8:09.0,K. Irving misses 3-pt jump shot from 25 ft,,9,0
27,1,8:07.0,Offensive rebound by A. Baynes,,9,0
28,1,8:07.0,A. Baynes makes 2-pt layup at rim,,11,0
29,1,7:55.0,,Shooting block foul by A. Baynes (drawn by L. Aldridge),11,0
30,1,7:55.0,,L. Aldridge makes free throw 1 of 2,11,1
31,1,7:55.0,,P. Mills enters the game for T. Parker,11,1
32,1,7:55.0,,D. Bertāns enters the game for P. Gasol,11,1
33,1,7:55.0,,B. Forbes enters the game for R. Gay,11,1
34,1,7:55.0,,L. Aldridge makes free throw 2 of 2,11,2
35,1,7:35.0,J. Tatum misses 3-pt jump shot from 25 ft,,11,2
36,1,7:30.0,Offensive rebound by A. Horford,,11,2
37,1,7:28.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,14,2
38,1,7:15.0,,P. Mills makes 2-pt jump shot from 21 ft,14,4
39,1,6:52.0,J. Tatum misses 2-pt layup from 1 ft,,14,4
40,1,6:50.0,Offensive rebound by A. Horford,,14,4
41,1,6:47.0,Turnover by A. Horford (bad pass; steal by P. Mills),,14,4
42,1,6:47.0,,Personal foul by K. Irving (drawn by P. Mills),14,4
43,1,6:47.0,M. Morris enters the game for A. Baynes,,14,4
44,1,6:31.0,,D. Green misses 3-pt jump shot from 24 ft,14,4
45,1,6:24.0,,Offensive rebound by L. Aldridge,14,4
46,1,6:24.0,,L. Aldridge makes 2-pt layup at rim,14,6
47,1,6:12.0,K. Irving makes 3-pt jump shot from 25 ft,,17,6
48,1,6:09.0,Technical foul by Team,,17,6
49,1,6:09.0,K. Irving makes technical free throw,,18,6
50,1,5:54.0,,L. Aldridge makes 2-pt hook shot from 10 ft,18,8
51,1,5:38.0,A. Horford misses 3-pt jump shot from 25 ft,,18,8
52,1,5:35.0,,Defensive rebound by D. Green,18,8
53,1,5:21.0,,L. Aldridge makes 2-pt jump shot from 12 ft,18,10
54,1,5:01.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Morris),,20,10
55,1,4:46.0,,P. Mills makes 2-pt jump shot from 18 ft,20,12
56,1,4:34.0,K. Irving makes 3-pt jump shot from 25 ft,,23,12
57,1,4:18.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by P. Mills),23,14
58,1,4:00.0,K. Irving makes 2-pt layup from 2 ft,,25,14
59,1,3:40.0,,L. Aldridge makes 2-pt jump shot from 5 ft,25,16
60,1,3:27.0,Turnover by J. Brown (lost ball; steal by B. Forbes),,25,16
61,1,3:10.0,,L. Aldridge misses 2-pt jump shot from 12 ft,25,16
62,1,3:09.0,Defensive rebound by A. Horford,,25,16
63,1,3:09.0,Boston full timeout,,25,16
64,1,3:09.0,,M. Ginóbili enters the game for D. Green,25,16
65,1,3:09.0,D. Theis enters the game for J. Brown,,25,16
66,1,3:09.0,M. Smart enters the game for A. Horford,,25,16
67,1,2:52.0,K. Irving misses 2-pt jump shot from 16 ft,,25,16
68,1,2:50.0,,Defensive rebound by Team,25,16
69,1,2:38.0,,M. Ginóbili makes 2-pt layup from 3 ft (assist by L. Aldridge),25,18
