,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,0,0
1,1,11:39.0,Defensive rebound by J. Richardson,,0,0
2,1,11:32.0,J. Johnson misses 3-pt jump shot from 25 ft,,0,0
3,1,11:29.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:18.0,,G. Antetokounmpo makes 2-pt jump shot from 7 ft,0,2
5,1,11:03.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Richardson),,2,2
6,1,10:50.0,,E. Bledsoe makes 2-pt layup at rim (assist by G. Antetokounmpo),2,4
7,1,10:28.0,G. Dragić misses 3-pt jump shot from 26 ft,,2,4
8,1,10:26.0,,Defensive rebound by E. Bledsoe,2,4
9,1,10:20.0,,E. Bledsoe misses 2-pt layup from 3 ft,2,4
10,1,10:17.0,Defensive rebound by G. Dragić,,2,4
11,1,10:09.0,J. Johnson misses 2-pt dunk from 2 ft,,2,4
12,1,10:06.0,,Defensive rebound by J. Henson,2,4
13,1,9:55.0,,M. Brogdon misses 2-pt layup from 4 ft,2,4
14,1,9:55.0,,Offensive rebound by Team,2,4
15,1,9:55.0,Loose ball foul by H. Whiteside (drawn by J. Henson),,2,4
16,1,9:46.0,,K. Middleton misses 2-pt jump shot from 13 ft,2,4
17,1,9:43.0,Defensive rebound by H. Whiteside,,2,4
18,1,9:33.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by G. Dragić),,5,4
19,1,9:09.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,5,4
20,1,9:09.0,Defensive rebound by Team,,5,4
21,1,8:57.0,G. Dragić makes 2-pt layup from 6 ft (assist by J. Johnson),,7,4
22,1,8:49.0,,J. Henson misses 2-pt hook shot from 6 ft (block by H. Whiteside),7,4
23,1,8:46.0,Defensive rebound by G. Dragić,,7,4
24,1,8:44.0,Turnover by G. Dragić (out of bounds lost ball),,7,4
25,1,8:28.0,,J. Henson misses 2-pt layup from 4 ft (block by H. Whiteside),7,4
26,1,8:24.0,Defensive rebound by J. Johnson,,7,4
27,1,8:18.0,J. Richardson makes 2-pt jump shot from 18 ft (assist by D. Jones),,9,4
28,1,8:04.0,,Personal foul by J. Richardson (drawn by G. Antetokounmpo),9,4
