,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:43.0,,T. Harris makes 2-pt jump shot from 13 ft (assist by A. Drummond),0,2
1,1,11:28.0,N. Batum misses 2-pt jump shot from 13 ft,,0,2
2,1,11:24.0,,Defensive rebound by R. Bullock,0,2
3,1,11:15.0,,Turnover by I. Smith (out of bounds lost ball),0,2
4,1,11:02.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,3,2
5,1,10:50.0,,R. Bullock misses 3-pt jump shot from 25 ft,3,2
6,1,10:47.0,Defensive rebound by N. Batum,,3,2
7,1,10:33.0,D. Howard makes 2-pt jump shot from 17 ft (assist by K. Walker),,5,2
8,1,10:13.0,,I. Smith makes 2-pt layup from 1 ft,5,4
9,1,9:53.0,D. Howard makes 2-pt hook shot from 2 ft,,7,4
10,1,9:35.0,,A. Bradley misses 2-pt layup from 13 ft,7,4
11,1,9:30.0,Defensive rebound by D. Howard,,7,4
12,1,9:25.0,K. Walker misses 3-pt jump shot from 26 ft,,7,4
13,1,9:24.0,,Defensive rebound by Team,7,4
14,1,9:11.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by I. Smith),7,7
15,1,8:55.0,Turnover by N. Batum (bad pass; steal by A. Drummond),,7,7
16,1,8:51.0,,T. Harris makes 2-pt layup from 2 ft,7,9
17,1,8:51.0,,Shooting foul by M. Williams (drawn by T. Harris),7,9
18,1,8:51.0,,T. Harris makes free throw 1 of 1,7,10
19,1,8:38.0,Turnover by D. Howard (lost ball; steal by I. Smith),,7,10
20,1,8:27.0,,R. Bullock makes 2-pt layup from 2 ft (assist by I. Smith),7,12
21,1,8:09.0,Turnover by D. Howard (lost ball; steal by A. Drummond),,7,12
22,1,8:03.0,,Turnover by I. Smith (bad pass),7,12
23,1,7:52.0,N. Batum makes 2-pt jump shot from 8 ft,,9,12
24,1,7:35.0,,A. Drummond makes 2-pt jump shot from 12 ft (assist by I. Smith),9,14
25,1,7:19.0,Personal foul by R. Bullock (drawn by N. Batum),,9,14
26,1,7:10.0,D. Howard misses 2-pt jump shot from 18 ft,,9,14
27,1,7:06.0,,Defensive rebound by T. Harris,9,14
28,1,6:58.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by T. Harris),9,17
29,1,6:51.0,Charlotte full timeout,,9,17
30,1,6:41.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,12,17
31,1,6:23.0,,A. Bradley misses 2-pt layup from 5 ft (block by D. Howard),12,17
32,1,6:23.0,,Offensive rebound by A. Drummond,12,17
33,1,6:23.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Drummond),12,17
34,1,6:23.0,,A. Drummond makes free throw 1 of 2,12,18
35,1,6:23.0,,A. Drummond misses free throw 2 of 2,12,18
36,1,6:20.0,Defensive rebound by D. Howard,,12,18
37,1,6:07.0,K. Walker misses 2-pt jump shot from 10 ft (block by I. Smith),,12,18
38,1,6:03.0,,Defensive rebound by A. Drummond,12,18
