,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:40.0,M. Morris misses 2-pt jump shot from 9 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:34.0,,K. Lowry misses 3-pt jump shot from 28 ft,0,0
3,1,11:31.0,Defensive rebound by B. Beal,,0,0
4,1,11:11.0,M. Gortat misses 2-pt jump shot from 16 ft,,0,0
5,1,11:07.0,,Defensive rebound by S. Ibaka,0,0
6,1,10:46.0,,Turnover by Team (shot clock),0,0
7,1,10:31.0,O. Porter misses 3-pt jump shot from 26 ft,,0,0
8,1,10:27.0,,Defensive rebound by D. DeRozan,0,0
9,1,10:10.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,0,0
10,1,10:07.0,Defensive rebound by M. Morris,,0,0
11,1,9:59.0,M. Gortat makes 2-pt jump shot from 13 ft,,2,0
12,1,9:47.0,,K. Lowry makes 2-pt layup from 2 ft,2,2
13,1,9:47.0,,Shooting foul by T. Frazier (drawn by K. Lowry),2,2
14,1,9:47.0,,K. Lowry makes free throw 1 of 1,2,3
15,1,9:38.0,O. Porter makes 2-pt jump shot from 11 ft,,4,3
16,1,9:26.0,,D. DeRozan makes 2-pt jump shot from 15 ft,4,5
17,1,9:07.0,B. Beal misses 2-pt jump shot from 16 ft,,4,5
18,1,9:06.0,Offensive rebound by Team,,4,5
19,1,9:03.0,M. Morris misses 2-pt jump shot from 11 ft,,4,5
20,1,8:59.0,,Defensive rebound by J. Valančiūnas,4,5
21,1,8:52.0,,D. DeRozan misses 3-pt jump shot from 26 ft,4,5
22,1,8:48.0,,Offensive rebound by J. Valančiūnas,4,5
23,1,8:41.0,,S. Ibaka misses 3-pt jump shot from 25 ft,4,5
24,1,8:37.0,,Offensive rebound by O. Anunoby,4,5
25,1,8:34.0,,D. DeRozan misses 3-pt jump shot from 24 ft,4,5
26,1,8:31.0,Defensive rebound by T. Frazier,,4,5
27,1,8:26.0,O. Porter misses 2-pt layup from 1 ft,,4,5
28,1,8:24.0,,Defensive rebound by D. DeRozan,4,5
29,1,8:20.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. DeRozan),4,8
30,1,8:05.0,O. Porter misses 2-pt jump shot from 19 ft,,4,8
31,1,8:05.0,,Defensive rebound by K. Lowry,4,8
32,1,7:52.0,,K. Lowry misses 3-pt jump shot from 26 ft,4,8
33,1,7:50.0,Defensive rebound by T. Frazier,,4,8
34,1,7:49.0,Personal foul by O. Anunoby (drawn by T. Frazier),,4,8
35,1,7:45.0,B. Beal makes 2-pt layup at rim (assist by M. Gortat),,6,8
36,1,7:25.0,,J. Valančiūnas misses 2-pt jump shot from 14 ft,6,8
37,1,7:25.0,Defensive rebound by M. Gortat,,6,8
38,1,7:09.0,B. Beal makes 2-pt jump shot from 16 ft (assist by M. Gortat),,8,8
39,1,6:50.0,,S. Ibaka misses 3-pt jump shot from 26 ft,8,8
40,1,6:50.0,Defensive rebound by O. Porter,,8,8
41,1,6:36.0,Turnover by B. Beal (bad pass; steal by O. Anunoby),,8,8
42,1,6:26.0,,Turnover by D. DeRozan (bad pass; steal by O. Porter),8,8
43,1,6:22.0,O. Porter makes 2-pt layup from 2 ft,,10,8
44,1,6:22.0,Shooting foul by K. Lowry (drawn by O. Porter),,10,8
45,1,6:22.0,,Toronto full timeout,10,8
46,1,6:22.0,M. Scott enters the game for M. Morris,,10,8
47,1,6:22.0,O. Porter misses free throw 1 of 1,,10,8
48,1,6:20.0,,Defensive rebound by J. Valančiūnas,10,8
49,1,6:04.0,,S. Ibaka misses 2-pt jump shot from 15 ft,10,8
50,1,6:02.0,,Offensive rebound by J. Valančiūnas,10,8
51,1,6:00.0,,J. Valančiūnas makes 2-pt hook shot from 1 ft,10,10
52,1,5:41.0,M. Gortat misses 2-pt hook shot from 8 ft,,10,10
53,1,5:39.0,,Defensive rebound by O. Anunoby,10,10
54,1,5:21.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by J. Valančiūnas),10,12
55,1,5:08.0,B. Beal makes 3-pt jump shot from 25 ft,,13,12
56,1,4:51.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),13,15
57,1,4:37.0,B. Beal makes 2-pt jump shot from 16 ft (assist by M. Gortat),,15,15
58,1,4:17.0,,D. DeRozan misses 3-pt jump shot from 23 ft,15,15
59,1,4:15.0,,Offensive rebound by S. Ibaka,15,15
60,1,4:10.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,15,15
61,1,4:07.0,Defensive rebound by T. Frazier,,15,15
62,1,3:55.0,M. Scott misses 2-pt hook shot from 5 ft,,15,15
63,1,3:52.0,Offensive rebound by T. Frazier,,15,15
64,1,3:49.0,B. Beal misses 3-pt jump shot from 25 ft,,15,15
65,1,3:48.0,,Defensive rebound by Team,15,15
66,1,3:48.0,,P. Siakam enters the game for O. Anunoby,15,15
67,1,3:48.0,K. Oubre enters the game for O. Porter,,15,15
68,1,3:33.0,,D. DeRozan makes 2-pt jump shot from 6 ft,15,17
69,1,3:22.0,Shooting block foul by J. Valančiūnas (drawn by K. Oubre),,15,17
70,1,3:22.0,K. Oubre misses free throw 1 of 2,,15,17
71,1,3:22.0,Offensive rebound by Team,,15,17
72,1,3:22.0,,L. Nogueira enters the game for J. Valančiūnas,15,17
73,1,3:22.0,I. Mahinmi enters the game for T. Frazier,,15,17
74,1,3:22.0,T. Satoranský enters the game for M. Gortat,,15,17
75,1,3:22.0,K. Oubre misses free throw 2 of 2,,15,17
