,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
0,1,11:42.0,,Turnover by B. Lopez (bad pass; steal by J. Richardson),0,0
1,1,11:39.0,Turnover by J. Richardson (lost ball; steal by K. Kuzma),,0,0
2,1,11:35.0,,J. Randle misses 2-pt jump shot from 8 ft (block by J. Johnson),0,0
3,1,11:35.0,Defensive rebound by J. Johnson,,0,0
4,1,11:25.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,0
5,1,11:05.0,,J. Randle makes 2-pt dunk at rim (assist by L. Ball),3,2
6,1,10:52.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by J. Richardson),,6,2
7,1,10:33.0,,J. Randle misses 2-pt jump shot from 20 ft,6,2
8,1,10:30.0,Defensive rebound by G. Dragić,,6,2
9,1,10:24.0,J. Richardson misses 2-pt jump shot from 20 ft,,6,2
10,1,10:24.0,,Defensive rebound by J. Randle,6,2
11,1,10:05.0,,B. Lopez misses 2-pt jump shot from 10 ft,6,2
12,1,10:02.0,Defensive rebound by J. Johnson,,6,2
13,1,9:56.0,T. Johnson misses 2-pt layup from 1 ft,,6,2
14,1,9:53.0,,Defensive rebound by B. Lopez,6,2
15,1,9:49.0,,L. Ball makes 3-pt jump shot from 24 ft,6,5
16,1,9:22.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,9,5
17,1,9:04.0,,Turnover by B. Lopez (bad pass; steal by J. Johnson),9,5
18,1,9:01.0,G. Dragić misses 2-pt layup from 1 ft,,9,5
19,1,8:58.0,,Defensive rebound by K. Caldwell-Pope,9,5
20,1,8:49.0,,J. Randle makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),9,7
21,1,8:32.0,T. Johnson misses 3-pt jump shot from 24 ft,,9,7
22,1,8:29.0,,Defensive rebound by L. Ball,9,7
23,1,8:15.0,,L. Ball misses 2-pt jump shot from 20 ft,9,7
24,1,8:12.0,Defensive rebound by J. Johnson,,9,7
25,1,7:59.0,J. Johnson makes 2-pt layup from 1 ft,,11,7
26,1,7:45.0,Violation by J. Johnson (kicked ball),,11,7
27,1,7:38.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),11,10
28,1,7:22.0,B. Adebayo misses 2-pt jump shot from 13 ft,,11,10
29,1,7:19.0,,Defensive rebound by K. Kuzma,11,10
30,1,7:14.0,,K. Kuzma makes 2-pt layup from 2 ft,11,12
31,1,7:00.0,J. Johnson misses 3-pt jump shot from 25 ft,,11,12
