,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:46.0,,Personal foul by R. Anderson (drawn by D. Favors),0,0
1,1,11:35.0,,R. Gobert misses 2-pt hook shot from 3 ft,0,0
2,1,11:32.0,Defensive rebound by J. Harden,,0,0
3,1,11:28.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,2,0
4,1,11:09.0,,Turnover by R. Gobert (lost ball; steal by J. Harden),2,0
5,1,10:54.0,R. Anderson makes 2-pt layup from 1 ft (assist by C. Paul),,4,0
6,1,10:44.0,,Turnover by R. Gobert (lost ball; steal by C. Paul),4,0
7,1,10:40.0,C. Paul makes 2-pt layup from 1 ft,,6,0
8,1,10:40.0,,Utah full timeout,6,0
9,1,10:17.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Mitchell),6,2
10,1,9:54.0,J. Harden misses 2-pt jump shot from 10 ft,,6,2
11,1,9:52.0,Offensive rebound by C. Capela,,6,2
12,1,9:42.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by C. Paul),,9,2
13,1,9:22.0,,R. Gobert misses 2-pt jump shot from 7 ft (block by C. Capela),9,2
14,1,9:18.0,,Offensive rebound by J. Ingles,9,2
15,1,9:17.0,,J. Ingles makes 3-pt jump shot from 23 ft,9,5
16,1,9:03.0,Shooting foul by R. Gobert (drawn by C. Capela),,9,5
17,1,9:03.0,C. Capela misses free throw 1 of 2,,9,5
18,1,9:03.0,Offensive rebound by Team,,9,5
19,1,9:03.0,C. Capela misses free throw 2 of 2,,9,5
20,1,9:00.0,,Defensive rebound by D. Mitchell,9,5
21,1,8:45.0,,J. Ingles misses 3-pt jump shot from 25 ft,9,5
22,1,8:42.0,Defensive rebound by C. Capela,,9,5
23,1,8:28.0,C. Capela misses 2-pt dunk at rim,,9,5
24,1,8:26.0,,Defensive rebound by D. Mitchell,9,5
25,1,8:25.0,,Personal foul by C. Paul (drawn by D. Mitchell),9,5
26,1,8:25.0,,J. Jerebko enters the game for D. Favors,9,5
27,1,8:11.0,,D. Mitchell misses 3-pt jump shot from 26 ft,9,5
28,1,8:07.0,Defensive rebound by C. Capela,,9,5
29,1,8:04.0,Personal foul by J. Jerebko (drawn by J. Harden),,9,5
30,1,7:47.0,C. Capela misses 2-pt layup from 2 ft,,9,5
31,1,7:45.0,,Defensive rebound by J. Ingles,9,5
32,1,7:28.0,,J. Ingles misses 3-pt jump shot from 24 ft,9,5
33,1,7:25.0,Defensive rebound by J. Harden,,9,5
34,1,7:17.0,J. Harden makes 2-pt jump shot from 17 ft,,11,5
35,1,7:05.0,,Shooting foul by C. Capela (drawn by J. Ingles),11,5
36,1,7:05.0,,J. Ingles makes free throw 1 of 2,11,6
37,1,7:05.0,E. Gordon enters the game for C. Paul,,11,6
38,1,7:05.0,,J. Ingles makes free throw 2 of 2,11,7
39,1,6:54.0,T. Ariza misses 3-pt jump shot from 25 ft,,11,7
40,1,6:52.0,,Defensive rebound by J. Jerebko,11,7
41,1,6:41.0,,R. Gobert misses 2-pt layup from 4 ft,11,7
42,1,6:35.0,,Offensive rebound by R. Gobert,11,7
43,1,6:35.0,,R. Gobert makes 2-pt dunk at rim,11,9
44,1,6:19.0,E. Gordon misses 3-pt jump shot from 25 ft,,11,9
45,1,6:16.0,Offensive rebound by C. Capela,,11,9
46,1,6:02.0,J. Harden misses 3-pt jump shot from 25 ft,,11,9
47,1,6:00.0,,Defensive rebound by J. Jerebko,11,9
48,1,5:53.0,,R. Rubio misses 3-pt jump shot from 23 ft,11,9
49,1,5:50.0,Defensive rebound by R. Anderson,,11,9
50,1,5:43.0,,Violation by J. Ingles (kicked ball),11,9
