,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,Shooting foul by A. Bradley (drawn by J. Redick),0,0
1,1,11:47.0,,J. Redick makes free throw 1 of 2,0,1
2,1,11:47.0,,J. Redick misses free throw 2 of 2,0,1
3,1,11:44.0,Defensive rebound by A. Bradley,,0,1
4,1,11:30.0,A. Bradley makes 2-pt layup from 3 ft (assist by A. Drummond),,2,1
5,1,11:23.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Redick),2,3
6,1,11:09.0,R. Jackson makes 2-pt jump shot from 4 ft,,4,3
7,1,10:59.0,,Turnover by J. Embiid (palming),4,3
8,1,10:47.0,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Bradley),,7,3
9,1,10:35.0,,D. Šarić misses 3-pt jump shot from 24 ft,7,3
10,1,10:32.0,,Offensive rebound by J. Embiid,7,3
11,1,10:31.0,,J. Embiid misses 2-pt jump shot from 6 ft,7,3
12,1,10:31.0,,Offensive rebound by J. Embiid,7,3
13,1,10:31.0,,Shooting foul by A. Drummond (drawn by J. Embiid),7,3
14,1,10:31.0,,J. Embiid misses free throw 1 of 2,7,3
15,1,10:31.0,,Offensive rebound by Team,7,3
16,1,10:31.0,,J. Embiid makes free throw 2 of 2,7,4
17,1,10:22.0,S. Johnson misses 3-pt jump shot from 22 ft,,7,4
18,1,10:19.0,,Defensive rebound by R. Covington,7,4
19,1,10:05.0,,J. Embiid misses 2-pt jump shot from 14 ft,7,4
20,1,10:02.0,Defensive rebound by A. Drummond,,7,4
21,1,9:49.0,T. Harris makes 2-pt layup from 2 ft,,9,4
22,1,9:32.0,,R. Covington misses 3-pt jump shot from 25 ft,9,4
23,1,9:29.0,Defensive rebound by T. Harris,,9,4
24,1,9:19.0,R. Jackson makes 2-pt jump shot from 10 ft (assist by A. Drummond),,11,4
25,1,9:00.0,,J. Embiid makes 2-pt layup from 2 ft (assist by R. Covington),11,6
26,1,8:42.0,A. Bradley makes 2-pt layup at rim (assist by A. Drummond),,13,6
27,1,8:22.0,,D. Šarić misses 2-pt jump shot from 18 ft,13,6
28,1,8:18.0,Defensive rebound by A. Drummond,,13,6
29,1,8:07.0,S. Johnson misses 3-pt jump shot from 25 ft,,13,6
30,1,8:06.0,,Defensive rebound by Team,13,6
31,1,7:53.0,,J. Embiid makes 2-pt layup from 1 ft (assist by D. Šarić),13,8
32,1,7:45.0,Detroit full timeout,,13,8
33,1,7:45.0,,A. Johnson enters the game for J. Embiid,13,8
34,1,7:35.0,T. Harris makes 3-pt jump shot from 26 ft (assist by R. Jackson),,16,8
35,1,7:16.0,,D. Šarić makes 2-pt layup from 2 ft (assist by A. Johnson),16,10
36,1,6:54.0,S. Johnson makes 2-pt jump shot from 7 ft,,18,10
37,1,6:54.0,Shooting foul by D. Šarić (drawn by S. Johnson),,18,10
38,1,6:54.0,,J. Bayless enters the game for J. Redick,18,10
39,1,6:54.0,S. Johnson makes free throw 1 of 1,,19,10
40,1,6:45.0,,Personal foul by S. Johnson (drawn by B. Simmons),19,10
41,1,6:33.0,,J. Bayless makes 3-pt jump shot from 23 ft (assist by B. Simmons),19,13
42,1,6:21.0,T. Harris misses 3-pt jump shot from 26 ft,,19,13
43,1,6:19.0,Offensive rebound by Team,,19,13
44,1,6:19.0,,T. Luwawu-Cabarrot enters the game for D. Šarić,19,13
45,1,6:17.0,A. Bradley makes 2-pt jump shot from 12 ft (assist by R. Jackson),,21,13
46,1,5:56.0,,A. Johnson makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),21,15
47,1,5:37.0,T. Harris misses 2-pt jump shot from 8 ft,,21,15
48,1,5:33.0,,Defensive rebound by B. Simmons,21,15
49,1,5:23.0,,A. Johnson makes 2-pt hook shot from 3 ft (assist by J. Bayless),21,17
50,1,5:07.0,A. Bradley misses 2-pt layup from 5 ft (block by B. Simmons),,21,17
51,1,5:04.0,,Defensive rebound by A. Johnson,21,17
52,1,5:01.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by B. Simmons),21,20
53,1,4:45.0,R. Jackson misses 2-pt layup from 2 ft,,21,20
54,1,4:43.0,,Defensive rebound by T. Luwawu-Cabarrot,21,20
55,1,4:35.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),21,23
56,1,4:21.0,Detroit full timeout,,21,23
57,1,4:21.0,E. Moreland enters the game for A. Drummond,,21,23
58,1,4:21.0,I. Smith enters the game for R. Jackson,,21,23
59,1,4:12.0,T. Harris misses 2-pt layup from 6 ft,,21,23
60,1,4:11.0,Offensive rebound by Team,,21,23
61,1,4:11.0,Offensive foul by T. Harris (drawn by T. Luwawu-Cabarrot),,21,23
62,1,4:11.0,Turnover by T. Harris (offensive foul),,21,23
63,1,4:00.0,,R. Covington misses 2-pt jump shot from 14 ft,21,23
64,1,3:57.0,,Offensive rebound by J. Bayless,21,23
65,1,3:56.0,,R. Covington misses 3-pt jump shot from 26 ft,21,23
66,1,3:56.0,Defensive rebound by A. Bradley,,21,23
67,1,3:43.0,A. Bradley misses 3-pt jump shot from 25 ft,,21,23
68,1,3:41.0,,Defensive rebound by B. Simmons,21,23
69,1,3:36.0,,J. Bayless misses 2-pt jump shot from 5 ft,21,23
70,1,3:35.0,,Offensive rebound by A. Johnson,21,23
71,1,3:33.0,,A. Johnson makes 2-pt layup from 2 ft,21,25
72,1,3:18.0,,Offensive charge foul by T. Harris (drawn by A. Johnson),21,25
73,1,3:18.0,Turnover by T. Harris (offensive foul),,21,25
74,1,3:18.0,,D. Šarić enters the game for A. Johnson,21,25
75,1,3:18.0,,J. Redick enters the game for B. Simmons,21,25
76,1,3:18.0,,J. Embiid enters the game for R. Covington,21,25
77,1,3:18.0,L. Kennard enters the game for S. Johnson,,21,25
78,1,3:18.0,A. Tolliver enters the game for T. Harris,,21,25
79,1,3:09.0,,Personal foul by E. Moreland (drawn by J. Embiid),21,25
80,1,3:00.0,,Shooting foul by E. Moreland (drawn by J. Embiid),21,25
81,1,3:00.0,,J. Embiid makes free throw 1 of 2,21,26
82,1,3:00.0,,J. Embiid makes free throw 2 of 2,21,27
83,1,2:45.0,I. Smith misses 2-pt jump shot from 15 ft,,21,27
84,1,2:41.0,,Defensive rebound by T. Luwawu-Cabarrot,21,27
85,1,2:34.0,Offensive charge foul by J. Embiid (drawn by I. Smith),,21,27
86,1,2:34.0,,Turnover by J. Embiid (offensive foul),21,27
87,1,2:23.0,Personal foul by J. Bayless (drawn by I. Smith),,21,27
