,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,K. Anderson misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by S. Adams,0,0
2,1,11:39.0,,P. George misses 2-pt jump shot from 14 ft,0,0
3,1,11:39.0,Defensive rebound by B. Paul,,0,0
4,1,11:25.0,Turnover by P. Gasol (bad pass),,0,0
5,1,11:05.0,,R. Westbrook misses 2-pt layup from 1 ft,0,0
6,1,10:59.0,,Offensive rebound by S. Adams,0,0
7,1,10:58.0,,S. Adams misses 2-pt layup from 1 ft,0,0
8,1,10:58.0,Defensive rebound by D. Murray,,0,0
9,1,10:53.0,Personal foul by C. Anthony (drawn by K. Anderson),,0,0
10,1,10:39.0,P. Gasol misses 3-pt jump shot from 24 ft,,0,0
11,1,10:34.0,,Defensive rebound by C. Anthony,0,0
12,1,10:21.0,,S. Adams makes 2-pt jump shot from 11 ft (assist by R. Westbrook),0,2
13,1,9:57.0,B. Paul misses 3-pt jump shot from 24 ft,,0,2
14,1,9:55.0,,Defensive rebound by R. Westbrook,0,2
15,1,9:53.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),0,4
16,1,9:36.0,P. Gasol misses 2-pt jump shot from 14 ft,,0,4
17,1,9:34.0,,Defensive rebound by P. George,0,4
18,1,9:28.0,,S. Adams makes 2-pt layup from 1 ft (assist by P. George),0,6
19,1,9:28.0,,Shooting foul by B. Paul (drawn by S. Adams),0,6
20,1,9:28.0,,S. Adams misses free throw 1 of 1,0,6
21,1,9:26.0,Defensive rebound by K. Anderson,,0,6
22,1,9:19.0,B. Paul makes 2-pt dunk at rim (assist by K. Anderson),,2,6
23,1,8:59.0,,Turnover by R. Westbrook (out of bounds lost ball),2,6
24,1,8:36.0,P. Gasol misses 2-pt jump shot from 7 ft,,2,6
25,1,8:33.0,,Defensive rebound by R. Westbrook,2,6
26,1,8:29.0,,R. Westbrook makes 2-pt jump shot from 15 ft,2,8
27,1,8:06.0,D. Murray misses 2-pt jump shot from 15 ft,,2,8
28,1,7:59.0,,Defensive rebound by S. Adams,2,8
29,1,7:49.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by P. George),2,10
30,1,7:49.0,San Antonio full timeout,,2,10
31,1,7:32.0,D. Green misses 3-pt jump shot from 25 ft,,2,10
32,1,7:28.0,,Defensive rebound by R. Westbrook,2,10
33,1,7:08.0,,Turnover by S. Adams (lost ball; steal by D. Murray),2,10
34,1,7:05.0,D. Murray makes 2-pt layup from 1 ft,,4,10
35,1,6:55.0,,Offensive foul by P. George (drawn by D. Murray),4,10
36,1,6:55.0,,Turnover by P. George (offensive foul),4,10
37,1,6:46.0,B. Paul misses 2-pt jump shot from 12 ft,,4,10
38,1,6:43.0,,Defensive rebound by C. Anthony,4,10
39,1,6:38.0,,P. George misses 2-pt layup from 2 ft (block by P. Gasol),4,10
40,1,6:38.0,Defensive rebound by Team,,4,10
41,1,6:22.0,D. Green makes 2-pt jump shot from 7 ft,,6,10
42,1,5:57.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),6,12
43,1,5:35.0,P. Gasol makes 2-pt jump shot from 6 ft,,8,12
