,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
0,1,11:38.0,M. Morris makes 2-pt layup from 2 ft (assist by M. Gortat),,2,0
1,1,11:14.0,,D. Mitchell makes 2-pt layup from 1 ft,2,2
2,1,10:59.0,M. Gortat misses 2-pt jump shot from 11 ft,,2,2
3,1,10:56.0,,Defensive rebound by R. Gobert,2,2
4,1,10:39.0,,D. Favors misses 2-pt jump shot from 11 ft,2,2
5,1,10:39.0,,Offensive rebound by R. Gobert,2,2
6,1,10:39.0,,R. Gobert misses 2-pt layup from 1 ft,2,2
7,1,10:39.0,Defensive rebound by M. Gortat,,2,2
8,1,10:25.0,B. Beal misses 2-pt layup from 2 ft,,2,2
9,1,10:22.0,,Defensive rebound by R. Gobert,2,2
10,1,10:16.0,,D. Favors makes 2-pt layup from 1 ft (assist by R. Gobert),2,4
11,1,9:47.0,B. Beal makes 2-pt jump shot from 21 ft (assist by M. Gortat),,4,4
12,1,9:36.0,,D. Mitchell makes 2-pt jump shot from 9 ft (assist by D. Favors),4,6
13,1,9:20.0,B. Beal misses 3-pt jump shot from 25 ft,,4,6
14,1,9:18.0,,Defensive rebound by Team,4,6
15,1,8:58.0,,D. Favors misses 3-pt jump shot from 22 ft,4,6
16,1,8:58.0,Defensive rebound by Team,,4,6
17,1,8:58.0,,Loose ball foul by R. Gobert (drawn by M. Gortat),4,6
18,1,8:58.0,,J. Jerebko enters the game for D. Favors,4,6
19,1,8:43.0,T. Frazier makes 3-pt jump shot from 25 ft,,7,6
20,1,8:29.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by J. Jerebko),7,9
21,1,8:16.0,B. Beal misses 2-pt jump shot from 18 ft,,7,9
22,1,8:13.0,,Defensive rebound by R. Gobert,7,9
23,1,8:04.0,,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),7,11
24,1,7:44.0,M. Gortat misses 2-pt hook shot from 4 ft (block by R. Gobert),,7,11
25,1,7:41.0,,Defensive rebound by R. Gobert,7,11
