,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
0,1,11:36.0,Turnover by K. Middleton (bad pass; steal by R. Anderson),,0,0
1,1,11:28.0,,T. Ariza makes 2-pt layup at rim (assist by J. Harden),0,2
2,1,11:13.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,0,2
3,1,11:09.0,,Defensive rebound by J. Harden,0,2
4,1,10:47.0,,J. Harden makes 2-pt layup from 1 ft,0,4
5,1,10:39.0,K. Middleton makes 2-pt layup from 1 ft,,2,4
6,1,10:14.0,,P. Tucker misses 3-pt jump shot from 25 ft,2,4
7,1,10:13.0,Defensive rebound by Team,,2,4
8,1,10:13.0,G. Payton enters the game for E. Bledsoe,,2,4
9,1,9:56.0,G. Payton misses 3-pt jump shot from 22 ft,,2,4
10,1,9:53.0,,Defensive rebound by C. Paul,2,4
11,1,9:45.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by C. Paul),2,7
12,1,9:21.0,Turnover by G. Antetokounmpo (lost ball; steal by P. Tucker),,2,7
13,1,9:19.0,,Turnover by C. Paul (lost ball; steal by G. Antetokounmpo),2,7
14,1,9:19.0,Shooting foul by P. Tucker (drawn by G. Payton),,2,7
15,1,9:19.0,G. Payton makes free throw 1 of 2,,3,7
16,1,9:19.0,G. Payton makes free throw 2 of 2,,4,7
17,1,9:00.0,,Turnover by C. Paul (bad pass; steal by G. Antetokounmpo),4,7
18,1,8:57.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,6,7
19,1,8:43.0,,Personal block foul by G. Payton (drawn by C. Paul),6,7
20,1,8:36.0,,T. Ariza misses 3-pt jump shot from 25 ft,6,7
21,1,8:36.0,Defensive rebound by Team,,6,7
22,1,8:21.0,K. Middleton makes 3-pt jump shot from 26 ft,,9,7
23,1,8:07.0,,C. Paul misses 3-pt jump shot from 23 ft,9,7
24,1,8:05.0,,Offensive rebound by Team,9,7
25,1,8:05.0,Loose ball foul by G. Payton (drawn by P. Tucker),,9,7
26,1,7:58.0,,Personal foul by G. Payton (drawn by C. Paul),9,7
27,1,7:58.0,E. Bledsoe enters the game for G. Payton,,9,7
28,1,7:50.0,,J. Harden misses 2-pt jump shot from 10 ft,9,7
29,1,7:50.0,Defensive rebound by Team,,9,7
30,1,7:42.0,Turnover by K. Middleton (out of bounds lost ball),,9,7
31,1,7:32.0,,Shooting foul by K. Middleton (drawn by T. Ariza),9,7
32,1,7:32.0,,T. Ariza makes free throw 1 of 2,9,8
33,1,7:32.0,,T. Ariza makes free throw 2 of 2,9,9
34,1,7:12.0,K. Middleton makes 2-pt jump shot from 13 ft,,11,9
35,1,6:52.0,,R. Anderson misses 3-pt jump shot from 24 ft,11,9
36,1,6:50.0,Defensive rebound by G. Antetokounmpo,,11,9
37,1,6:43.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,11,9
38,1,6:37.0,Offensive rebound by J. Henson,,11,9
39,1,6:37.0,J. Henson misses 2-pt layup at rim,,11,9
40,1,6:36.0,,Defensive rebound by J. Harden,11,9
41,1,6:35.0,,Shooting foul by D. Liggins (drawn by J. Harden),11,9
42,1,6:35.0,,Houston full timeout,11,9
43,1,6:35.0,,E. Gordon enters the game for C. Paul,11,9
44,1,6:35.0,T. Maker enters the game for J. Henson,,11,9
45,1,6:35.0,,J. Harden makes free throw 1 of 2,11,10
46,1,6:35.0,,J. Harden makes free throw 2 of 2,11,11
47,1,6:22.0,Personal foul by T. Ariza (drawn by G. Antetokounmpo),,11,11
48,1,6:14.0,D. Liggins misses 2-pt layup at rim,,11,11
49,1,6:13.0,,Defensive rebound by J. Harden,11,11
50,1,6:02.0,,J. Harden makes 3-pt jump shot from 25 ft,11,14
51,1,5:42.0,E. Bledsoe misses 2-pt jump shot from 9 ft (block by R. Anderson),,11,14
52,1,5:37.0,,Defensive rebound by R. Anderson,11,14
53,1,5:35.0,,T. Ariza makes 2-pt dunk at rim (assist by R. Anderson),11,16
54,1,5:07.0,Personal foul by E. Gordon (drawn by D. Liggins),,11,16
55,1,5:07.0,,N. Hilário enters the game for R. Anderson,11,16
56,1,5:07.0,M. Brogdon enters the game for G. Antetokounmpo,,11,16
57,1,5:00.0,K. Middleton misses 3-pt jump shot from 23 ft,,11,16
58,1,4:57.0,,Defensive rebound by P. Tucker,11,16
59,1,4:52.0,,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Harden),11,18
60,1,4:52.0,Milwaukee full timeout,,11,18
61,1,4:52.0,,R. Anderson enters the game for P. Tucker,11,18
62,1,4:38.0,E. Bledsoe makes 2-pt jump shot from 17 ft (assist by D. Liggins),,13,18
63,1,4:21.0,,E. Gordon misses 3-pt jump shot from 25 ft,13,18
64,1,4:15.0,Defensive rebound by K. Middleton,,13,18
65,1,4:07.0,T. Maker misses 2-pt layup at rim,,13,18
66,1,4:05.0,,Defensive rebound by R. Anderson,13,18
