,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:51.0,,B. Simmons misses 2-pt jump shot from 3 ft,0,0
1,1,11:49.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:30.0,J. Johnson makes 2-pt layup from 1 ft (assist by J. Richardson),,2,0
3,1,11:15.0,,Turnover by J. Redick (lost ball; steal by T. Johnson),2,0
4,1,11:10.0,G. Dragić misses 2-pt layup from 2 ft (block by R. Covington),,2,0
5,1,11:09.0,Offensive rebound by G. Dragić,,2,0
6,1,11:09.0,Shooting foul by D. Šarić (drawn by T. Johnson),,2,0
7,1,11:09.0,T. Johnson makes free throw 1 of 2,,3,0
8,1,11:09.0,,M. Belinelli enters the game for J. Redick,3,0
9,1,11:09.0,T. Johnson makes free throw 2 of 2,,4,0
10,1,10:58.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by A. Johnson),4,3
11,1,10:44.0,G. Dragić misses 2-pt hook shot,,4,3
12,1,10:42.0,Offensive rebound by H. Whiteside,,4,3
13,1,10:41.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by H. Whiteside),,7,3
14,1,10:26.0,,B. Simmons misses 2-pt layup from 8 ft (block by H. Whiteside),7,3
15,1,10:23.0,,Offensive rebound by B. Simmons,7,3
16,1,10:22.0,,B. Simmons misses 2-pt hook shot from 3 ft,7,3
17,1,10:20.0,,Offensive rebound by A. Johnson,7,3
18,1,10:18.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by A. Johnson),7,6
19,1,10:00.0,G. Dragić misses 2-pt layup from 3 ft,,7,6
20,1,9:58.0,,Defensive rebound by B. Simmons,7,6
21,1,9:54.0,,R. Covington misses 2-pt jump shot from 19 ft,7,6
22,1,9:50.0,Defensive rebound by T. Johnson,,7,6
23,1,9:39.0,Shooting foul by A. Johnson (drawn by J. Johnson),,7,6
24,1,9:39.0,J. Johnson makes free throw 1 of 2,,8,6
25,1,9:39.0,J. Johnson misses free throw 2 of 2,,8,6
26,1,9:37.0,,Defensive rebound by B. Simmons,8,6
27,1,9:27.0,,M. Belinelli misses 3-pt jump shot from 25 ft,8,6
28,1,9:23.0,Defensive rebound by J. Johnson,,8,6
29,1,9:17.0,T. Johnson misses 3-pt jump shot from 24 ft,,8,6
30,1,9:14.0,,Defensive rebound by R. Covington,8,6
31,1,9:10.0,,Shooting foul by J. Richardson (drawn by B. Simmons),8,6
32,1,9:10.0,,B. Simmons makes free throw 1 of 2,8,7
33,1,9:10.0,,B. Simmons makes free throw 2 of 2,8,8
34,1,8:56.0,Turnover by J. Johnson (out of bounds lost ball),,8,8
35,1,8:47.0,,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),8,10
36,1,8:32.0,T. Johnson misses 2-pt jump shot from 2 ft,,8,10
37,1,8:27.0,,Defensive rebound by M. Belinelli,8,10
38,1,8:20.0,,D. Šarić misses 2-pt layup from 2 ft (block by H. Whiteside),8,10
39,1,8:17.0,,Offensive rebound by M. Belinelli,8,10
40,1,8:14.0,,Turnover by B. Simmons (lost ball; steal by J. Richardson),8,10
41,1,8:12.0,Shooting foul by R. Covington (drawn by J. Richardson),,8,10
42,1,8:12.0,J. Richardson makes free throw 1 of 2,,9,10
43,1,8:12.0,J. Richardson makes free throw 2 of 2,,10,10
44,1,8:01.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Covington),10,13
45,1,7:39.0,Personal foul by B. Simmons (drawn by H. Whiteside),,10,13
46,1,7:30.0,T. Johnson makes 2-pt jump shot from 14 ft (assist by J. Johnson),,12,13
47,1,7:19.0,,B. Simmons makes 2-pt dunk from 1 ft,12,15
48,1,6:58.0,J. Richardson misses 2-pt jump shot from 16 ft,,12,15
49,1,6:56.0,,Defensive rebound by A. Johnson,12,15
