,QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,Personal foul by C. Anthony (drawn by T. Hardaway),,0,0
1,1,11:34.0,T. Hardaway misses 3-pt jump shot from 26 ft,,0,0
2,1,11:32.0,,Defensive rebound by Team,0,0
3,1,11:20.0,,P. George misses 3-pt jump shot from 22 ft,0,0
4,1,11:20.0,Turnover by Team (shot clock),,0,0
5,1,11:15.0,,Defensive rebound by R. Westbrook,0,0
6,1,11:14.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Westbrook),0,3
7,1,10:52.0,E. Freedom misses 2-pt hook shot from 4 ft,,0,3
8,1,10:52.0,,Defensive rebound by Team,0,3
9,1,10:34.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,5
10,1,10:34.0,,Shooting foul by E. Freedom (drawn by S. Adams),0,5
11,1,10:34.0,,S. Adams misses free throw 1 of 1,0,5
12,1,10:31.0,Defensive rebound by K. Porziņģis,,0,5
13,1,10:11.0,R. Sessions makes 3-pt jump shot from 25 ft,,3,5
14,1,9:48.0,,C. Anthony misses 2-pt layup from 1 ft (block by K. Porziņģis),3,5
15,1,9:45.0,,Offensive rebound by A. Roberson,3,5
16,1,9:43.0,,A. Roberson misses 3-pt jump shot from 22 ft,3,5
17,1,9:41.0,Defensive rebound by C. Lee,,3,5
18,1,9:31.0,C. Lee makes 3-pt jump shot from 25 ft (assist by E. Freedom),,6,5
19,1,9:21.0,,Shooting foul by T. Hardaway (drawn by P. George),6,5
20,1,9:21.0,,P. George makes free throw 1 of 2,6,6
21,1,9:21.0,,P. George makes free throw 2 of 2,6,7
22,1,8:57.0,C. Lee misses 2-pt jump shot from 22 ft,,6,7
23,1,8:54.0,,Defensive rebound by R. Westbrook,6,7
24,1,8:50.0,,P. George misses 3-pt jump shot from 25 ft,6,7
25,1,8:47.0,,Offensive rebound by S. Adams,6,7
26,1,8:46.0,,C. Anthony misses 3-pt jump shot from 24 ft,6,7
27,1,8:45.0,,Offensive rebound by Team,6,7
28,1,8:45.0,Loose ball foul by R. Sessions (drawn by A. Roberson),,6,7
29,1,8:41.0,,R. Westbrook misses 2-pt layup from 1 ft,6,7
30,1,8:39.0,Defensive rebound by E. Freedom,,6,7
31,1,8:32.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,6,7
32,1,8:31.0,Offensive rebound by Team,,6,7
33,1,8:31.0,,Loose ball foul by S. Adams (drawn by E. Freedom),6,7
34,1,8:23.0,T. Hardaway misses 3-pt jump shot from 22 ft,,6,7
35,1,8:21.0,Offensive rebound by E. Freedom,,6,7
36,1,8:20.0,E. Freedom makes 2-pt layup from 1 ft,,8,7
37,1,7:54.0,,C. Anthony misses 3-pt jump shot from 25 ft,8,7
38,1,7:53.0,,Offensive rebound by Team,8,7
39,1,7:50.0,,R. Westbrook misses 3-pt jump shot from 24 ft,8,7
40,1,7:48.0,,Offensive rebound by Team,8,7
41,1,7:46.0,,Personal foul by T. Hardaway (drawn by P. George),8,7
42,1,7:46.0,L. Thomas enters the game for T. Hardaway,,8,7
43,1,7:34.0,,C. Anthony misses 2-pt dunk at rim,8,7
44,1,7:31.0,Defensive rebound by E. Freedom,,8,7
45,1,7:26.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by L. Thomas),,10,7
46,1,7:08.0,,P. George makes 3-pt jump shot from 24 ft,10,10
47,1,6:59.0,Offensive foul by L. Thomas (drawn by P. George),,10,10
48,1,6:59.0,Turnover by L. Thomas (offensive foul),,10,10
49,1,6:59.0,,Oklahoma City full timeout,10,10
50,1,6:59.0,,Á. Abrines enters the game for A. Roberson,10,10
51,1,6:47.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by C. Anthony),10,13
52,1,6:25.0,Turnover by E. Freedom (lost ball; steal by C. Anthony),,10,13
53,1,6:22.0,,Á. Abrines misses 3-pt jump shot from 24 ft,10,13
54,1,6:18.0,Defensive rebound by R. Sessions,,10,13
55,1,6:10.0,L. Thomas misses 3-pt jump shot from 23 ft,,10,13
56,1,6:10.0,Offensive rebound by E. Freedom,,10,13
57,1,6:07.0,E. Freedom makes 2-pt layup from 1 ft,,12,13
58,1,5:50.0,,P. George misses 3-pt jump shot from 24 ft,12,13
59,1,5:48.0,Defensive rebound by K. Porziņģis,,12,13
60,1,5:41.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,12,13
61,1,5:41.0,,Defensive rebound by Team,12,13
62,1,5:41.0,,J. Grant enters the game for C. Anthony,12,13
63,1,5:31.0,,Turnover by R. Westbrook (bad pass; steal by E. Freedom),12,13
64,1,5:24.0,Turnover by R. Sessions (bad pass; steal by Á. Abrines),,12,13
65,1,5:18.0,,P. George makes 3-pt jump shot from 22 ft,12,16
66,1,4:54.0,Turnover by K. Porziņģis (bad pass; steal by S. Adams),,12,16
67,1,4:52.0,,Shooting foul by R. Sessions (drawn by P. George),12,16
