,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
285,3,2:42.0,,Loose ball foul by T. Cavanaugh (drawn by N. Vučević),81,80
286,3,2:42.0,Orlando full timeout,,81,80
287,3,2:42.0,,I. Taylor enters the game for D. Schröder,81,80
288,3,2:30.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by S. Mack),,83,80
289,3,2:07.0,,M. Belinelli makes 2-pt jump shot from 19 ft,83,82
290,3,1:51.0,S. Mack makes 2-pt layup from 3 ft (assist by N. Vučević),,85,82
291,3,1:36.0,,Turnover by D. Bembry (palming),85,82
292,3,1:23.0,N. Vučević misses 2-pt jump shot from 10 ft,,85,82
293,3,1:20.0,,Defensive rebound by L. Babbitt,85,82
294,3,1:16.0,,T. Cavanaugh makes 2-pt layup from 1 ft (assist by D. Bembry),85,84
295,3,1:03.0,A. Afflalo makes 2-pt layup from 1 ft (assist by S. Mack),,87,84
296,3,0:42.0,,T. Cavanaugh makes 3-pt jump shot from 25 ft (assist by M. Belinelli),87,87
297,3,0:37.0,Personal foul by T. Cavanaugh (drawn by N. Vučević),,87,87
298,3,0:37.0,,M. Plumlee enters the game for T. Cavanaugh,87,87
299,3,0:33.0,S. Mack misses 2-pt jump shot from 17 ft,,87,87
300,3,0:30.0,,Defensive rebound by L. Babbitt,87,87
301,3,0:14.0,,I. Taylor misses 3-pt jump shot from 24 ft,87,87
302,3,0:10.0,,Offensive rebound by M. Plumlee,87,87
303,3,0:01.0,,I. Taylor makes 2-pt layup from 3 ft,87,89
304,3,0:00.0,D. Augustin misses 3-pt jump shot from 64 ft,,87,89
305,3,0:00.0,Offensive rebound by Team,,87,89
306,4,11:45.0,,I. Taylor makes 2-pt layup from 8 ft (assist by M. Belinelli),87,91
307,4,11:16.0,S. Mack makes 3-pt jump shot from 24 ft (assist by D. Augustin),,90,91
308,4,11:03.0,,Shooting foul by A. Afflalo (drawn by M. Plumlee),90,91
309,4,11:03.0,,M. Plumlee makes free throw 1 of 2,90,92
310,4,11:03.0,,K. Bazemore enters the game for L. Babbitt,90,92
311,4,11:03.0,,M. Plumlee makes free throw 2 of 2,90,93
312,4,10:52.0,D. Augustin misses 3-pt jump shot from 24 ft (block by I. Taylor),,90,93
313,4,10:52.0,Offensive rebound by Team,,90,93
314,4,10:43.0,W. Iwundu misses 3-pt jump shot from 24 ft,,90,93
315,4,10:40.0,,Defensive rebound by T. Prince,90,93
316,4,10:34.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by T. Prince),90,95
317,4,10:19.0,B. Biyombo makes 2-pt dunk at rim (assist by S. Mack),,92,95
318,4,9:57.0,,Personal foul by A. Afflalo (drawn by T. Prince),92,95
319,4,9:48.0,,K. Bazemore misses 3-pt jump shot from 25 ft,92,95
320,4,9:44.0,Defensive rebound by B. Biyombo,,92,95
321,4,9:34.0,Turnover by S. Mack (traveling),,92,95
322,4,9:34.0,,T. Cavanaugh enters the game for M. Plumlee,92,95
323,4,9:24.0,,Turnover by K. Bazemore (bad pass),92,95
324,4,9:19.0,Personal block foul by I. Taylor (drawn by D. Augustin),,92,95
325,4,9:19.0,,D. Schröder enters the game for I. Taylor,92,95
326,4,9:19.0,J. Simmons enters the game for W. Iwundu,,92,95
327,4,9:02.0,A. Afflalo misses 3-pt jump shot from 22 ft,,92,95
328,4,8:58.0,Offensive rebound by J. Simmons,,92,95
329,4,8:57.0,J. Simmons makes 2-pt layup from 3 ft,,94,95
330,4,8:40.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by T. Cavanaugh),94,98
331,4,8:28.0,Turnover by A. Afflalo (lost ball; steal by K. Bazemore),,94,98
332,4,8:24.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by K. Bazemore),94,101
333,4,8:23.0,Orlando full timeout,,94,101
334,4,8:23.0,,D. Bembry enters the game for T. Prince,94,101
335,4,8:23.0,N. Vučević enters the game for B. Biyombo,,94,101
336,4,8:00.0,J. Simmons makes 2-pt jump shot from 1 ft (assist by S. Mack),,96,101
337,4,7:43.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Cavanaugh),96,104
338,4,7:29.0,J. Simmons makes 2-pt jump shot from 3 ft (assist by N. Vučević),,98,104
339,4,7:10.0,,D. Bembry misses 2-pt jump shot from 9 ft,98,104
340,4,7:05.0,,Offensive rebound by D. Bembry,98,104
341,4,7:05.0,,D. Bembry misses 2-pt layup at rim,98,104
342,4,7:05.0,,Offensive rebound by T. Cavanaugh,98,104
343,4,7:02.0,,T. Cavanaugh misses 2-pt layup from 1 ft,98,104
344,4,7:01.0,Defensive rebound by N. Vučević,,98,104
345,4,6:56.0,J. Simmons makes 2-pt layup from 1 ft (assist by S. Mack),,100,104
346,4,6:29.0,,Turnover by M. Belinelli (lost ball; steal by S. Mack),100,104
347,4,6:27.0,J. Simmons makes 2-pt dunk from 1 ft (assist by S. Mack),,102,104
348,4,6:27.0,,Atlanta full timeout,102,104
349,4,6:27.0,,E. İlyasova enters the game for M. Belinelli,102,104
350,4,6:27.0,,T. Prince enters the game for D. Bembry,102,104
351,4,6:27.0,E. Payton enters the game for A. Afflalo,,102,104
352,4,6:27.0,M. Hezonja enters the game for D. Augustin,,102,104
353,4,6:12.0,,D. Schröder misses 2-pt jump shot from 12 ft,102,104
354,4,6:08.0,,Offensive rebound by T. Cavanaugh,102,104
355,4,6:04.0,,D. Schröder misses 2-pt jump shot from 11 ft,102,104
356,4,6:02.0,Defensive rebound by Team,,102,104
357,4,5:38.0,S. Mack misses 2-pt jump shot from 10 ft,,102,104
358,4,5:34.0,Offensive rebound by J. Simmons,,102,104
359,4,5:28.0,M. Hezonja misses 3-pt jump shot from 24 ft,,102,104
360,4,5:24.0,,Defensive rebound by T. Cavanaugh,102,104
361,4,5:03.0,,K. Bazemore misses 3-pt jump shot from 25 ft,102,104
362,4,4:59.0,Defensive rebound by N. Vučević,,102,104
363,4,4:50.0,M. Hezonja makes 3-pt jump shot from 23 ft (assist by S. Mack),,105,104
364,4,4:32.0,,Personal foul by M. Hezonja (drawn by T. Prince),105,104
365,4,4:32.0,,M. Belinelli enters the game for D. Schröder,105,104
366,4,4:26.0,,E. İlyasova makes 2-pt layup from 3 ft (assist by M. Belinelli),105,106
367,4,4:15.0,Turnover by S. Mack (step out of bounds),,105,106
368,4,4:15.0,,D. Schröder enters the game for K. Bazemore,105,106
369,4,4:01.0,,D. Schröder misses 2-pt layup from 7 ft,105,106
370,4,3:58.0,Defensive rebound by N. Vučević,,105,106
371,4,3:49.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by N. Vučević),,108,106
372,4,3:28.0,,Turnover by T. Prince (bad pass; steal by J. Simmons),108,106
373,4,3:13.0,Offensive foul by N. Vučević (drawn by D. Schröder),,108,106
374,4,3:13.0,Turnover by N. Vučević (offensive foul),,108,106
375,4,2:50.0,,M. Belinelli misses 3-pt jump shot from 25 ft,108,106
376,4,2:49.0,,Offensive rebound by E. İlyasova,108,106
377,4,2:49.0,,Shooting foul by E. Payton (drawn by E. İlyasova),108,106
378,4,2:49.0,,E. İlyasova misses free throw 1 of 2,108,106
379,4,2:49.0,,Offensive rebound by Team,108,106
