,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,T. Johnson makes 2-pt jump shot from 8 ft (assist by J. Winslow),,2,0
1,1,11:28.0,,E. Moore makes 2-pt jump shot from 3 ft (assist by R. Rondo),2,2
2,1,11:12.0,Shooting foul by E. Moore (drawn by G. Dragić),,2,2
3,1,11:12.0,G. Dragić makes free throw 1 of 2,,3,2
4,1,11:12.0,G. Dragić makes free throw 2 of 2,,4,2
5,1,11:07.0,,Turnover by E. Okafor (lost ball; steal by H. Whiteside),4,2
6,1,11:02.0,J. Richardson makes 2-pt layup from 1 ft (assist by G. Dragić),,6,2
7,1,10:51.0,,R. Rondo misses 2-pt layup from 5 ft,6,2
8,1,10:51.0,Defensive rebound by H. Whiteside,,6,2
9,1,10:45.0,G. Dragić misses 3-pt jump shot from 26 ft,,6,2
10,1,10:45.0,Offensive rebound by J. Richardson,,6,2
11,1,10:31.0,T. Johnson makes 2-pt layup at rim (assist by J. Richardson),,8,2
12,1,10:22.0,,Personal foul by J. Winslow (drawn by A. Davis),8,2
13,1,10:16.0,,E. Okafor misses 2-pt jump shot from 14 ft,8,2
14,1,10:11.0,Defensive rebound by H. Whiteside,,8,2
15,1,10:01.0,T. Johnson makes 2-pt jump shot from 9 ft,,10,2
16,1,9:52.0,,Shooting foul by H. Whiteside (drawn by J. Holiday),10,2
17,1,9:52.0,,J. Holiday makes free throw 1 of 2,10,3
18,1,9:52.0,,J. Holiday makes free throw 2 of 2,10,4
19,1,9:44.0,G. Dragić makes 2-pt layup from 2 ft,,12,4
20,1,9:37.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),12,6
21,1,9:15.0,T. Johnson misses 2-pt jump shot from 8 ft,,12,6
22,1,9:12.0,Offensive rebound by J. Richardson,,12,6
23,1,9:10.0,Turnover by H. Whiteside (lost ball; steal by J. Holiday),,12,6
24,1,9:05.0,,Personal foul by J. Winslow (drawn by A. Davis),12,6
25,1,9:05.0,J. Johnson enters the game for J. Winslow,,12,6
26,1,8:57.0,,J. Holiday misses 2-pt layup at rim (block by H. Whiteside),12,6
27,1,8:52.0,,Offensive rebound by J. Holiday,12,6
28,1,8:47.0,,A. Davis misses 2-pt jump shot from 13 ft,12,6
29,1,8:43.0,Defensive rebound by J. Richardson,,12,6
30,1,8:40.0,J. Johnson misses 2-pt jump shot from 7 ft,,12,6
31,1,8:36.0,,Defensive rebound by A. Davis,12,6
32,1,8:34.0,Violation by J. Richardson (kicked ball),,12,6
33,1,8:29.0,,E. Moore misses 3-pt jump shot from 26 ft,12,6
34,1,8:24.0,Defensive rebound by H. Whiteside,,12,6
