,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:35.0,,S. Labissière misses 2-pt jump shot from 15 ft,0,0
1,1,11:33.0,Defensive rebound by T. Chandler,,0,0
2,1,11:20.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by T. Warren),,2,0
3,1,11:06.0,,Turnover by G. Hill (step out of bounds),2,0
4,1,10:57.0,Personal foul by G. Temple (drawn by T. Warren),,2,0
5,1,10:45.0,T. Warren misses 3-pt jump shot from 26 ft,,2,0
6,1,10:42.0,,Defensive rebound by S. Labissière,2,0
7,1,10:34.0,,Z. Randolph misses 2-pt jump shot from 21 ft,2,0
8,1,10:31.0,Defensive rebound by T. Chandler,,2,0
9,1,10:21.0,M. Chriss misses 3-pt jump shot from 22 ft,,2,0
10,1,10:16.0,Offensive rebound by T. Chandler,,2,0
11,1,10:11.0,Turnover by T. Chandler (bad pass; steal by G. Hill),,2,0
12,1,10:06.0,,G. Temple misses 2-pt jump shot from 15 ft,2,0
13,1,10:02.0,Defensive rebound by J. Jackson,,2,0
14,1,9:58.0,Turnover by J. Jackson (lost ball; steal by G. Hill),,2,0
15,1,9:54.0,,D. Fox makes 2-pt layup from 2 ft (assist by G. Hill),2,2
16,1,9:46.0,T. Warren misses 2-pt jump shot from 14 ft,,2,2
17,1,9:46.0,,Defensive rebound by Z. Randolph,2,2
18,1,9:32.0,,Turnover by Z. Randolph (lost ball; steal by M. Chriss),2,2
19,1,9:27.0,Turnover by T. Warren (lost ball; steal by D. Fox),,2,2
20,1,9:23.0,,G. Hill misses 3-pt jump shot from 25 ft,2,2
21,1,9:20.0,Defensive rebound by T. Warren,,2,2
22,1,8:58.0,J. Jackson makes 2-pt jump shot from 5 ft,,4,2
23,1,8:35.0,,Z. Randolph misses 2-pt hook shot from 7 ft,4,2
24,1,8:32.0,,Offensive rebound by S. Labissière,4,2
25,1,8:30.0,,S. Labissière makes 2-pt dunk at rim,4,4
26,1,8:12.0,T. Warren makes 2-pt jump shot from 6 ft (assist by M. Chriss),,6,4
27,1,7:50.0,,S. Labissière misses 2-pt jump shot from 14 ft,6,4
28,1,7:47.0,Defensive rebound by Team,,6,4
29,1,7:34.0,T. Warren misses 2-pt jump shot from 17 ft,,6,4
30,1,7:31.0,,Defensive rebound by Z. Randolph,6,4
31,1,7:15.0,,Turnover by S. Labissière (lost ball; steal by T. Chandler),6,4
32,1,7:13.0,M. Chriss misses 2-pt layup from 2 ft (block by G. Temple),,6,4
33,1,7:13.0,,Defensive rebound by Team,6,4
34,1,7:13.0,,Sacramento full timeout,6,4
35,1,6:59.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by Z. Randolph),6,7
36,1,6:33.0,M. Chriss makes 2-pt jump shot from 5 ft (assist by T. Ulis),,8,7
37,1,6:14.0,,G. Temple misses 2-pt jump shot from 15 ft,8,7
38,1,6:14.0,Defensive rebound by Team,,8,7
39,1,6:14.0,,Loose ball foul by S. Labissière (drawn by T. Chandler),8,7
40,1,6:01.0,T. Ulis makes 2-pt jump shot from 20 ft,,10,7
41,1,5:41.0,,Shooting foul by J. Jackson (drawn by G. Hill),10,7
42,1,5:41.0,,G. Hill makes free throw 1 of 2,10,8
43,1,5:41.0,,W. Cauley-Stein enters the game for S. Labissière,10,8
44,1,5:41.0,,G. Hill makes free throw 2 of 2,10,9
45,1,5:21.0,T. Warren makes 2-pt jump shot from 21 ft,,12,9
46,1,5:01.0,,G. Temple misses 3-pt jump shot from 23 ft,12,9
47,1,4:59.0,,Offensive rebound by Z. Randolph,12,9
48,1,4:58.0,,Z. Randolph makes 2-pt layup from 2 ft,12,11
49,1,4:38.0,M. Chriss misses 2-pt jump shot from 21 ft,,12,11
50,1,4:34.0,,Defensive rebound by G. Hill,12,11
