,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
0,1,11:40.0,,I. Thomas makes 2-pt jump shot from 23 ft,0,2
1,1,11:21.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
2,1,11:19.0,,Defensive rebound by K. Love,0,2
3,1,11:15.0,,Personal foul by D. Green (drawn by L. James),0,2
4,1,11:07.0,,Turnover by J. Smith (bad pass; steal by S. Curry),0,2
5,1,11:01.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,2
6,1,10:40.0,,Personal foul by K. Thompson (drawn by I. Thomas),3,2
7,1,10:30.0,,J. Smith makes 2-pt jump shot from 22 ft,3,4
8,1,10:17.0,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),,5,4
9,1,10:03.0,,I. Thomas misses 2-pt jump shot from 11 ft,5,4
10,1,10:00.0,Defensive rebound by K. Thompson,,5,4
11,1,9:50.0,K. Thompson misses 2-pt jump shot from 17 ft,,5,4
12,1,9:48.0,,Defensive rebound by J. Crowder,5,4
13,1,9:41.0,,K. Love makes 2-pt hook shot from 13 ft (assist by L. James),5,6
14,1,9:33.0,Turnover by D. Green (traveling),,5,6
15,1,9:21.0,Violation by J. Bell (kicked ball),,5,6
16,1,9:16.0,,L. James makes 2-pt dunk at rim (assist by K. Love),5,8
17,1,8:59.0,D. Green misses 2-pt jump shot from 2 ft,,5,8
18,1,8:59.0,Offensive rebound by J. Bell,,5,8
19,1,8:59.0,Shooting foul by L. James (drawn by J. Bell),,5,8
20,1,8:59.0,J. Bell makes free throw 1 of 2,,6,8
21,1,8:59.0,J. Bell makes free throw 2 of 2,,7,8
22,1,8:45.0,,I. Thomas misses 3-pt jump shot from 25 ft,7,8
23,1,8:43.0,,Offensive rebound by Team,7,8
24,1,8:43.0,Loose ball foul by S. Curry (drawn by J. Crowder),,7,8
25,1,8:34.0,,L. James makes 2-pt jump shot from 3 ft,7,10
26,1,8:21.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,9,10
27,1,8:05.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by L. James),9,13
28,1,7:53.0,Personal foul by K. Love (drawn by K. Durant),,9,13
29,1,7:48.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),,11,13
30,1,7:33.0,,K. Love makes 3-pt jump shot from 26 ft (assist by I. Thomas),11,16
31,1,7:27.0,K. Thompson misses 3-pt jump shot from 30 ft,,11,16
32,1,7:24.0,,Defensive rebound by K. Love,11,16
33,1,7:18.0,,I. Thomas makes 2-pt jump shot from 13 ft,11,18
34,1,7:13.0,Golden State full timeout,,11,18
35,1,7:04.0,Turnover by D. Green (bad pass; steal by L. James),,11,18
36,1,6:56.0,,I. Thomas misses 3-pt jump shot from 25 ft,11,18
37,1,6:53.0,Defensive rebound by D. Green,,11,18
38,1,6:47.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Durant),,14,18
39,1,6:33.0,,K. Love misses 2-pt layup from 1 ft,14,18
40,1,6:30.0,Defensive rebound by D. Green,,14,18
41,1,6:23.0,K. Thompson makes 3-pt jump shot from 22 ft (assist by S. Curry),,17,18
42,1,6:02.0,,L. James misses 2-pt jump shot from 22 ft,17,18
43,1,5:59.0,Defensive rebound by J. Bell,,17,18
44,1,5:51.0,J. Bell makes 2-pt layup at rim (assist by K. Durant),,19,18
45,1,5:51.0,,Cleveland full timeout,19,18
46,1,5:36.0,,Turnover by J. Smith (lost ball; steal by S. Curry),19,18
47,1,5:31.0,Turnover by K. Durant (bad pass; steal by L. James),,19,18
48,1,5:26.0,,Shooting foul by J. Bell (drawn by K. Love),19,18
49,1,5:26.0,,K. Love makes free throw 1 of 3,19,19
50,1,5:26.0,,K. Love makes free throw 2 of 3,19,20
51,1,5:26.0,,K. Love makes free throw 3 of 3,19,21
52,1,5:17.0,Personal foul by J. Smith (drawn by J. Bell),,19,21
53,1,5:17.0,A. Iguodala enters the game for D. Green,,19,21
54,1,5:11.0,J. Bell makes 2-pt layup from 2 ft (assist by S. Curry),,21,21
55,1,4:54.0,,L. James makes 2-pt jump shot from 1 ft,21,23
56,1,4:49.0,K. Thompson makes 2-pt layup at rim (assist by S. Curry),,23,23
57,1,4:35.0,,L. James makes 2-pt dunk from 1 ft (assist by I. Thomas),23,25
58,1,4:23.0,A. Iguodala misses 2-pt jump shot from 18 ft,,23,25
59,1,4:20.0,,Defensive rebound by K. Love,23,25
