,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BROOKLYN_ACTION,PHOENIX_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Chriss),0,0
1,1,11:23.0,M. James makes 3-pt jump shot from 23 ft (assist by D. Booker),,3,0
2,1,11:11.0,,T. Mozgov makes 2-pt jump shot from 8 ft,3,2
3,1,10:53.0,M. James makes 3-pt jump shot from 24 ft (assist by D. Booker),,6,2
4,1,10:47.0,,Personal foul by T. Chandler (drawn by T. Mozgov),6,2
5,1,10:39.0,,D. Russell misses 2-pt jump shot from 17 ft,6,2
6,1,10:35.0,Defensive rebound by T. Warren,,6,2
7,1,10:33.0,Personal foul by D. Russell (drawn by M. James),,6,2
8,1,10:26.0,T. Warren misses 2-pt jump shot from 14 ft,,6,2
9,1,10:23.0,,Defensive rebound by R. Hollis-Jefferson,6,2
10,1,10:18.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),6,5
11,1,10:05.0,M. James misses 2-pt layup from 3 ft,,6,5
12,1,10:02.0,,Defensive rebound by T. Mozgov,6,5
13,1,9:59.0,,D. Russell misses 2-pt layup from 2 ft,6,5
14,1,9:54.0,,Offensive rebound by C. LeVert,6,5
15,1,9:49.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by C. LeVert),6,7
16,1,9:29.0,Turnover by M. James (bad pass),,6,7
17,1,9:17.0,,D. Russell makes 2-pt jump shot from 20 ft,6,9
18,1,9:02.0,D. Booker misses 2-pt jump shot from 17 ft,,6,9
19,1,8:58.0,,Defensive rebound by R. Hollis-Jefferson,6,9
20,1,8:55.0,,Shooting foul by M. Chriss (drawn by R. Hollis-Jefferson),6,9
21,1,8:55.0,,R. Hollis-Jefferson misses free throw 1 of 2,6,9
22,1,8:55.0,,Offensive rebound by Team,6,9
23,1,8:55.0,,R. Hollis-Jefferson misses free throw 2 of 2,6,9
24,1,8:53.0,Defensive rebound by T. Chandler,,6,9
25,1,8:30.0,T. Warren misses 3-pt jump shot from 29 ft,,6,9
26,1,8:30.0,Offensive rebound by Team,,6,9
27,1,8:30.0,Turnover by Team (shot clock),,6,9
28,1,8:19.0,,D. Russell makes 2-pt jump shot from 19 ft,6,11
29,1,8:08.0,M. James makes 2-pt jump shot from 9 ft,,8,11
30,1,8:01.0,,D. Russell makes 3-pt jump shot from 25 ft,8,14
31,1,7:44.0,Shooting foul by T. Mozgov (drawn by M. Chriss),,8,14
32,1,7:44.0,M. Chriss makes free throw 1 of 2,,9,14
33,1,7:44.0,M. Chriss makes free throw 2 of 2,,10,14
34,1,7:37.0,,Personal foul by D. Booker (drawn by D. Russell),10,14
35,1,7:31.0,,Turnover by T. Mozgov (lost ball; steal by M. James),10,14
36,1,7:24.0,M. James makes 2-pt layup from 1 ft,,12,14
37,1,7:11.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,12,14
38,1,7:08.0,Defensive rebound by T. Warren,,12,14
39,1,7:02.0,Turnover by M. James (bad pass; steal by R. Hollis-Jefferson),,12,14
40,1,6:57.0,,C. LeVert misses 3-pt jump shot from 25 ft,12,14
41,1,6:51.0,Defensive rebound by M. James,,12,14
42,1,6:49.0,M. James misses 3-pt jump shot from 24 ft,,12,14
43,1,6:49.0,,Defensive rebound by T. Mozgov,12,14
44,1,6:40.0,,D. Carroll misses 2-pt jump shot from 21 ft,12,14
45,1,6:40.0,Defensive rebound by T. Chandler,,12,14
46,1,6:22.0,,Brooklyn full timeout,12,14
47,1,6:22.0,D. Bender enters the game for M. Chriss,,12,14
48,1,6:16.0,M. James misses 2-pt jump shot from 11 ft,,12,14
49,1,6:09.0,,Defensive rebound by D. Russell,12,14
50,1,5:58.0,,R. Hollis-Jefferson makes 2-pt jump shot from 12 ft,12,16
51,1,5:44.0,D. Booker makes 3-pt jump shot from 24 ft (assist by M. James),,15,16
52,1,5:44.0,,Brooklyn full timeout,15,16
53,1,5:44.0,,A. Crabbe enters the game for T. Mozgov,15,16
54,1,5:44.0,,T. Zeller enters the game for C. LeVert,15,16
55,1,5:29.0,,D. Russell makes 2-pt jump shot from 19 ft,15,18
56,1,5:18.0,Personal foul by R. Hollis-Jefferson (drawn by D. Booker),,15,18
57,1,5:10.0,Turnover by D. Booker (lost ball; steal by T. Zeller),,15,18
58,1,5:06.0,,Turnover by D. Russell (bad pass; steal by M. James),15,18
59,1,5:00.0,D. Booker makes 2-pt jump shot from 18 ft (assist by M. James),,17,18
60,1,4:53.0,,D. Russell makes 2-pt jump shot from 5 ft,17,20
61,1,4:41.0,T. Chandler misses 2-pt layup from 4 ft,,17,20
62,1,4:41.0,,Defensive rebound by R. Hollis-Jefferson,17,20
63,1,4:37.0,,R. Hollis-Jefferson misses 2-pt layup at rim,17,20
64,1,4:37.0,Defensive rebound by D. Booker,,17,20
65,1,4:31.0,D. Booker makes 2-pt jump shot from 10 ft,,19,20
66,1,4:21.0,,S. Dinwiddie enters the game for D. Russell,19,20
67,1,4:21.0,,T. Booker enters the game for R. Hollis-Jefferson,19,20
68,1,4:21.0,J. Jackson enters the game for T. Chandler,,19,20
69,1,4:21.0,A. Len enters the game for T. Warren,,19,20
70,1,4:11.0,,A. Crabbe misses 2-pt jump shot from 21 ft,19,20
71,1,4:11.0,Defensive rebound by A. Len,,19,20
72,1,4:03.0,A. Len misses 2-pt jump shot from 9 ft,,19,20
73,1,4:02.0,,Defensive rebound by A. Crabbe,19,20
74,1,3:53.0,,T. Zeller misses 2-pt layup from 2 ft,19,20
75,1,3:52.0,,Offensive rebound by Team,19,20
76,1,3:52.0,,T. Zeller misses 2-pt layup from 2 ft,19,20
77,1,3:50.0,Defensive rebound by A. Len,,19,20
78,1,3:41.0,M. James makes 2-pt layup from 2 ft,,21,20
79,1,3:23.0,,T. Booker misses 2-pt jump shot from 16 ft,21,20
80,1,3:20.0,Defensive rebound by D. Booker,,21,20
81,1,3:16.0,D. Booker misses 3-pt jump shot from 26 ft,,21,20
82,1,3:16.0,,Defensive rebound by A. Crabbe,21,20
83,1,3:06.0,,D. Carroll misses 3-pt jump shot from 25 ft,21,20
84,1,3:06.0,Defensive rebound by A. Len,,21,20
85,1,2:53.0,J. Jackson makes 2-pt layup from 3 ft (assist by D. Bender),,23,20
86,1,2:31.0,,T. Booker misses 2-pt hook shot from 7 ft,23,20
87,1,2:31.0,Defensive rebound by A. Len,,23,20
88,1,2:16.0,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),,26,20
89,1,2:02.0,,T. Zeller makes 2-pt layup from 1 ft (assist by S. Dinwiddie),26,22
90,1,1:50.0,Turnover by M. James (lost ball; steal by S. Dinwiddie),,26,22
91,1,1:45.0,,D. Carroll misses 2-pt layup from 2 ft (block by M. James),26,22
