,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
0,1,11:39.0,D. Brooks misses 2-pt jump shot from 7 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Ingles,0,0
2,1,11:13.0,,Turnover by Team (shot clock),0,0
3,1,10:50.0,Turnover by D. Brooks (lost ball; steal by R. O'Neale),,0,0
4,1,10:37.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),0,2
5,1,10:28.0,Turnover by J. Martin (bad pass; steal by R. O'Neale),,0,2
6,1,10:24.0,,R. O'Neale makes 2-pt layup from 1 ft,0,4
7,1,10:03.0,J. Green misses 2-pt jump shot from 12 ft,,0,4
8,1,10:01.0,,Defensive rebound by R. Gobert,0,4
9,1,9:53.0,,D. Mitchell makes 2-pt jump shot from 14 ft,0,6
10,1,9:39.0,Memphis full timeout,,0,6
11,1,9:30.0,K. Simmons makes 2-pt jump shot from 11 ft,,2,6
12,1,9:08.0,,D. Mitchell misses 3-pt jump shot from 27 ft,2,6
13,1,9:06.0,Defensive rebound by J. Green,,2,6
14,1,9:00.0,K. Simmons makes 2-pt layup from 2 ft,,4,6
15,1,8:44.0,,J. Ingles misses 3-pt jump shot from 26 ft,4,6
16,1,8:41.0,Defensive rebound by K. Simmons,,4,6
17,1,8:27.0,M. Gasol makes 2-pt jump shot from 16 ft (assist by J. Martin),,6,6
18,1,8:07.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),6,9
19,1,7:52.0,K. Simmons misses 3-pt jump shot from 24 ft,,6,9
20,1,7:50.0,,Defensive rebound by J. Ingles,6,9
21,1,7:32.0,,J. Ingles makes 2-pt jump shot from 22 ft,6,11
22,1,7:13.0,D. Brooks misses 3-pt jump shot from 24 ft,,6,11
23,1,7:10.0,,Defensive rebound by R. Gobert,6,11
24,1,7:08.0,,Turnover by R. Gobert (lost ball; steal by K. Simmons),6,11
25,1,6:59.0,J. Green makes 2-pt jump shot from 19 ft (assist by K. Simmons),,8,11
26,1,6:35.0,,Shooting foul by J. Martin (drawn by D. Favors),8,11
27,1,6:35.0,,D. Favors misses free throw 1 of 2,8,11
28,1,6:35.0,,Offensive rebound by Team,8,11
29,1,6:35.0,,D. Favors misses free throw 2 of 2,8,11
30,1,6:30.0,,Offensive rebound by D. Favors,8,11
31,1,6:21.0,,R. O'Neale makes 2-pt jump shot from 11 ft (assist by J. Ingles),8,13
32,1,6:21.0,,Shooting foul by K. Simmons (drawn by R. O'Neale),8,13
33,1,6:21.0,,J. Crowder enters the game for D. Favors,8,13
34,1,6:21.0,,R. O'Neale makes free throw 1 of 1,8,14
35,1,6:01.0,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),,10,14
36,1,5:42.0,,R. O'Neale makes 2-pt jump shot from 10 ft,10,16
