,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
0,1,11:44.0,K. Dunn makes 2-pt layup from 1 ft (assist by D. Valentine),,2,0
1,1,11:31.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Smith),2,3
2,1,11:11.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by D. Valentine),,5,3
3,1,10:57.0,,M. Kleber misses 2-pt layup from 2 ft,5,3
4,1,10:55.0,,Offensive rebound by M. Kleber,5,3
5,1,10:53.0,,M. Kleber misses 2-pt layup from 2 ft,5,3
6,1,10:52.0,Defensive rebound by R. Lopez,,5,3
7,1,10:47.0,Turnover by L. Markkanen (lost ball; steal by D. Nowitzki),,5,3
8,1,10:41.0,,W. Matthews misses 3-pt jump shot from 27 ft,5,3
9,1,10:38.0,Defensive rebound by D. Valentine,,5,3
10,1,10:16.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by R. Lopez),,8,3
11,1,9:49.0,,H. Barnes makes 2-pt hook shot from 2 ft,8,5
12,1,9:37.0,R. Lopez makes 2-pt hook shot from 6 ft,,10,5
13,1,9:29.0,,Turnover by D. Smith (bad pass; steal by L. Markkanen),10,5
14,1,9:24.0,K. Dunn makes 2-pt layup from 2 ft (assist by D. Valentine),,12,5
15,1,9:09.0,,H. Barnes makes 2-pt jump shot from 9 ft (assist by W. Matthews),12,7
16,1,8:59.0,K. Dunn makes 3-pt jump shot from 25 ft,,15,7
17,1,8:42.0,,H. Barnes misses 3-pt jump shot from 23 ft,15,7
18,1,8:39.0,Defensive rebound by L. Markkanen,,15,7
19,1,8:31.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Lopez),,18,7
20,1,8:29.0,,Dallas full timeout,18,7
21,1,8:16.0,,W. Matthews misses 2-pt jump shot from 7 ft,18,7
22,1,8:13.0,Defensive rebound by L. Markkanen,,18,7
23,1,8:06.0,K. Dunn makes 2-pt jump shot from 16 ft,,20,7
24,1,7:54.0,,M. Kleber makes 2-pt dunk at rim (assist by D. Nowitzki),20,9
25,1,7:41.0,Turnover by R. Lopez (bad pass),,20,9
26,1,7:22.0,,M. Kleber makes 2-pt hook shot from 4 ft (assist by H. Barnes),20,11
27,1,7:07.0,R. Lopez misses 2-pt hook shot from 6 ft,,20,11
28,1,7:05.0,,Defensive rebound by W. Matthews,20,11
29,1,6:56.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),20,14
30,1,6:45.0,R. Lopez makes 2-pt layup from 1 ft (assist by K. Dunn),,22,14
31,1,6:45.0,Shooting foul by D. Nowitzki (drawn by R. Lopez),,22,14
32,1,6:45.0,,S. Mejri enters the game for D. Nowitzki,22,14
33,1,6:45.0,R. Lopez misses free throw 1 of 1,,22,14
34,1,6:41.0,,Defensive rebound by S. Mejri,22,14
35,1,6:34.0,,H. Barnes misses 2-pt jump shot from 13 ft,22,14
36,1,6:31.0,Defensive rebound by D. Valentine,,22,14
37,1,6:25.0,D. Valentine misses 3-pt jump shot from 24 ft,,22,14
38,1,6:22.0,,Defensive rebound by S. Mejri,22,14
39,1,6:14.0,,D. Smith misses 2-pt jump shot from 12 ft,22,14
40,1,6:12.0,Defensive rebound by D. Valentine,,22,14
41,1,6:05.0,Turnover by K. Dunn (lost ball; steal by D. Smith),,22,14
42,1,5:58.0,,Turnover by D. Smith (bad pass; steal by D. Valentine),22,14
43,1,5:38.0,R. Lopez makes 2-pt hook shot from 7 ft,,24,14
44,1,5:12.0,,W. Matthews misses 2-pt jump shot from 23 ft,24,14
45,1,5:09.0,Defensive rebound by L. Markkanen,,24,14
46,1,4:59.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),,27,14
47,1,4:52.0,,Dallas full timeout,27,14
48,1,4:52.0,,Y. Ferrell enters the game for D. Smith,27,14
49,1,4:44.0,,H. Barnes makes 2-pt jump shot from 11 ft (assist by M. Kleber),27,16
50,1,4:26.0,R. Lopez misses 2-pt layup from 7 ft,,27,16
51,1,4:22.0,,Defensive rebound by M. Kleber,27,16
52,1,4:09.0,,H. Barnes misses 2-pt layup from 4 ft,27,16
53,1,4:05.0,,Offensive rebound by Y. Ferrell,27,16
54,1,3:56.0,,H. Barnes makes 2-pt jump shot from 9 ft (assist by Y. Ferrell),27,18
55,1,3:34.0,K. Dunn misses 2-pt jump shot from 10 ft,,27,18
56,1,3:32.0,,Defensive rebound by H. Barnes,27,18
57,1,3:22.0,,H. Barnes makes 2-pt jump shot from 20 ft,27,20
58,1,3:07.0,Offensive foul by K. Dunn (drawn by Y. Ferrell),,27,20
59,1,3:07.0,Turnover by K. Dunn (offensive foul),,27,20
60,1,3:07.0,N. Mirotić enters the game for L. Markkanen,,27,20
61,1,3:07.0,D. Nwaba enters the game for D. Valentine,,27,20
62,1,2:45.0,,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by H. Barnes),27,23
63,1,2:41.0,Chicago full timeout,,27,23
64,1,2:21.0,D. Nwaba misses 2-pt layup from 2 ft (block by S. Mejri),,27,23
65,1,2:17.0,,Defensive rebound by H. Barnes,27,23
66,1,1:55.0,,Turnover by Y. Ferrell (lost ball; steal by N. Mirotić),27,23
67,1,1:46.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by K. Dunn),,30,23
68,1,1:23.0,,M. Kleber misses 3-pt jump shot from 25 ft,30,23
69,1,1:21.0,Defensive rebound by D. Nwaba,,30,23
70,1,1:17.0,D. Nwaba makes 2-pt layup from 2 ft,,32,23
71,1,1:00.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by M. Kleber),32,26
72,1,0:53.0,Personal take foul by Y. Ferrell (drawn by K. Dunn),,32,26
73,1,0:53.0,,J. Barea enters the game for W. Matthews,32,26
74,1,0:53.0,,D. Harris enters the game for M. Kleber,32,26
75,1,0:53.0,J. Grant enters the game for K. Dunn,,32,26
76,1,0:41.0,Personal foul by Y. Ferrell (drawn by N. Mirotić),,32,26
77,1,0:41.0,N. Mirotić makes free throw 1 of 2,,33,26
78,1,0:41.0,,D. Powell enters the game for H. Barnes,33,26
79,1,0:41.0,,D. Nowitzki enters the game for S. Mejri,33,26
80,1,0:41.0,B. Portis enters the game for R. Lopez,,33,26
81,1,0:41.0,N. Mirotić makes free throw 2 of 2,,34,26
82,1,0:32.0,,J. Barea makes 2-pt jump shot from 9 ft,34,28
83,1,0:25.0,N. Mirotić misses 2-pt jump shot from 15 ft,,34,28
84,1,0:22.0,,Defensive rebound by D. Powell,34,28
85,1,0:01.0,,J. Barea misses 2-pt layup from 5 ft (block by N. Mirotić),34,28
86,1,0:00.0,Defensive rebound by N. Mirotić,,34,28
87,2,11:41.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),34,30
88,2,11:27.0,D. Nwaba makes 2-pt jump shot from 10 ft,,36,30
89,2,11:27.0,Shooting foul by J. Barea (drawn by D. Nwaba),,36,30
90,2,11:27.0,D. Nwaba misses free throw 1 of 1,,36,30
91,2,11:24.0,Offensive rebound by N. Mirotić,,36,30
92,2,11:22.0,,Offensive charge foul by D. Nwaba (drawn by D. Harris),36,30
93,2,11:22.0,Turnover by D. Nwaba (offensive foul),,36,30
94,2,11:09.0,,J. Barea misses 2-pt layup from 1 ft,36,30
95,2,11:09.0,,Offensive rebound by Team,36,30
96,2,11:09.0,Loose ball foul by B. Portis (drawn by D. Powell),,36,30
