,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,L. Aldridge misses 2-pt jump shot from 21 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Cousins,0,0
2,1,11:30.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),0,2
3,1,11:14.0,P. Gasol makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,3,2
4,1,11:02.0,,R. Rondo misses 2-pt jump shot from 19 ft,3,2
5,1,10:58.0,Defensive rebound by P. Gasol,,3,2
6,1,10:42.0,P. Gasol misses 3-pt jump shot from 25 ft,,3,2
7,1,10:37.0,,Defensive rebound by A. Davis,3,2
8,1,10:20.0,,E. Moore misses 3-pt jump shot from 23 ft,3,2
9,1,10:16.0,Defensive rebound by D. Green,,3,2
10,1,10:16.0,San Antonio full timeout,,3,2
11,1,10:03.0,L. Aldridge misses 2-pt jump shot from 15 ft,,3,2
12,1,10:02.0,Offensive rebound by K. Anderson,,3,2
13,1,10:02.0,K. Anderson misses 2-pt layup from 1 ft,,3,2
14,1,10:02.0,,Defensive rebound by D. Cousins,3,2
15,1,9:42.0,,D. Cousins misses 3-pt jump shot from 25 ft,3,2
16,1,9:39.0,Defensive rebound by K. Anderson,,3,2
17,1,9:32.0,P. Gasol makes 2-pt layup from 1 ft (assist by K. Anderson),,5,2
18,1,9:13.0,,D. Cousins misses 2-pt hook shot from 7 ft (block by P. Gasol),5,2
19,1,9:02.0,,Offensive rebound by D. Cousins,5,2
20,1,9:02.0,,J. Holiday misses 2-pt jump shot from 11 ft,5,2
21,1,8:59.0,Defensive rebound by K. Anderson,,5,2
22,1,8:57.0,L. Aldridge misses 2-pt jump shot from 18 ft,,5,2
23,1,8:57.0,,Defensive rebound by A. Davis,5,2
24,1,8:48.0,,J. Holiday misses 3-pt jump shot from 23 ft,5,2
25,1,8:44.0,Defensive rebound by P. Mills,,5,2
26,1,8:34.0,K. Anderson makes 2-pt hook shot from 7 ft (assist by D. Green),,7,2
27,1,8:16.0,,J. Holiday misses 2-pt layup from 1 ft,7,2
28,1,8:12.0,Defensive rebound by P. Gasol,,7,2
29,1,8:05.0,P. Gasol makes 3-pt jump shot from 25 ft (assist by K. Anderson),,10,2
30,1,8:02.0,,New Orleans full timeout,10,2
31,1,7:51.0,,Turnover by J. Holiday (bad pass; steal by D. Green),10,2
32,1,7:47.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. Green),,12,2
33,1,7:47.0,Shooting foul by J. Holiday (drawn by L. Aldridge),,12,2
34,1,7:47.0,L. Aldridge makes free throw 1 of 1,,13,2
35,1,7:27.0,,R. Rondo misses 2-pt layup from 2 ft,13,2
36,1,7:26.0,,Offensive rebound by D. Cousins,13,2
