,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:42.0,,G. Green misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,Defensive rebound by J. Jackson,,0,0
2,1,11:22.0,J. Jackson misses 2-pt jump shot from 10 ft,,0,0
3,1,11:20.0,,Defensive rebound by C. Capela,0,0
4,1,11:04.0,,J. Harden misses 2-pt layup from 1 ft,0,0
5,1,11:02.0,Defensive rebound by M. Chriss,,0,0
6,1,10:48.0,T. Daniels misses 3-pt jump shot from 25 ft,,0,0
7,1,10:45.0,,Defensive rebound by J. Harden,0,0
8,1,10:38.0,,C. Capela misses 2-pt layup from 1 ft,0,0
9,1,10:35.0,Defensive rebound by T. Daniels,,0,0
10,1,10:27.0,D. Bender makes 2-pt dunk at rim (assist by M. Chriss),,2,0
11,1,10:06.0,,P. Tucker misses 3-pt jump shot from 25 ft,2,0
12,1,10:02.0,Defensive rebound by M. Chriss,,2,0
13,1,9:46.0,J. Jackson misses 2-pt jump shot from 6 ft,,2,0
14,1,9:45.0,,Defensive rebound by T. Ariza,2,0
15,1,9:32.0,,T. Ariza misses 3-pt jump shot from 24 ft,2,0
16,1,9:30.0,Defensive rebound by Team,,2,0
17,1,9:17.0,J. Jackson makes 2-pt layup at rim,,4,0
18,1,9:00.0,,T. Ariza misses 2-pt layup at rim,4,0
19,1,9:00.0,,Offensive rebound by Team,4,0
20,1,9:00.0,Loose ball foul by D. Bender (drawn by C. Capela),,4,0
21,1,8:53.0,,G. Green misses 3-pt jump shot from 25 ft,4,0
22,1,8:50.0,Defensive rebound by D. Bender,,4,0
23,1,8:45.0,J. Jackson makes 2-pt layup at rim,,6,0
24,1,8:35.0,,Shooting block foul by D. Bender (drawn by J. Harden),6,0
25,1,8:35.0,,J. Harden misses free throw 1 of 2,6,0
26,1,8:35.0,,Offensive rebound by Team,6,0
27,1,8:35.0,A. Peters enters the game for D. Bender,,6,0
28,1,8:35.0,,J. Harden makes free throw 2 of 2,6,1
29,1,8:27.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by T. Ulis),,9,1
30,1,8:15.0,,Shooting foul by M. Chriss (drawn by J. Harden),9,1
31,1,8:15.0,,J. Harden makes free throw 1 of 2,9,2
32,1,8:15.0,,J. Harden makes free throw 2 of 2,9,3
33,1,7:53.0,T. Ulis misses 2-pt jump shot from 12 ft,,9,3
34,1,7:51.0,,Defensive rebound by J. Harden,9,3
35,1,7:45.0,,P. Tucker misses 2-pt jump shot from 6 ft,9,3
36,1,7:42.0,Defensive rebound by A. Peters,,9,3
