,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
41,1,6:54.0,,L. Kornet enters the game for M. Beasley,16,7
42,1,6:54.0,A. Wiggins makes free throw 2 of 2,,17,7
43,1,6:34.0,,T. Hardaway makes 2-pt jump shot from 14 ft (assist by L. Kornet),17,9
44,1,6:22.0,J. Teague misses 2-pt jump shot from 9 ft,,17,9
45,1,6:18.0,,Defensive rebound by F. Ntilikina,17,9
46,1,6:15.0,,Turnover by T. Hardaway (lost ball; steal by A. Wiggins),17,9
47,1,6:05.0,T. Gibson makes 2-pt jump shot from 20 ft (assist by A. Wiggins),,19,9
48,1,5:43.0,,F. Ntilikina misses 2-pt jump shot from 12 ft,19,9
49,1,5:41.0,,Offensive rebound by E. Freedom,19,9
50,1,5:40.0,,E. Freedom makes 2-pt layup from 1 ft,19,11
51,1,5:25.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,21,11
52,1,5:01.0,,C. Lee misses 2-pt jump shot from 12 ft,21,11
53,1,4:57.0,Defensive rebound by A. Wiggins,,21,11
54,1,4:47.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,24,11
55,1,4:25.0,,L. Kornet misses 2-pt jump shot from 17 ft,24,11
56,1,4:21.0,Defensive rebound by K. Towns,,24,11
57,1,4:09.0,T. Gibson makes 2-pt jump shot from 5 ft (assist by J. Teague),,26,11
58,1,4:02.0,,New York full timeout,26,11
59,1,4:02.0,,T. Williams enters the game for C. Lee,26,11
60,1,4:02.0,J. Crawford enters the game for N. Bjelica,,26,11
61,1,3:49.0,,E. Freedom makes 2-pt hook shot from 5 ft,26,13
62,1,3:37.0,K. Towns makes 2-pt jump shot from 6 ft (assist by J. Teague),,28,13
63,1,3:22.0,,F. Ntilikina makes 2-pt layup from 2 ft,28,15
64,1,2:57.0,T. Gibson misses 2-pt layup from 1 ft,,28,15
65,1,2:54.0,,Defensive rebound by L. Kornet,28,15
66,1,2:49.0,,E. Freedom misses 2-pt layup from 1 ft,28,15
67,1,2:47.0,Defensive rebound by A. Wiggins,,28,15
68,1,2:41.0,Turnover by A. Wiggins (lost ball; steal by T. Hardaway),,28,15
69,1,2:30.0,,E. Freedom makes 2-pt layup from 2 ft (assist by T. Hardaway),28,17
70,1,2:15.0,Turnover by J. Crawford (bad pass; steal by T. Williams),,28,17
71,1,2:11.0,,T. Williams makes 2-pt dunk at rim (assist by E. Freedom),28,19
72,1,1:59.0,Minnesota full timeout,,28,19
73,1,1:59.0,T. Jones enters the game for K. Towns,,28,19
74,1,1:59.0,G. Dieng enters the game for J. Teague,,28,19
75,1,1:52.0,Turnover by G. Dieng (traveling),,28,19
76,1,1:44.0,,T. Hardaway misses 3-pt jump shot from 26 ft,28,19
77,1,1:41.0,Defensive rebound by G. Dieng,,28,19
78,1,1:35.0,Turnover by T. Jones (bad pass; steal by F. Ntilikina),,28,19
79,1,1:29.0,,Turnover by F. Ntilikina (bad pass; steal by T. Gibson),28,19
80,1,1:24.0,G. Dieng misses 2-pt jump shot from 11 ft,,28,19
81,1,1:21.0,,Defensive rebound by E. Freedom,28,19
82,1,1:00.0,,T. Williams misses 2-pt layup from 1 ft,28,19
83,1,0:56.0,,Offensive rebound by E. Freedom,28,19
84,1,0:56.0,,E. Freedom misses 2-pt layup at rim,28,19
85,1,0:56.0,,Offensive rebound by T. Williams,28,19
86,1,0:53.0,,T. Hardaway makes 2-pt jump shot from 16 ft (assist by T. Williams),28,21
87,1,0:33.0,J. Crawford makes 3-pt jump shot from 25 ft,,31,21
88,1,0:29.0,,Shooting foul by G. Dieng (drawn by T. Hardaway),31,21
89,1,0:29.0,,T. Hardaway makes free throw 1 of 2,31,22
90,1,0:29.0,N. Bjelica enters the game for T. Gibson,,31,22
91,1,0:29.0,,T. Hardaway misses free throw 2 of 2,31,22
92,1,0:28.0,,Offensive rebound by Team,31,22
93,1,0:04.0,,T. Hardaway misses 3-pt jump shot from 27 ft,31,22
94,1,0:03.0,Defensive rebound by Team,,31,22
95,1,0:00.0,A. Wiggins misses 3-pt jump shot from 32 ft,,31,22
96,1,0:00.0,Offensive rebound by Team,,31,22
97,2,11:45.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),31,25
98,2,11:17.0,K. Towns makes 3-pt jump shot from 23 ft (assist by T. Jones),,34,25
99,2,10:56.0,,K. O'Quinn misses 2-pt jump shot from 15 ft,34,25
100,2,10:54.0,Defensive rebound by G. Dieng,,34,25
101,2,10:36.0,J. Crawford makes 2-pt jump shot from 6 ft,,36,25
102,2,10:21.0,,K. O'Quinn misses 2-pt layup from 1 ft (block by G. Dieng),36,25
103,2,10:19.0,Defensive rebound by K. Towns,,36,25
104,2,10:15.0,N. Bjelica makes 2-pt layup from 1 ft (assist by T. Jones),,38,25
105,2,10:14.0,,New York full timeout,38,25
106,2,9:51.0,,F. Ntilikina misses 2-pt jump shot from 21 ft,38,25
107,2,9:49.0,Defensive rebound by K. Towns,,38,25
108,2,9:45.0,Turnover by J. Crawford (out of bounds lost ball),,38,25
109,2,9:32.0,,T. Burke makes 2-pt jump shot from 20 ft,38,27
110,2,9:13.0,N. Bjelica misses 3-pt jump shot from 23 ft,,38,27
111,2,9:11.0,,Defensive rebound by F. Ntilikina,38,27
112,2,8:58.0,,T. Williams misses 2-pt jump shot from 2 ft,38,27
113,2,8:57.0,Defensive rebound by G. Dieng,,38,27
114,2,8:57.0,Personal foul by K. O'Quinn (drawn by T. Jones),,38,27
115,2,8:49.0,J. Crawford misses 3-pt jump shot from 26 ft,,38,27
116,2,8:45.0,,Defensive rebound by T. Williams,38,27
117,2,8:38.0,,T. Burke misses 2-pt jump shot from 15 ft,38,27
118,2,8:36.0,Defensive rebound by K. Towns,,38,27
119,2,8:26.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by K. Towns),,41,27
