,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
0,1,11:45.0,T. Chandler misses 2-pt layup from 3 ft (block by K. Porziņģis),,0,0
1,1,11:38.0,,Defensive rebound by K. Porziņģis,0,0
2,1,11:32.0,,T. Hardaway misses 3-pt jump shot from 26 ft,0,0
3,1,11:28.0,Defensive rebound by M. Chriss,,0,0
4,1,11:14.0,M. Chriss misses 2-pt layup from 1 ft,,0,0
5,1,11:10.0,Offensive rebound by M. Chriss,,0,0
6,1,11:10.0,M. Chriss misses 2-pt layup at rim,,0,0
7,1,11:09.0,Offensive rebound by M. Chriss,,0,0
8,1,11:08.0,Shooting foul by C. Lee (drawn by D. Booker),,0,0
9,1,11:08.0,D. Booker makes free throw 1 of 2,,1,0
10,1,11:08.0,D. Booker makes free throw 2 of 2,,2,0
11,1,10:51.0,,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by E. Freedom),2,2
12,1,10:35.0,T. Warren misses 2-pt layup from 1 ft,,2,2
13,1,10:32.0,,Defensive rebound by K. Porziņģis,2,2
14,1,10:28.0,,Personal foul by D. Booker (drawn by T. Hardaway),2,2
15,1,10:25.0,,C. Lee misses 2-pt jump shot from 17 ft,2,2
16,1,10:21.0,Defensive rebound by M. James,,2,2
17,1,10:13.0,T. Warren misses 2-pt jump shot from 13 ft,,2,2
18,1,10:11.0,,Defensive rebound by K. Porziņģis,2,2
19,1,10:01.0,,E. Freedom makes 2-pt layup from 1 ft,2,4
20,1,9:50.0,M. Chriss misses 2-pt jump shot from 22 ft,,2,4
21,1,9:50.0,Offensive rebound by Team,,2,4
22,1,9:42.0,T. Chandler misses 2-pt layup from 1 ft,,2,4
23,1,9:40.0,Offensive rebound by T. Warren,,2,4
24,1,9:39.0,T. Warren makes 2-pt layup at rim,,4,4
25,1,9:17.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,4,6
26,1,8:54.0,D. Booker misses 3-pt jump shot from 32 ft,,4,6
27,1,8:50.0,,Defensive rebound by J. Jack,4,6
28,1,8:47.0,,J. Jack misses 2-pt jump shot from 17 ft (block by M. James),4,6
29,1,8:43.0,Defensive rebound by M. James,,4,6
30,1,8:42.0,Shooting foul by T. Hardaway (drawn by D. Booker),,4,6
31,1,8:42.0,D. Booker makes free throw 1 of 2,,5,6
32,1,8:42.0,D. Booker makes free throw 2 of 2,,6,6
33,1,8:29.0,,T. Hardaway makes 3-pt jump shot from 26 ft,6,9
34,1,8:17.0,T. Warren misses 2-pt layup from 1 ft,,6,9
35,1,8:14.0,,Defensive rebound by J. Jack,6,9
36,1,8:11.0,,T. Hardaway misses 3-pt jump shot from 26 ft,6,9
37,1,8:08.0,Defensive rebound by M. Chriss,,6,9
38,1,8:05.0,D. Booker makes 2-pt layup from 1 ft,,8,9
39,1,7:43.0,,C. Lee makes 2-pt jump shot from 9 ft,8,11
40,1,7:25.0,D. Booker makes 2-pt layup at rim (assist by M. James),,10,11
41,1,7:05.0,,K. Porziņģis makes 2-pt jump shot from 10 ft,10,13
42,1,6:50.0,Shooting foul by K. Porziņģis (drawn by T. Warren),,10,13
43,1,6:50.0,,New York full timeout,10,13
44,1,6:50.0,T. Warren makes free throw 1 of 2,,11,13
45,1,6:50.0,T. Warren makes free throw 2 of 2,,12,13
46,1,6:37.0,,T. Hardaway misses 2-pt jump shot from 23 ft,12,13
47,1,6:35.0,Defensive rebound by D. Booker,,12,13
48,1,6:31.0,T. Warren misses 2-pt jump shot from 10 ft,,12,13
49,1,6:29.0,,Defensive rebound by E. Freedom,12,13
50,1,6:24.0,,J. Jack misses 3-pt jump shot from 25 ft,12,13
51,1,6:22.0,Defensive rebound by Team,,12,13
52,1,6:01.0,D. Booker makes 3-pt jump shot from 24 ft,,15,13
53,1,5:47.0,,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by E. Freedom),15,15
54,1,5:37.0,M. Chriss misses 3-pt jump shot from 25 ft,,15,15
55,1,5:34.0,Offensive rebound by T. Chandler,,15,15
56,1,5:29.0,M. James misses 3-pt jump shot from 27 ft,,15,15
57,1,5:27.0,,Defensive rebound by E. Freedom,15,15
58,1,5:16.0,,Shooting foul by T. Chandler (drawn by K. Porziņģis),15,15
59,1,5:16.0,,K. Porziņģis makes free throw 1 of 2,15,16
60,1,5:16.0,,L. Thomas enters the game for C. Lee,15,16
61,1,5:16.0,,K. Porziņģis makes free throw 2 of 2,15,17
62,1,5:09.0,T. Warren misses 2-pt jump shot from 14 ft,,15,17
63,1,5:06.0,,Defensive rebound by L. Thomas,15,17
64,1,4:59.0,,Personal foul by M. Chriss (drawn by T. Hardaway),15,17
65,1,4:59.0,D. Bender enters the game for M. Chriss,,15,17
66,1,4:52.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,15,17
67,1,4:48.0,,Offensive rebound by E. Freedom,15,17
68,1,4:46.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by J. Jack),15,20
69,1,4:32.0,M. James misses 2-pt jump shot from 19 ft,,15,20
70,1,4:29.0,,Defensive rebound by T. Hardaway,15,20
71,1,4:16.0,,K. Porziņģis misses 2-pt jump shot from 19 ft,15,20
72,1,4:12.0,,Offensive rebound by E. Freedom,15,20
73,1,4:10.0,,K. Porziņģis makes 2-pt dunk at rim (assist by E. Freedom),15,22
74,1,4:09.0,Phoenix full timeout,,15,22
75,1,4:09.0,A. Len enters the game for M. James,,15,22
76,1,4:09.0,T. Ulis enters the game for T. Chandler,,15,22
77,1,3:53.0,D. Booker misses 2-pt jump shot from 17 ft,,15,22
78,1,3:49.0,Offensive rebound by T. Warren,,15,22
79,1,3:47.0,T. Warren makes 2-pt layup at rim,,17,22
80,1,3:36.0,Offensive charge foul by L. Thomas (drawn by T. Warren),,17,22
81,1,3:36.0,,Turnover by L. Thomas (offensive foul),17,22
82,1,3:36.0,,F. Ntilikina enters the game for J. Jack,17,22
83,1,3:20.0,D. Bender misses 3-pt jump shot from 24 ft,,17,22
84,1,3:17.0,,Defensive rebound by E. Freedom,17,22
85,1,3:11.0,,E. Freedom makes 2-pt hook shot from 1 ft,17,24
86,1,2:53.0,T. Warren misses 3-pt jump shot from 28 ft,,17,24
87,1,2:51.0,,Defensive rebound by E. Freedom,17,24
88,1,2:32.0,,E. Freedom makes 2-pt layup from 1 ft,17,26
89,1,2:25.0,D. Booker misses 2-pt layup from 1 ft,,17,26
90,1,2:20.0,Offensive rebound by T. Warren,,17,26
91,1,2:20.0,T. Warren misses 2-pt layup at rim,,17,26
92,1,2:19.0,,Defensive rebound by E. Freedom,17,26
93,1,2:13.0,,Turnover by K. Porziņģis (lost ball; steal by D. Booker),17,26
94,1,2:08.0,T. Warren misses 2-pt layup from 7 ft,,17,26
95,1,2:06.0,,Defensive rebound by T. Hardaway,17,26
96,1,2:02.0,,E. Freedom makes 2-pt dunk from 1 ft (assist by T. Hardaway),17,28
97,1,1:54.0,Phoenix full timeout,,17,28
98,1,1:54.0,,K. O'Quinn enters the game for E. Freedom,17,28
99,1,1:54.0,J. Jackson enters the game for T. Warren,,17,28
100,1,1:32.0,T. Ulis misses 2-pt jump shot from 17 ft,,17,28
101,1,1:30.0,,Defensive rebound by L. Thomas,17,28
102,1,1:19.0,,T. Hardaway makes 2-pt dunk at rim (assist by K. O'Quinn),17,30
103,1,1:07.0,Turnover by T. Ulis (bad pass),,17,30
104,1,1:07.0,T. Daniels enters the game for D. Booker,,17,30
105,1,0:52.0,,T. Hardaway misses 3-pt jump shot from 23 ft,17,30
106,1,0:49.0,Defensive rebound by T. Ulis,,17,30
107,1,0:45.0,Shooting foul by T. Hardaway (drawn by A. Len),,17,30
108,1,0:45.0,A. Len makes free throw 1 of 2,,18,30
109,1,0:45.0,,C. Lee enters the game for T. Hardaway,18,30
110,1,0:45.0,A. Len makes free throw 2 of 2,,19,30
111,1,0:31.0,Violation by A. Len (kicked ball),,19,30
112,1,0:25.0,,K. Porziņģis misses 2-pt jump shot from 11 ft,19,30
113,1,0:24.0,,Offensive rebound by Team,19,30
114,1,0:24.0,Loose ball foul by J. Jackson (drawn by L. Thomas),,19,30
115,1,0:07.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by C. Lee),19,32
116,1,0:00.0,T. Ulis misses 2-pt layup from 3 ft,,19,32
117,1,0:00.0,Offensive rebound by Team,,19,32
118,2,11:42.0,,C. Lee makes 3-pt jump shot from 25 ft,19,35
119,2,11:26.0,Offensive foul by T. Daniels (drawn by L. Thomas),,19,35
120,2,11:26.0,Turnover by T. Daniels (offensive foul),,19,35
121,2,11:04.0,,M. Beasley makes 2-pt layup from 1 ft,19,37
122,2,10:52.0,D. Bender misses 3-pt jump shot from 25 ft,,19,37
123,2,10:49.0,,Defensive rebound by C. Lee,19,37
124,2,10:38.0,,L. Thomas makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),19,40
