,QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
0,1,11:46.0,M. Kleber misses 3-pt jump shot from 23 ft,,0,0
1,1,11:42.0,,Defensive rebound by M. Turner,0,0
2,1,11:25.0,,M. Turner makes 2-pt jump shot from 11 ft,0,2
3,1,10:59.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,0,2
4,1,10:57.0,,Defensive rebound by L. Stephenson,0,2
5,1,10:53.0,,B. Bogdanović makes 2-pt layup at rim (assist by L. Stephenson),0,4
6,1,10:33.0,Turnover by M. Kleber (bad pass; steal by M. Turner),,0,4
7,1,10:30.0,,Shooting foul by D. Nowitzki (drawn by B. Bogdanović),0,4
8,1,10:30.0,,B. Bogdanović misses free throw 1 of 2,0,4
9,1,10:30.0,,Offensive rebound by Team,0,4
10,1,10:30.0,,B. Bogdanović makes free throw 2 of 2,0,5
11,1,10:11.0,W. Matthews makes 2-pt jump shot from 18 ft (assist by D. Nowitzki),,2,5
12,1,9:54.0,,L. Stephenson makes 3-pt jump shot from 26 ft,2,8
13,1,9:31.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by M. Kleber),,4,8
14,1,9:16.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,4,10
15,1,9:02.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,6,10
16,1,8:45.0,,T. Young misses 2-pt jump shot from 13 ft,6,10
17,1,8:42.0,Defensive rebound by W. Matthews,,6,10
18,1,8:37.0,H. Barnes misses 2-pt layup from 2 ft,,6,10
19,1,8:34.0,,Defensive rebound by B. Bogdanović,6,10
20,1,8:23.0,,B. Bogdanović misses 2-pt layup at rim,6,10
21,1,8:22.0,Defensive rebound by M. Kleber,,6,10
22,1,8:16.0,D. Smith misses 2-pt jump shot from 18 ft,,6,10
23,1,8:13.0,,Defensive rebound by L. Stephenson,6,10
24,1,8:06.0,,T. Young misses 3-pt jump shot from 26 ft,6,10
25,1,8:04.0,Defensive rebound by M. Kleber,,6,10
26,1,8:04.0,Personal foul by L. Stephenson (drawn by D. Smith),,6,10
27,1,8:04.0,Y. Ferrell enters the game for D. Nowitzki,,6,10
28,1,7:46.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,9,10
29,1,7:29.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),9,12
30,1,7:09.0,W. Matthews misses 2-pt layup at rim,,9,12
31,1,7:07.0,,Defensive rebound by L. Stephenson,9,12
32,1,6:52.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by L. Stephenson),9,14
33,1,6:50.0,Dallas full timeout,,9,14
34,1,6:33.0,W. Matthews misses 3-pt jump shot from 25 ft,,9,14
35,1,6:30.0,,Defensive rebound by L. Stephenson,9,14
36,1,6:11.0,,B. Bogdanović misses 3-pt jump shot from 30 ft,9,14
37,1,6:08.0,,Offensive rebound by D. Collison,9,14
38,1,6:07.0,,D. Collison misses 2-pt jump shot from 8 ft,9,14
39,1,6:04.0,Defensive rebound by Y. Ferrell,,9,14
40,1,5:50.0,H. Barnes makes 2-pt dunk at rim (assist by Y. Ferrell),,11,14
41,1,5:29.0,,Shooting foul by W. Matthews (drawn by M. Turner),11,14
42,1,5:29.0,,M. Turner makes free throw 1 of 2,11,15
43,1,5:29.0,,M. Turner makes free throw 2 of 2,11,16
44,1,5:12.0,H. Barnes makes 2-pt jump shot from 9 ft,,13,16
45,1,4:53.0,,L. Stephenson makes 3-pt jump shot from 29 ft (assist by D. Collison),13,19
46,1,4:33.0,H. Barnes misses 3-pt jump shot from 27 ft,,13,19
