,QUARTER,TIME_REMAINING,MIAMI_ACTION,WASHINGTON_ACTION,MIAMI_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,O. Porter makes 2-pt jump shot from 15 ft,0,2
1,1,11:32.0,Personal foul by O. Porter (drawn by J. Richardson),,0,2
2,1,11:20.0,H. Whiteside misses 2-pt jump shot from 19 ft,,0,2
3,1,11:16.0,,Defensive rebound by M. Morris,0,2
4,1,11:05.0,,T. Satoranský makes 2-pt hook shot from 6 ft,0,4
5,1,10:51.0,L. Babbitt misses 3-pt jump shot from 27 ft (block by O. Porter),,0,4
6,1,10:48.0,Offensive rebound by J. Johnson,,0,4
7,1,10:47.0,Turnover by L. Babbitt (step out of bounds),,0,4
8,1,10:25.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Gortat),0,7
9,1,10:10.0,G. Dragić misses 2-pt jump shot from 19 ft,,0,7
10,1,10:07.0,,Defensive rebound by M. Morris,0,7
11,1,10:01.0,,M. Morris misses 3-pt jump shot from 26 ft,0,7
12,1,9:57.0,Defensive rebound by G. Dragić,,0,7
13,1,9:52.0,G. Dragić makes 2-pt layup from 4 ft,,2,7
14,1,9:38.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Satoranský),2,10
15,1,9:26.0,,Violation by M. Morris (kicked ball),2,10
16,1,9:10.0,H. Whiteside misses 2-pt jump shot from 11 ft,,2,10
17,1,9:08.0,,Defensive rebound by M. Gortat,2,10
18,1,8:58.0,,M. Gortat misses 2-pt hook shot from 10 ft,2,10
19,1,8:58.0,,Offensive rebound by Team,2,10
20,1,8:58.0,Loose ball foul by J. Richardson (drawn by M. Gortat),,2,10
21,1,8:47.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by B. Beal),2,13
22,1,8:44.0,Miami full timeout,,2,13
23,1,8:29.0,J. Richardson misses 2-pt jump shot from 15 ft,,2,13
24,1,8:26.0,Offensive rebound by H. Whiteside,,2,13
25,1,8:25.0,Shooting foul by M. Morris (drawn by J. Johnson),,2,13
26,1,8:25.0,J. Johnson makes free throw 1 of 2,,3,13
27,1,8:25.0,J. Johnson makes free throw 2 of 2,,4,13
28,1,8:07.0,,M. Morris misses 2-pt jump shot from 10 ft,4,13
29,1,8:05.0,,Offensive rebound by M. Gortat,4,13
30,1,8:05.0,,M. Gortat misses 2-pt hook shot from 7 ft,4,13
31,1,8:03.0,Defensive rebound by H. Whiteside,,4,13
32,1,7:46.0,L. Babbitt makes 3-pt jump shot from 26 ft (assist by G. Dragić),,7,13
33,1,7:31.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Satoranský),7,16
34,1,7:04.0,J. Johnson misses 2-pt hook shot from 13 ft,,7,16
35,1,7:04.0,Offensive rebound by Team,,7,16
36,1,7:04.0,Turnover by Team (shot clock),,7,16
37,1,6:47.0,,T. Satoranský misses 2-pt jump shot from 8 ft,7,16
38,1,6:46.0,,Offensive rebound by M. Gortat,7,16
39,1,6:43.0,,M. Gortat misses 2-pt hook shot from 2 ft,7,16
40,1,6:43.0,,Offensive rebound by T. Satoranský,7,16
41,1,6:34.0,,T. Satoranský makes 2-pt layup at rim,7,18
42,1,6:27.0,G. Dragić misses 2-pt jump shot from 19 ft,,7,18
43,1,6:27.0,,Defensive rebound by Team,7,18
44,1,6:27.0,T. Johnson enters the game for L. Babbitt,,7,18
45,1,6:27.0,R. McGruder enters the game for G. Dragić,,7,18
46,1,6:18.0,,Personal foul by R. McGruder (drawn by B. Beal),7,18
47,1,6:11.0,,B. Beal makes 2-pt jump shot from 11 ft,7,20
48,1,5:54.0,H. Whiteside misses 2-pt hook shot from 12 ft,,7,20
49,1,5:52.0,,Defensive rebound by B. Beal,7,20
50,1,5:44.0,,B. Beal makes 2-pt jump shot from 12 ft,7,22
51,1,5:25.0,T. Johnson makes 2-pt jump shot from 11 ft (assist by J. Richardson),,9,22
52,1,5:08.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by O. Porter),9,25
53,1,4:58.0,Miami full timeout,,9,25
54,1,4:58.0,K. Olynyk enters the game for J. Johnson,,9,25
55,1,4:58.0,J. Winslow enters the game for H. Whiteside,,9,25
56,1,4:45.0,T. Johnson misses 2-pt jump shot from 14 ft,,9,25
57,1,4:41.0,,Defensive rebound by B. Beal,9,25
58,1,4:29.0,,M. Morris makes 2-pt jump shot from 13 ft (assist by B. Beal),9,27
59,1,4:09.0,J. Richardson makes 3-pt jump shot from 22 ft (assist by K. Olynyk),,12,27
60,1,3:52.0,,Shooting foul by K. Olynyk (drawn by M. Gortat),12,27
61,1,3:52.0,,M. Gortat makes free throw 1 of 2,12,28
62,1,3:52.0,,R. Sessions enters the game for T. Satoranský,12,28
63,1,3:52.0,D. Wade enters the game for J. Richardson,,12,28
64,1,3:52.0,,M. Gortat makes free throw 2 of 2,12,29
65,1,3:43.0,D. Wade misses 2-pt jump shot from 22 ft,,12,29
66,1,3:38.0,,Defensive rebound by M. Gortat,12,29
67,1,3:25.0,,M. Gortat misses 2-pt layup from 2 ft,12,29
68,1,3:23.0,Defensive rebound by J. Winslow,,12,29
69,1,3:20.0,J. Winslow makes 2-pt layup from 1 ft,,14,29
70,1,3:09.0,,O. Porter misses 3-pt jump shot from 24 ft,14,29
71,1,3:09.0,Defensive rebound by T. Johnson,,14,29
72,1,3:03.0,T. Johnson makes 2-pt layup at rim,,16,29
73,1,3:02.0,,Washington full timeout,16,29
74,1,3:02.0,,I. Mahinmi enters the game for M. Morris,16,29
75,1,3:02.0,,K. Oubre enters the game for M. Gortat,16,29
76,1,2:50.0,,Turnover by B. Beal (bad pass),16,29
77,1,2:39.0,D. Wade makes 2-pt layup at rim (assist by K. Olynyk),,18,29
78,1,2:20.0,,Offensive foul by I. Mahinmi (drawn by K. Olynyk),18,29
79,1,2:20.0,,Turnover by I. Mahinmi (offensive foul),18,29
80,1,2:02.0,T. Johnson misses 3-pt jump shot from 25 ft,,18,29
81,1,1:56.0,,Defensive rebound by O. Porter,18,29
82,1,1:45.0,,B. Beal misses 2-pt jump shot from 3 ft,18,29
83,1,1:45.0,Defensive rebound by K. Olynyk,,18,29
84,1,1:37.0,D. Wade makes 2-pt jump shot from 13 ft,,20,29
85,1,1:23.0,,Turnover by R. Sessions (bad pass; steal by T. Johnson),20,29
86,1,1:19.0,D. Wade makes 2-pt dunk from 1 ft (assist by R. McGruder),,22,29
87,1,0:51.0,,I. Mahinmi makes 2-pt dunk at rim (assist by B. Beal),22,31
88,1,0:36.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),,25,31
89,1,0:29.0,,R. Sessions misses 2-pt layup at rim,25,31
90,1,0:27.0,Defensive rebound by T. Johnson,,25,31
