,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,Shooting foul by D. Mitchell (drawn by A. Rivers),0,0
1,1,11:42.0,,A. Rivers makes free throw 1 of 2,0,1
2,1,11:42.0,,A. Rivers makes free throw 2 of 2,0,2
3,1,11:27.0,D. Mitchell misses 2-pt layup from 2 ft,,0,2
4,1,11:22.0,Offensive rebound by D. Favors,,0,2
5,1,11:22.0,D. Favors misses 2-pt layup at rim,,0,2
6,1,11:21.0,,Defensive rebound by D. Jordan,0,2
7,1,11:21.0,,Turnover by L. Williams (bad pass),0,2
8,1,11:05.0,J. Ingles misses 3-pt jump shot from 24 ft,,0,2
9,1,11:01.0,,Defensive rebound by M. Harrell,0,2
10,1,10:48.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by D. Jordan),0,5
11,1,10:24.0,D. Mitchell makes 3-pt jump shot from 25 ft,,3,5
12,1,10:06.0,,Shooting foul by J. Ingles (drawn by L. Williams),3,5
13,1,10:06.0,,L. Williams misses free throw 1 of 2,3,5
14,1,10:06.0,,Offensive rebound by Team,3,5
15,1,10:06.0,,L. Williams makes free throw 2 of 2,3,6
16,1,9:52.0,D. Mitchell misses 3-pt jump shot from 25 ft,,3,6
17,1,9:49.0,,Defensive rebound by D. Jordan,3,6
18,1,9:32.0,,W. Johnson misses 3-pt jump shot from 23 ft,3,6
19,1,9:29.0,,Offensive rebound by M. Harrell,3,6
20,1,9:27.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by M. Harrell),3,9
21,1,9:15.0,D. Favors makes 2-pt jump shot from 7 ft (assist by R. Rubio),,5,9
22,1,8:52.0,,Turnover by M. Harrell (bad pass; steal by R. Rubio),5,9
23,1,8:39.0,J. Jerebko makes 2-pt dunk from 1 ft (assist by R. Rubio),,7,9
24,1,8:24.0,Violation by J. Ingles (kicked ball),,7,9
25,1,8:15.0,,A. Rivers misses 2-pt layup from 2 ft,7,9
26,1,8:11.0,,Offensive rebound by D. Jordan,7,9
27,1,8:11.0,,D. Jordan misses 2-pt layup at rim,7,9
28,1,8:11.0,,Offensive rebound by D. Jordan,7,9
29,1,8:08.0,,D. Jordan makes 2-pt dunk at rim,7,11
30,1,8:06.0,Turnover by D. Favors (traveling),,7,11
31,1,7:57.0,,Shooting foul by J. Jerebko (drawn by M. Harrell),7,11
32,1,7:57.0,,M. Harrell makes free throw 1 of 2,7,12
33,1,7:57.0,,M. Harrell misses free throw 2 of 2,7,12
34,1,7:52.0,Defensive rebound by J. Jerebko,,7,12
35,1,7:38.0,Turnover by J. Ingles (bad pass; steal by L. Williams),,7,12
36,1,7:27.0,,A. Rivers misses 3-pt jump shot from 25 ft,7,12
37,1,7:24.0,,Offensive rebound by D. Jordan,7,12
38,1,7:22.0,,D. Jordan makes 2-pt layup from 1 ft,7,14
39,1,7:00.0,D. Mitchell misses 3-pt jump shot from 24 ft,,7,14
40,1,6:58.0,,Defensive rebound by D. Jordan,7,14
41,1,6:54.0,,W. Johnson misses 3-pt jump shot from 25 ft,7,14
42,1,6:49.0,Defensive rebound by D. Favors,,7,14
43,1,6:38.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,10,14
44,1,6:26.0,,LA Clippers full timeout,10,14
45,1,6:17.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by A. Rivers),10,17
46,1,6:05.0,Personal foul by A. Rivers (drawn by D. Mitchell),,10,17
47,1,6:05.0,A. Burks enters the game for J. Jerebko,,10,17
48,1,6:05.0,T. Sefolosha enters the game for R. Rubio,,10,17
49,1,5:51.0,D. Mitchell makes 2-pt jump shot from 17 ft (assist by J. Ingles),,12,17
