,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
0,1,11:41.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. Schröder),,3,0
1,1,11:20.0,,D. Brooks makes 2-pt jump shot from 22 ft (assist by M. Gasol),3,2
2,1,10:57.0,K. Bazemore makes 2-pt jump shot from 19 ft (assist by E. İlyasova),,5,2
3,1,10:40.0,,Turnover by M. Gasol (bad pass; steal by D. Schröder),5,2
4,1,10:37.0,Turnover by T. Prince (bad pass),,5,2
5,1,10:24.0,,T. Evans makes 2-pt jump shot from 19 ft (assist by A. Harrison),5,4
6,1,10:08.0,T. Prince misses 2-pt jump shot from 11 ft,,5,4
7,1,10:08.0,,Defensive rebound by J. Green,5,4
8,1,9:57.0,,T. Evans misses 3-pt jump shot from 25 ft,5,4
9,1,9:54.0,Defensive rebound by E. İlyasova,,5,4
10,1,9:48.0,D. Schröder misses 3-pt jump shot from 25 ft,,5,4
11,1,9:45.0,,Defensive rebound by Team,5,4
12,1,9:45.0,Loose ball foul by M. Plumlee (drawn by M. Gasol),,5,4
13,1,9:35.0,,D. Brooks misses 3-pt jump shot from 25 ft,5,4
14,1,9:32.0,Defensive rebound by D. Schröder,,5,4
15,1,9:24.0,Turnover by E. İlyasova (bad pass),,5,4
16,1,9:12.0,,J. Green makes 2-pt dunk at rim (assist by T. Evans),5,6
17,1,8:53.0,K. Bazemore misses 3-pt jump shot from 25 ft,,5,6
18,1,8:51.0,,Defensive rebound by T. Evans,5,6
19,1,8:41.0,,J. Green misses 3-pt jump shot from 23 ft,5,6
20,1,8:37.0,Defensive rebound by T. Prince,,5,6
21,1,8:34.0,Personal foul by J. Green (drawn by D. Schröder),,5,6
22,1,8:21.0,Shooting foul by T. Evans (drawn by D. Schröder),,5,6
23,1,8:21.0,D. Schröder makes free throw 1 of 2,,6,6
24,1,8:21.0,D. Schröder makes free throw 2 of 2,,7,6
25,1,7:59.0,,M. Gasol misses 2-pt jump shot from 11 ft,7,6
26,1,7:53.0,Defensive rebound by E. İlyasova,,7,6
27,1,7:42.0,M. Plumlee misses 2-pt dunk at rim (block by M. Gasol),,7,6
28,1,7:37.0,,Defensive rebound by M. Gasol,7,6
29,1,7:33.0,,Turnover by A. Harrison (lost ball; steal by E. İlyasova),7,6
30,1,7:28.0,T. Prince misses 2-pt jump shot from 9 ft,,7,6
31,1,7:26.0,,Defensive rebound by J. Green,7,6
32,1,7:24.0,,Turnover by J. Green (bad pass; steal by K. Bazemore),7,6
33,1,7:21.0,K. Bazemore misses 2-pt layup from 1 ft,,7,6
34,1,7:21.0,Offensive rebound by E. İlyasova,,7,6
35,1,7:21.0,E. İlyasova makes 2-pt layup at rim,,9,6
36,1,7:21.0,,Memphis full timeout,9,6
37,1,7:21.0,,M. Chalmers enters the game for T. Evans,9,6
38,1,7:21.0,J. Collins enters the game for M. Plumlee,,9,6
39,1,7:08.0,,Personal foul by E. İlyasova (drawn by M. Gasol),9,6
40,1,6:59.0,,Turnover by M. Gasol (turnover),9,6
41,1,6:50.0,E. İlyasova misses 3-pt jump shot from 25 ft,,9,6
42,1,6:47.0,,Defensive rebound by D. Brooks,9,6
43,1,6:41.0,,D. Brooks misses 2-pt layup from 1 ft (block by J. Collins),9,6
44,1,6:38.0,Defensive rebound by E. İlyasova,,9,6
45,1,6:29.0,E. İlyasova misses 3-pt jump shot from 24 ft,,9,6
46,1,6:26.0,,Defensive rebound by M. Gasol,9,6
47,1,6:15.0,,M. Gasol misses 2-pt jump shot from 20 ft,9,6
48,1,6:15.0,,Offensive rebound by A. Harrison,9,6
49,1,6:08.0,,Personal foul by K. Bazemore (drawn by M. Gasol),9,6
50,1,6:08.0,,C. Parsons enters the game for D. Brooks,9,6
51,1,5:55.0,,Turnover by A. Harrison (bad pass; steal by D. Schröder),9,6
52,1,5:51.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Schröder),,12,6
53,1,5:29.0,,M. Chalmers makes 3-pt jump shot from 26 ft (assist by C. Parsons),12,9
54,1,5:13.0,K. Bazemore makes 2-pt jump shot from 21 ft (assist by D. Schröder),,14,9
55,1,4:54.0,,A. Harrison misses 2-pt layup from 2 ft,14,9
56,1,4:52.0,Defensive rebound by J. Collins,,14,9
57,1,4:43.0,Turnover by D. Schröder (out of bounds lost ball),,14,9
58,1,4:35.0,,Offensive foul by M. Gasol (drawn by E. İlyasova),14,9
59,1,4:35.0,,Turnover by M. Gasol (offensive foul),14,9
60,1,4:35.0,,J. Martin enters the game for J. Green,14,9
61,1,4:35.0,,B. McLemore enters the game for A. Harrison,14,9
62,1,4:35.0,M. Belinelli enters the game for E. İlyasova,,14,9
63,1,4:35.0,D. Bembry enters the game for K. Bazemore,,14,9
64,1,4:16.0,T. Prince misses 2-pt jump shot from 14 ft,,14,9
65,1,4:13.0,,Defensive rebound by J. Martin,14,9
66,1,4:00.0,,Turnover by M. Gasol (lost ball; steal by J. Collins),14,9
67,1,3:55.0,D. Bembry makes 2-pt layup from 1 ft (assist by T. Prince),,16,9
68,1,3:31.0,,Turnover by M. Gasol (turnover),16,9
69,1,3:31.0,,D. Davis enters the game for M. Gasol,16,9
70,1,3:15.0,Turnover by D. Bembry (step out of bounds),,16,9
71,1,3:04.0,,C. Parsons misses 2-pt jump shot from 10 ft,16,9
72,1,2:59.0,Defensive rebound by J. Collins,,16,9
73,1,2:57.0,Personal foul by M. Chalmers (drawn by T. Prince),,16,9
74,1,2:57.0,Atlanta full timeout,,16,9
75,1,2:57.0,L. Babbitt enters the game for T. Prince,,16,9
76,1,2:52.0,Personal foul by J. Martin (drawn by J. Collins),,16,9
