,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:48.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Ulis),0,3
1,1,11:33.0,C. Capela misses 2-pt layup from 1 ft,,0,3
2,1,11:31.0,,Defensive rebound by G. Monroe,0,3
3,1,11:26.0,,Turnover by D. Booker (bad pass),0,3
4,1,11:13.0,J. Harden makes 2-pt layup from 3 ft (assist by C. Capela),,2,3
5,1,10:57.0,,D. Booker misses 3-pt jump shot from 26 ft,2,3
6,1,10:53.0,Defensive rebound by T. Ariza,,2,3
7,1,10:46.0,Shooting foul by M. Chriss (drawn by C. Paul),,2,3
8,1,10:46.0,C. Paul makes free throw 1 of 3,,3,3
9,1,10:46.0,C. Paul makes free throw 2 of 3,,4,3
10,1,10:46.0,C. Paul makes free throw 3 of 3,,5,3
11,1,10:25.0,,T. Ulis misses 2-pt jump shot from 5 ft,5,3
12,1,10:23.0,Defensive rebound by T. Ariza,,5,3
13,1,10:20.0,Turnover by T. Ariza (bad pass; steal by T. Ulis),,5,3
14,1,10:16.0,,Turnover by T. Ulis (lost ball; steal by C. Paul),5,3
15,1,10:10.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by C. Paul),,8,3
16,1,9:47.0,,M. Chriss makes 2-pt jump shot from 4 ft,8,5
17,1,9:26.0,J. Harden makes 3-pt jump shot from 25 ft,,11,5
18,1,9:10.0,,D. Booker makes 2-pt jump shot from 15 ft,11,7
19,1,8:57.0,R. Anderson misses 3-pt jump shot from 26 ft,,11,7
20,1,8:53.0,,Defensive rebound by T. Warren,11,7
21,1,8:42.0,,T. Warren misses 2-pt jump shot from 11 ft,11,7
22,1,8:39.0,Defensive rebound by C. Paul,,11,7
23,1,8:32.0,Personal foul by M. Chriss (drawn by T. Ariza),,11,7
24,1,8:32.0,,D. Bender enters the game for M. Chriss,11,7
25,1,8:28.0,C. Paul makes 2-pt layup from 3 ft (assist by C. Capela),,13,7
26,1,8:19.0,,Personal foul by C. Paul (drawn by D. Booker),13,7
27,1,8:06.0,,D. Booker misses 2-pt layup from 4 ft (block by C. Capela),13,7
28,1,8:03.0,Defensive rebound by T. Ariza,,13,7
29,1,7:46.0,J. Harden makes 3-pt jump shot from 25 ft,,16,7
30,1,7:23.0,,T. Warren makes 2-pt jump shot from 10 ft,16,9
31,1,7:04.0,C. Capela makes 2-pt layup from 2 ft (assist by C. Paul),,18,9
32,1,7:04.0,Shooting foul by D. Bender (drawn by C. Capela),,18,9
33,1,7:04.0,E. Gordon enters the game for C. Paul,,18,9
34,1,7:04.0,C. Capela misses free throw 1 of 1,,18,9
35,1,7:01.0,,Defensive rebound by G. Monroe,18,9
36,1,6:57.0,,D. Booker misses 2-pt layup from 7 ft (block by J. Harden),18,9
37,1,6:57.0,,Offensive rebound by Team,18,9
38,1,6:57.0,,Phoenix full timeout,18,9
39,1,6:57.0,P. Tucker enters the game for R. Anderson,,18,9
40,1,6:49.0,,D. Booker misses 2-pt jump shot from 12 ft,18,9
41,1,6:47.0,Defensive rebound by E. Gordon,,18,9
42,1,6:43.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,21,9
43,1,6:29.0,,T. Warren makes 2-pt layup from 1 ft (assist by T. Ulis),21,11
44,1,6:20.0,Turnover by E. Gordon (out of bounds lost ball),,21,11
45,1,6:20.0,,A. Len enters the game for T. Warren,21,11
46,1,6:20.0,,J. Jackson enters the game for G. Monroe,21,11
47,1,6:08.0,,D. Bender misses 2-pt jump shot from 21 ft,21,11
48,1,6:05.0,Defensive rebound by C. Capela,,21,11
49,1,5:54.0,E. Gordon misses 3-pt jump shot from 28 ft,,21,11
50,1,5:52.0,,Defensive rebound by D. Bender,21,11
51,1,5:42.0,,T. Ulis makes 2-pt jump shot from 12 ft,21,13
