,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:44.0,,J. Johnson makes 2-pt dunk from 1 ft (assist by J. Richardson),0,2
1,1,11:23.0,B. Beal misses 2-pt jump shot from 19 ft,,0,2
2,1,11:20.0,,Defensive rebound by G. Dragić,0,2
3,1,11:12.0,,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Dragić),0,4
4,1,10:57.0,O. Porter makes 2-pt jump shot from 20 ft,,2,4
5,1,10:42.0,,T. Johnson makes 2-pt jump shot from 8 ft,2,6
6,1,10:29.0,M. Morris misses 3-pt jump shot from 23 ft,,2,6
7,1,10:27.0,Offensive rebound by M. Gortat,,2,6
8,1,10:06.0,Personal foul by G. Dragić (drawn by O. Porter),,2,6
9,1,9:58.0,M. Gortat misses 2-pt jump shot from 12 ft,,2,6
10,1,9:56.0,,Defensive rebound by B. Adebayo,2,6
11,1,9:49.0,,J. Richardson makes 2-pt jump shot from 15 ft (assist by J. Johnson),2,8
12,1,9:38.0,O. Porter misses 3-pt jump shot from 25 ft,,2,8
13,1,9:34.0,,Defensive rebound by B. Adebayo,2,8
14,1,9:19.0,,T. Johnson misses 3-pt jump shot from 24 ft,2,8
15,1,9:17.0,Defensive rebound by M. Morris,,2,8
16,1,9:10.0,Shooting foul by T. Johnson (drawn by T. Satoranský),,2,8
17,1,9:10.0,T. Satoranský makes free throw 1 of 2,,3,8
18,1,9:10.0,T. Satoranský makes free throw 2 of 2,,4,8
19,1,9:03.0,Violation by M. Morris (kicked ball),,4,8
20,1,8:51.0,,J. Johnson makes 2-pt layup at rim,4,10
21,1,8:38.0,Turnover by M. Morris (traveling),,4,10
22,1,8:27.0,,T. Johnson makes 2-pt dunk from 1 ft (assist by J. Johnson),4,12
23,1,8:26.0,Washington full timeout,,4,12
24,1,8:10.0,T. Satoranský makes 2-pt layup from 1 ft (assist by B. Beal),,6,12
25,1,7:49.0,,J. Richardson makes 2-pt jump shot from 5 ft,6,14
26,1,7:37.0,B. Beal misses 3-pt jump shot from 24 ft,,6,14
27,1,7:34.0,,Defensive rebound by T. Johnson,6,14
28,1,7:19.0,,J. Johnson misses 3-pt jump shot from 24 ft,6,14
29,1,7:17.0,Defensive rebound by B. Beal,,6,14
30,1,7:12.0,Turnover by M. Gortat (traveling),,6,14
31,1,6:54.0,,J. Johnson makes 2-pt jump shot from 10 ft,6,16
32,1,6:42.0,Personal foul by G. Dragić (drawn by T. Satoranský),,6,16
33,1,6:42.0,,W. Ellington enters the game for G. Dragić,6,16
34,1,6:35.0,B. Beal makes 2-pt jump shot from 14 ft,,8,16
35,1,6:25.0,,J. Johnson makes 2-pt layup from 1 ft (assist by T. Johnson),8,18
36,1,6:09.0,M. Morris makes 2-pt layup from 1 ft (assist by T. Satoranský),,10,18
37,1,6:00.0,,Turnover by J. Richardson (bad pass),10,18
38,1,5:50.0,O. Porter misses 2-pt jump shot from 5 ft,,10,18
39,1,5:49.0,Offensive rebound by M. Gortat,,10,18
40,1,5:48.0,M. Gortat makes 2-pt layup at rim,,12,18
41,1,5:33.0,,T. Johnson misses 3-pt jump shot from 24 ft,12,18
42,1,5:30.0,,Offensive rebound by B. Adebayo,12,18
43,1,5:25.0,,W. Ellington misses 3-pt jump shot from 24 ft,12,18
44,1,5:22.0,Defensive rebound by T. Satoranský,,12,18
45,1,5:17.0,Shooting foul by T. Johnson (drawn by M. Gortat),,12,18
46,1,5:17.0,M. Gortat makes free throw 1 of 2,,13,18
47,1,5:17.0,M. Gortat misses free throw 2 of 2,,13,18
48,1,5:14.0,,Defensive rebound by B. Adebayo,13,18
49,1,5:10.0,,Miami full timeout,13,18
50,1,5:10.0,,D. Wade enters the game for T. Johnson,13,18
51,1,5:10.0,,J. Winslow enters the game for J. Johnson,13,18
52,1,4:59.0,,B. Adebayo makes 2-pt dunk at rim (assist by J. Richardson),13,20
53,1,4:38.0,B. Beal misses 2-pt jump shot from 7 ft,,13,20
54,1,4:35.0,,Defensive rebound by B. Adebayo,13,20
55,1,4:23.0,,B. Adebayo misses 2-pt jump shot from 13 ft,13,20
56,1,4:21.0,Defensive rebound by T. Satoranský,,13,20
57,1,4:19.0,Personal foul by B. Adebayo (drawn by T. Satoranský),,13,20
58,1,4:19.0,T. Satoranský misses free throw 1 of 2,,13,20
59,1,4:19.0,Offensive rebound by Team,,13,20
60,1,4:19.0,,R. McGruder enters the game for J. Richardson,13,20
61,1,4:19.0,K. Oubre enters the game for M. Morris,,13,20
62,1,4:19.0,T. Satoranský makes free throw 2 of 2,,14,20
63,1,4:04.0,,Turnover by B. Adebayo (bad pass),14,20
64,1,3:51.0,M. Gortat misses 2-pt layup at rim,,14,20
65,1,3:49.0,,Defensive rebound by J. Winslow,14,20
66,1,3:40.0,,D. Wade misses 3-pt jump shot from 24 ft,14,20
67,1,3:38.0,Defensive rebound by O. Porter,,14,20
68,1,3:28.0,B. Beal misses 2-pt jump shot from 21 ft,,14,20
