,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:40.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by J. Allen),,3,0
1,1,11:16.0,,L. James misses 2-pt jump shot from 16 ft,3,0
2,1,11:14.0,Defensive rebound by D. Russell,,3,0
3,1,11:04.0,Personal foul by G. Hill (drawn by S. Dinwiddie),,3,0
4,1,10:58.0,D. Russell misses 3-pt jump shot from 27 ft,,3,0
5,1,10:57.0,,Defensive rebound by T. Thompson,3,0
6,1,10:50.0,,G. Hill misses 3-pt jump shot from 24 ft,3,0
7,1,10:47.0,Defensive rebound by J. Allen,,3,0
8,1,10:38.0,D. Russell makes 2-pt layup at rim (assist by S. Dinwiddie),,5,0
9,1,10:22.0,,G. Hill makes 2-pt jump shot from 15 ft,5,2
10,1,10:01.0,D. Carroll makes 2-pt layup at rim (assist by S. Dinwiddie),,7,2
11,1,9:37.0,,T. Thompson misses 2-pt jump shot from 8 ft,7,2
12,1,9:35.0,Defensive rebound by J. Allen,,7,2
13,1,9:23.0,S. Dinwiddie makes 2-pt jump shot from 11 ft,,9,2
14,1,9:13.0,Violation by S. Dinwiddie (kicked ball),,9,2
15,1,9:01.0,,L. James makes 2-pt layup from 1 ft (assist by C. Osman),9,4
16,1,8:52.0,D. Russell misses 3-pt jump shot from 26 ft,,9,4
17,1,8:52.0,,Defensive rebound by T. Thompson,9,4
18,1,8:37.0,,J. Smith makes 2-pt jump shot from 13 ft,9,6
19,1,8:13.0,Personal foul by C. Osman (drawn by D. Russell),,9,6
20,1,8:06.0,A. Crabbe misses 2-pt jump shot from 16 ft,,9,6
21,1,7:57.0,Offensive rebound by D. Carroll,,9,6
22,1,7:57.0,D. Carroll makes 2-pt layup at rim,,11,6
23,1,7:48.0,,Personal foul by D. Carroll (drawn by L. James),11,6
24,1,7:37.0,,T. Thompson makes 2-pt hook shot from 8 ft (assist by L. James),11,8
