,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Redick),0,2
1,1,11:31.0,J. Richardson misses 3-pt jump shot from 24 ft,,0,2
2,1,11:27.0,,Defensive rebound by A. Johnson,0,2
3,1,11:17.0,,R. Covington misses 2-pt jump shot from 16 ft,0,2
4,1,11:15.0,Defensive rebound by H. Whiteside,,0,2
5,1,11:05.0,Turnover by J. Richardson (bad pass; steal by D. Šarić),,0,2
6,1,11:00.0,,A. Johnson makes 2-pt dunk at rim (assist by B. Simmons),0,4
7,1,10:39.0,G. Dragić makes 3-pt jump shot from 27 ft (assist by H. Whiteside),,3,4
8,1,10:24.0,,Turnover by J. Redick (lost ball; steal by T. Johnson),3,4
9,1,10:21.0,T. Johnson makes 2-pt layup from 1 ft,,5,4
10,1,10:12.0,,J. Redick makes 2-pt jump shot from 19 ft,5,6
11,1,10:00.0,G. Dragić makes 2-pt layup from 1 ft,,7,6
12,1,9:33.0,,B. Simmons misses 2-pt jump shot from 13 ft (block by H. Whiteside),7,6
13,1,9:33.0,,Offensive rebound by B. Simmons,7,6
14,1,9:32.0,,Turnover by Team (shot clock),7,6
15,1,9:20.0,H. Whiteside misses 2-pt jump shot from 12 ft,,7,6
16,1,9:18.0,,Defensive rebound by B. Simmons,7,6
17,1,9:04.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Johnson),7,9
18,1,8:52.0,Shooting foul by R. Covington (drawn by G. Dragić),,7,9
19,1,8:52.0,G. Dragić makes free throw 1 of 2,,8,9
20,1,8:52.0,G. Dragić makes free throw 2 of 2,,9,9
21,1,8:42.0,,Shooting foul by J. Richardson (drawn by B. Simmons),9,9
22,1,8:42.0,,B. Simmons misses free throw 1 of 2,9,9
23,1,8:42.0,,Offensive rebound by Team,9,9
24,1,8:42.0,,B. Simmons misses free throw 2 of 2,9,9
25,1,8:39.0,Defensive rebound by G. Dragić,,9,9
26,1,8:21.0,H. Whiteside makes 2-pt jump shot from 7 ft,,11,9
27,1,8:21.0,Shooting foul by B. Simmons (drawn by H. Whiteside),,11,9
28,1,8:21.0,H. Whiteside makes free throw 1 of 1,,12,9
29,1,8:08.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Simmons),12,11
30,1,7:57.0,G. Dragić misses 2-pt jump shot from 17 ft,,12,11
31,1,7:55.0,Offensive rebound by Team,,12,11
32,1,7:55.0,,Loose ball foul by D. Šarić (drawn by G. Dragić),12,11
33,1,7:55.0,,T. McConnell enters the game for J. Redick,12,11
34,1,7:48.0,G. Dragić makes 2-pt layup from 7 ft (assist by T. Johnson),,14,11
35,1,7:27.0,,R. Covington misses 3-pt jump shot from 26 ft,14,11
36,1,7:24.0,Defensive rebound by H. Whiteside,,14,11
37,1,7:16.0,H. Whiteside misses 2-pt layup from 2 ft,,14,11
38,1,7:15.0,,Defensive rebound by Team,14,11
39,1,7:06.0,,T. McConnell misses 2-pt jump shot from 20 ft,14,11
40,1,7:03.0,Defensive rebound by T. Johnson,,14,11
41,1,6:58.0,T. Johnson makes 2-pt layup at rim,,16,11
42,1,6:58.0,,Philadelphia full timeout,16,11
43,1,6:39.0,,R. Covington misses 2-pt jump shot from 9 ft,16,11
44,1,6:37.0,,Offensive rebound by R. Covington,16,11
45,1,6:29.0,,B. Simmons misses 2-pt jump shot from 16 ft,16,11
46,1,6:29.0,,Offensive rebound by D. Šarić,16,11
47,1,6:25.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by D. Šarić),16,14
48,1,6:04.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by T. Johnson),,19,14
49,1,5:34.0,,D. Šarić misses 2-pt jump shot from 5 ft (block by J. Richardson),19,14
50,1,5:31.0,Defensive rebound by J. Winslow,,19,14
51,1,5:26.0,G. Dragić misses 3-pt jump shot from 28 ft,,19,14
52,1,5:24.0,,Defensive rebound by R. Covington,19,14
53,1,5:16.0,,B. Simmons misses 2-pt jump shot from 18 ft,19,14
54,1,5:16.0,,Offensive rebound by A. Johnson,19,14
55,1,5:03.0,,B. Simmons makes 2-pt jump shot from 12 ft (assist by A. Johnson),19,16
56,1,4:54.0,Miami full timeout,,19,16
57,1,4:54.0,,R. Holmes enters the game for A. Johnson,19,16
58,1,4:54.0,W. Ellington enters the game for J. Richardson,,19,16
59,1,4:45.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,21,16
60,1,4:34.0,,T. McConnell misses 2-pt jump shot from 16 ft,21,16
61,1,4:31.0,Defensive rebound by H. Whiteside,,21,16
62,1,4:21.0,Shooting foul by T. McConnell (drawn by J. Winslow),,21,16
63,1,4:21.0,J. Winslow makes free throw 1 of 2,,22,16
64,1,4:21.0,,J. Redick enters the game for D. Šarić,22,16
65,1,4:21.0,,M. Belinelli enters the game for B. Simmons,22,16
66,1,4:21.0,,T. Booker enters the game for R. Covington,22,16
67,1,4:21.0,J. Winslow misses free throw 2 of 2,,22,16
68,1,4:19.0,,Defensive rebound by Team,22,16
69,1,4:09.0,,J. Redick misses 3-pt jump shot from 26 ft,22,16
70,1,4:05.0,Defensive rebound by J. Winslow,,22,16
71,1,3:50.0,T. Johnson misses 2-pt jump shot from 19 ft,,22,16
72,1,3:47.0,,Defensive rebound by J. Redick,22,16
73,1,3:25.0,,Turnover by J. Redick (bad pass; steal by J. Winslow),22,16
74,1,3:20.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by G. Dragić),,25,16
75,1,2:56.0,,T. McConnell misses 2-pt jump shot from 5 ft,25,16
76,1,2:54.0,Defensive rebound by H. Whiteside,,25,16
77,1,2:46.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,27,16
78,1,2:33.0,,Shooting foul by H. Whiteside (drawn by R. Holmes),27,16
79,1,2:33.0,,R. Holmes makes free throw 1 of 2,27,17
80,1,2:33.0,D. Wade enters the game for T. Johnson,,27,17
81,1,2:33.0,B. Adebayo enters the game for J. Winslow,,27,17
82,1,2:33.0,J. Johnson enters the game for H. Whiteside,,27,17
83,1,2:33.0,,R. Holmes makes free throw 2 of 2,27,18
84,1,2:11.0,J. Johnson makes 2-pt hook shot from 6 ft (assist by D. Wade),,29,18
85,1,1:58.0,,M. Belinelli misses 2-pt jump shot from 15 ft,29,18
86,1,1:56.0,Defensive rebound by D. Wade,,29,18
87,1,1:41.0,D. Wade misses 2-pt jump shot from 13 ft,,29,18
88,1,1:38.0,,Defensive rebound by R. Holmes,29,18
89,1,1:26.0,,J. Redick misses 3-pt jump shot from 28 ft,29,18
90,1,1:21.0,,Offensive rebound by R. Holmes,29,18
91,1,1:15.0,,T. Booker misses 2-pt hook shot from 9 ft,29,18
92,1,1:13.0,Defensive rebound by Team,,29,18
93,1,1:13.0,J. Richardson enters the game for G. Dragić,,29,18
94,1,1:11.0,Turnover by D. Wade (bad pass; steal by T. McConnell),,29,18
95,1,1:04.0,,M. Belinelli misses 2-pt jump shot from 21 ft,29,18
96,1,1:00.0,Defensive rebound by J. Richardson,,29,18
97,1,0:48.0,J. Richardson misses 2-pt jump shot from 19 ft,,29,18
98,1,0:45.0,,Defensive rebound by T. McConnell,29,18
99,1,0:40.0,,Turnover by R. Holmes (offensive goaltending),29,18
100,1,0:31.0,W. Ellington misses 3-pt jump shot from 26 ft,,29,18
101,1,0:29.0,,Defensive rebound by T. McConnell,29,18
102,1,0:26.0,,Turnover by T. Booker (lost ball; steal by W. Ellington),29,18
103,1,0:03.0,Turnover by D. Wade (bad pass),,29,18
104,1,0:00.0,,J. Redick misses 3-pt jump shot from 24 ft,29,18
105,1,0:00.0,,Offensive rebound by T. Booker,29,18
106,1,0:00.0,,T. Booker makes 2-pt layup from 2 ft,29,20
107,2,11:51.0,Personal foul by A. Johnson (drawn by B. Adebayo),,29,20
108,2,11:51.0,,Technical foul by T. McConnell,29,20
109,2,11:51.0,W. Ellington makes technical free throw,,30,20
110,2,11:36.0,Shooting foul by A. Johnson (drawn by B. Adebayo),,30,20
111,2,11:36.0,B. Adebayo makes free throw 1 of 2,,31,20
112,2,11:36.0,B. Adebayo makes free throw 2 of 2,,32,20
113,2,11:14.0,,Turnover by T. Booker (turnover),32,20
114,2,11:06.0,D. Wade misses 2-pt jump shot from 13 ft,,32,20
115,2,11:02.0,,Defensive rebound by T. Booker,32,20
