,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
0,1,11:41.0,E. Fournier misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by H. Barnes,0,0
2,1,11:24.0,,M. Kleber makes 2-pt layup from 1 ft (assist by W. Matthews),0,2
3,1,11:09.0,Shooting foul by M. Kleber (drawn by E. Payton),,0,2
4,1,11:09.0,E. Payton misses free throw 1 of 2,,0,2
5,1,11:09.0,Offensive rebound by Team,,0,2
6,1,11:09.0,E. Payton misses free throw 2 of 2,,0,2
7,1,11:07.0,,Defensive rebound by M. Kleber,0,2
8,1,10:58.0,,D. Smith misses 2-pt jump shot from 22 ft,0,2
9,1,10:56.0,Defensive rebound by B. Biyombo,,0,2
10,1,10:47.0,B. Biyombo misses 2-pt layup at rim,,0,2
11,1,10:45.0,Offensive rebound by B. Biyombo,,0,2
12,1,10:44.0,B. Biyombo misses 2-pt layup from 3 ft (block by D. Smith),,0,2
13,1,10:43.0,Offensive rebound by E. Payton,,0,2
14,1,10:36.0,B. Biyombo misses 2-pt hook shot from 6 ft,,0,2
15,1,10:34.0,,Defensive rebound by H. Barnes,0,2
16,1,10:23.0,,W. Matthews makes 2-pt jump shot from 6 ft,0,4
17,1,10:11.0,M. Hezonja makes 2-pt jump shot from 12 ft (assist by E. Payton),,2,4
18,1,9:57.0,,Turnover by W. Matthews (out of bounds lost ball),2,4
19,1,9:46.0,Turnover by E. Payton (bad pass; steal by H. Barnes),,2,4
20,1,9:41.0,,D. Smith misses 2-pt layup from 3 ft,2,4
21,1,9:39.0,Defensive rebound by M. Hezonja,,2,4
22,1,9:31.0,B. Biyombo makes 2-pt dunk at rim (assist by M. Hezonja),,4,4
23,1,9:08.0,,W. Matthews misses 3-pt jump shot from 27 ft,4,4
24,1,9:04.0,Defensive rebound by B. Biyombo,,4,4
25,1,8:52.0,M. Hezonja makes 3-pt jump shot from 29 ft (assist by J. Simmons),,7,4
26,1,8:28.0,,M. Kleber misses 3-pt jump shot from 22 ft,7,4
27,1,8:25.0,Defensive rebound by J. Simmons,,7,4
28,1,8:18.0,M. Hezonja makes 2-pt layup at rim,,9,4
29,1,8:17.0,,Dallas full timeout,9,4
30,1,8:17.0,,Y. Ferrell enters the game for M. Kleber,9,4
31,1,7:59.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by W. Matthews),9,6
32,1,7:35.0,E. Fournier misses 2-pt jump shot from 13 ft,,9,6
33,1,7:32.0,,Defensive rebound by D. Smith,9,6
34,1,7:26.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),9,9
35,1,7:20.0,Turnover by E. Payton (out of bounds lost ball),,9,9
36,1,7:17.0,,Personal foul by E. Payton (drawn by D. Smith),9,9
37,1,7:17.0,,S. Mejri enters the game for D. Nowitzki,9,9
38,1,7:07.0,,D. Smith makes 2-pt jump shot from 18 ft,9,11
39,1,6:46.0,J. Simmons misses 2-pt jump shot from 11 ft,,9,11
40,1,6:41.0,,Defensive rebound by D. Smith,9,11
41,1,6:34.0,,Personal foul by J. Simmons (drawn by H. Barnes),9,11
42,1,6:22.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by H. Barnes),9,14
43,1,6:20.0,Orlando full timeout,,9,14
44,1,5:59.0,J. Simmons misses 2-pt layup from 2 ft,,9,14
45,1,5:58.0,,Defensive rebound by D. Smith,9,14
46,1,5:41.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by H. Barnes),9,17
47,1,5:31.0,Offensive foul by B. Biyombo (drawn by W. Matthews),,9,17
48,1,5:31.0,Turnover by B. Biyombo (offensive foul),,9,17
49,1,5:31.0,A. Gordon enters the game for J. Simmons,,9,17
