,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:45.0,J. Brown misses 2-pt layup from 5 ft,,0,0
1,1,11:42.0,Offensive rebound by J. Brown,,0,0
2,1,11:41.0,J. Brown misses 2-pt layup from 2 ft,,0,0
3,1,11:41.0,,Defensive rebound by N. Vučević,0,0
4,1,11:24.0,,N. Vučević misses 2-pt jump shot from 11 ft,0,0
5,1,11:21.0,Defensive rebound by M. Morris,,0,0
6,1,11:13.0,J. Brown misses 3-pt jump shot from 25 ft,,0,0
7,1,11:09.0,,Defensive rebound by A. Gordon,0,0
8,1,11:00.0,,N. Vučević misses 3-pt jump shot from 25 ft,0,0
9,1,10:57.0,Defensive rebound by J. Brown,,0,0
10,1,10:45.0,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),,2,0
11,1,10:32.0,,E. Fournier misses 2-pt jump shot from 15 ft,2,0
12,1,10:29.0,Defensive rebound by A. Horford,,2,0
13,1,10:21.0,M. Morris misses 2-pt jump shot from 13 ft,,2,0
14,1,10:20.0,,Defensive rebound by Team,2,0
15,1,10:20.0,Loose ball foul by J. Tatum (drawn by T. Ross),,2,0
16,1,10:09.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),2,2
17,1,9:50.0,Personal block foul by J. Simmons (drawn by M. Morris),,2,2
18,1,9:38.0,Turnover by A. Horford (bad pass; steal by A. Gordon),,2,2
19,1,9:32.0,,J. Simmons makes 2-pt layup from 1 ft (assist by N. Vučević),2,4
20,1,9:03.0,J. Tatum misses 3-pt jump shot from 24 ft,,2,4
21,1,9:01.0,,Defensive rebound by A. Gordon,2,4
22,1,8:50.0,,N. Vučević makes 2-pt hook shot from 7 ft,2,6
23,1,8:33.0,Turnover by A. Horford (bad pass; steal by T. Ross),,2,6
24,1,8:28.0,,E. Fournier misses 3-pt jump shot from 24 ft,2,6
25,1,8:24.0,,Offensive rebound by J. Simmons,2,6
26,1,8:16.0,,J. Simmons misses 2-pt jump shot from 17 ft,2,6
27,1,8:13.0,Defensive rebound by M. Morris,,2,6
28,1,8:02.0,Shooting foul by A. Gordon (drawn by A. Horford),,2,6
29,1,8:02.0,A. Horford misses free throw 1 of 2,,2,6
30,1,8:02.0,Offensive rebound by Team,,2,6
31,1,8:02.0,A. Horford makes free throw 2 of 2,,3,6
32,1,7:49.0,,N. Vučević misses 2-pt hook shot from 6 ft,3,6
33,1,7:46.0,Defensive rebound by J. Tatum,,3,6
34,1,7:35.0,Personal foul by J. Simmons (drawn by J. Tatum),,3,6
35,1,7:35.0,,S. Mack enters the game for J. Simmons,3,6
36,1,7:35.0,A. Baynes enters the game for A. Horford,,3,6
37,1,7:28.0,K. Irving makes 2-pt layup from 2 ft,,5,6
38,1,7:19.0,,T. Ross misses 2-pt jump shot from 12 ft,5,6
39,1,7:15.0,Defensive rebound by A. Baynes,,5,6
40,1,7:12.0,K. Irving misses 3-pt jump shot from 27 ft,,5,6
41,1,7:07.0,,Defensive rebound by N. Vučević,5,6
42,1,6:58.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),5,9
43,1,6:41.0,K. Irving misses 3-pt jump shot from 25 ft,,5,9
44,1,6:38.0,,Defensive rebound by N. Vučević,5,9
45,1,6:31.0,,N. Vučević misses 3-pt jump shot from 25 ft,5,9
46,1,6:28.0,Defensive rebound by M. Morris,,5,9
47,1,6:22.0,M. Morris misses 2-pt jump shot from 7 ft,,5,9
48,1,6:18.0,,Defensive rebound by N. Vučević,5,9
49,1,6:13.0,,Turnover by S. Mack (bad pass),5,9
50,1,6:13.0,,Orlando full timeout,5,9
51,1,6:13.0,M. Smart enters the game for J. Tatum,,5,9
52,1,6:13.0,S. Ojeleye enters the game for M. Morris,,5,9
53,1,6:13.0,A. Horford enters the game for A. Baynes,,5,9
54,1,6:01.0,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),,8,9
55,1,5:33.0,,E. Fournier misses 3-pt jump shot from 23 ft,8,9
56,1,5:30.0,Defensive rebound by J. Brown,,8,9
57,1,5:27.0,Shooting foul by E. Fournier (drawn by K. Irving),,8,9
58,1,5:27.0,K. Irving makes free throw 1 of 2,,9,9
59,1,5:27.0,K. Irving makes free throw 2 of 2,,10,9
60,1,5:14.0,,N. Vučević misses 2-pt hook shot from 6 ft,10,9
61,1,5:12.0,Defensive rebound by A. Horford,,10,9
62,1,5:05.0,K. Irving makes 2-pt jump shot from 21 ft,,12,9
63,1,4:42.0,,S. Mack misses 2-pt jump shot from 16 ft,12,9
64,1,4:41.0,Defensive rebound by M. Smart,,12,9
65,1,4:41.0,Turnover by M. Smart (traveling),,12,9
66,1,4:32.0,,T. Ross makes 2-pt jump shot from 11 ft (assist by S. Mack),12,11
67,1,4:02.0,J. Brown misses 2-pt jump shot from 13 ft,,12,11
68,1,3:59.0,,Defensive rebound by N. Vučević,12,11
69,1,3:54.0,,Personal foul by J. Brown (drawn by E. Fournier),12,11
70,1,3:54.0,,J. Isaac enters the game for T. Ross,12,11
71,1,3:47.0,,N. Vučević makes 2-pt jump shot from 8 ft,12,13
72,1,3:21.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,15,13
73,1,3:11.0,,S. Mack makes 2-pt layup from 2 ft,15,15
74,1,2:45.0,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),,18,15
75,1,2:35.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by N. Vučević),18,17
76,1,2:31.0,Boston full timeout,,18,17
77,1,2:31.0,,B. Biyombo enters the game for N. Vučević,18,17
78,1,2:31.0,T. Rozier enters the game for K. Irving,,18,17
79,1,2:13.0,J. Brown misses 3-pt jump shot from 25 ft,,18,17
80,1,2:08.0,,Defensive rebound by B. Biyombo,18,17
81,1,1:56.0,,A. Gordon misses 2-pt jump shot from 16 ft,18,17
82,1,1:53.0,Defensive rebound by T. Rozier,,18,17
83,1,1:44.0,A. Horford misses 2-pt hook shot from 8 ft,,18,17
84,1,1:40.0,,Defensive rebound by E. Fournier,18,17
85,1,1:30.0,,J. Isaac makes 3-pt jump shot from 24 ft (assist by E. Fournier),18,20
86,1,1:11.0,T. Rozier makes 2-pt layup from 2 ft,,20,20
87,1,0:55.0,,E. Fournier misses 3-pt jump shot from 27 ft,20,20
88,1,0:51.0,,Offensive rebound by B. Biyombo,20,20
89,1,0:48.0,,Turnover by S. Mack (lost ball; steal by J. Brown),20,20
90,1,0:44.0,Turnover by J. Brown (bad pass),,20,20
91,1,0:44.0,A. Baynes enters the game for J. Brown,,20,20
92,1,0:44.0,J. Tatum enters the game for A. Horford,,20,20
93,1,0:31.0,,E. Fournier misses 2-pt layup from 2 ft,20,20
94,1,0:28.0,Defensive rebound by M. Smart,,20,20
95,1,0:21.0,A. Baynes makes 2-pt hook shot from 4 ft (assist by M. Smart),,22,20
96,1,0:05.0,,Offensive foul by B. Biyombo (drawn by A. Baynes),22,20
97,1,0:05.0,,Turnover by B. Biyombo (offensive foul),22,20
98,1,0:05.0,K. Irving enters the game for S. Ojeleye,,22,20
99,1,0:00.0,T. Rozier misses 3-pt jump shot from 24 ft (block by A. Gordon),,22,20
100,1,0:00.0,Offensive rebound by Team,,22,20
101,2,11:43.0,,J. Isaac misses 2-pt jump shot from 18 ft,22,20
102,2,11:39.0,Defensive rebound by M. Smart,,22,20
103,2,11:23.0,Turnover by M. Smart (bad pass),,22,20
104,2,11:16.0,,S. Mack misses 2-pt jump shot from 10 ft,22,20
105,2,11:15.0,,Offensive rebound by B. Biyombo,22,20
106,2,11:15.0,,Personal foul by A. Baynes (drawn by B. Biyombo),22,20
107,2,11:15.0,M. Morris enters the game for S. Ojeleye,,22,20
108,2,11:10.0,,T. Ross misses 2-pt jump shot from 12 ft,22,20
109,2,11:06.0,Defensive rebound by J. Tatum,,22,20
110,2,10:56.0,M. Morris misses 3-pt jump shot from 26 ft,,22,20
111,2,10:51.0,Offensive rebound by M. Morris,,22,20
112,2,10:50.0,J. Tatum makes 3-pt jump shot from 22 ft (assist by M. Morris),,25,20
113,2,10:39.0,,Personal foul by J. Tatum (drawn by B. Biyombo),25,20
114,2,10:30.0,,M. Hezonja misses 2-pt jump shot from 13 ft,25,20
115,2,10:27.0,Defensive rebound by M. Morris,,25,20
116,2,10:11.0,T. Rozier misses 3-pt jump shot from 25 ft,,25,20
117,2,10:08.0,,Defensive rebound by S. Mack,25,20
118,2,10:04.0,,T. Ross misses 3-pt jump shot from 25 ft,25,20
119,2,10:00.0,Defensive rebound by J. Tatum,,25,20
120,2,9:52.0,A. Baynes misses 2-pt layup from 1 ft (block by J. Isaac),,25,20
121,2,9:48.0,,Defensive rebound by B. Biyombo,25,20
122,2,9:42.0,,S. Mack makes 2-pt layup from 3 ft,25,22
123,2,9:26.0,M. Smart misses 3-pt jump shot from 25 ft,,25,22
124,2,9:24.0,,Defensive rebound by J. Isaac,25,22
