,QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
0,1,11:45.0,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by T. Hardaway),,2,0
1,1,11:32.0,,Turnover by R. Gobert (out of bounds lost ball),2,0
2,1,11:20.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,2,0
3,1,11:17.0,,Defensive rebound by R. Rubio,2,0
4,1,11:10.0,,Shooting foul by K. Porziņģis (drawn by R. Gobert),2,0
5,1,11:10.0,,R. Gobert misses free throw 1 of 2,2,0
6,1,11:10.0,,Offensive rebound by Team,2,0
7,1,11:10.0,,R. Gobert makes free throw 2 of 2,2,1
8,1,10:58.0,K. Porziņģis makes 2-pt jump shot from 11 ft,,4,1
9,1,10:42.0,,D. Favors misses 3-pt jump shot from 23 ft,4,1
10,1,10:40.0,,Offensive rebound by R. Gobert,4,1
11,1,10:39.0,,R. Gobert misses 2-pt layup from 2 ft (block by K. Porziņģis),4,1
12,1,10:39.0,Defensive rebound by C. Lee,,4,1
13,1,10:25.0,E. Freedom misses 2-pt hook shot from 5 ft (block by R. Gobert),,4,1
14,1,10:20.0,,Defensive rebound by R. Hood,4,1
15,1,10:18.0,,R. Rubio makes 2-pt layup from 2 ft,4,3
16,1,9:57.0,T. Hardaway makes 2-pt jump shot from 19 ft,,6,3
17,1,9:42.0,,R. Rubio misses 2-pt jump shot from 8 ft (block by E. Freedom),6,3
18,1,9:42.0,Defensive rebound by T. Hardaway,,6,3
19,1,9:38.0,Turnover by T. Hardaway (bad pass; steal by R. Rubio),,6,3
20,1,9:32.0,,D. Mitchell misses 3-pt jump shot from 25 ft,6,3
21,1,9:30.0,Defensive rebound by E. Freedom,,6,3
22,1,9:16.0,E. Freedom makes 2-pt hook shot from 5 ft,,8,3
23,1,8:51.0,,R. Rubio makes 2-pt jump shot from 16 ft,8,5
24,1,8:37.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by J. Jack),,11,5
25,1,8:22.0,,R. Hood makes 2-pt jump shot from 23 ft (assist by R. Rubio),11,7
26,1,8:05.0,J. Jack misses 2-pt layup from 3 ft,,11,7
27,1,8:03.0,,Defensive rebound by D. Favors,11,7
28,1,7:57.0,,Turnover by R. Rubio (bad pass; steal by C. Lee),11,7
29,1,7:53.0,C. Lee misses 2-pt layup from 2 ft (block by D. Mitchell),,11,7
30,1,7:50.0,,Defensive rebound by R. Hood,11,7
31,1,7:37.0,,D. Favors misses 2-pt hook shot from 3 ft (block by K. Porziņģis),11,7
32,1,7:37.0,Defensive rebound by Team,,11,7
33,1,7:37.0,,J. Jerebko enters the game for R. Gobert,11,7
34,1,7:22.0,T. Hardaway misses 2-pt jump shot from 17 ft,,11,7
35,1,7:20.0,,Defensive rebound by D. Mitchell,11,7
36,1,7:11.0,,R. Hood makes 2-pt jump shot from 13 ft,11,9
37,1,6:57.0,C. Lee makes 3-pt jump shot from 22 ft (assist by J. Jack),,14,9
38,1,6:50.0,,Utah full timeout,14,9
39,1,6:50.0,M. Beasley enters the game for K. Porziņģis,,14,9
40,1,6:50.0,,J. Ingles enters the game for R. Rubio,14,9
41,1,6:50.0,,R. Gobert enters the game for D. Favors,14,9
42,1,6:36.0,,Turnover by D. Mitchell (lost ball; steal by E. Freedom),14,9
43,1,6:32.0,Turnover by J. Jack (bad pass),,14,9
44,1,6:20.0,,R. Hood misses 2-pt jump shot from 21 ft,14,9
45,1,6:15.0,Defensive rebound by M. Beasley,,14,9
46,1,6:02.0,T. Hardaway makes 2-pt layup from 1 ft (assist by E. Freedom),,16,9
47,1,5:43.0,,R. Gobert makes 2-pt hook shot from 5 ft,16,11
48,1,5:25.0,E. Freedom misses 2-pt hook shot from 7 ft,,16,11
49,1,5:24.0,,Defensive rebound by J. Ingles,16,11
50,1,5:19.0,,J. Ingles misses 3-pt jump shot from 24 ft,16,11
51,1,5:16.0,Defensive rebound by C. Lee,,16,11
52,1,5:09.0,E. Freedom misses 2-pt jump shot from 22 ft,,16,11
53,1,5:05.0,,Defensive rebound by D. Mitchell,16,11
54,1,4:53.0,,J. Jerebko misses 2-pt jump shot from 20 ft,16,11
55,1,4:51.0,Defensive rebound by T. Hardaway,,16,11
56,1,4:43.0,J. Jack misses 3-pt jump shot from 24 ft,,16,11
57,1,4:40.0,,Defensive rebound by R. Gobert,16,11
58,1,4:27.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by D. Mitchell),16,14
59,1,4:12.0,M. Beasley makes 2-pt jump shot from 8 ft (assist by T. Hardaway),,18,14
60,1,3:55.0,,D. Mitchell misses 2-pt jump shot from 20 ft,18,14
61,1,3:53.0,Defensive rebound by T. Hardaway,,18,14
62,1,3:48.0,T. Hardaway misses 2-pt jump shot from 10 ft,,18,14
63,1,3:46.0,,Defensive rebound by R. Gobert,18,14
64,1,3:30.0,,R. Hood misses 2-pt layup from 3 ft,18,14
65,1,3:30.0,,Offensive rebound by R. Gobert,18,14
66,1,3:30.0,,Shooting foul by E. Freedom (drawn by R. Gobert),18,14
67,1,3:30.0,,R. Gobert makes free throw 1 of 2,18,15
68,1,3:30.0,,J. Johnson enters the game for R. Hood,18,15
69,1,3:30.0,,R. O'Neale enters the game for J. Jerebko,18,15
70,1,3:30.0,L. Thomas enters the game for T. Hardaway,,18,15
71,1,3:30.0,F. Ntilikina enters the game for J. Jack,,18,15
72,1,3:30.0,,R. Gobert misses free throw 2 of 2,18,15
73,1,3:30.0,Defensive rebound by Team,,18,15
74,1,3:30.0,,D. Favors enters the game for R. Gobert,18,15
75,1,3:13.0,L. Thomas makes 2-pt layup from 4 ft,,20,15
76,1,2:57.0,,Turnover by D. Mitchell (traveling),20,15
77,1,2:57.0,New York full timeout,,20,15
78,1,2:57.0,,R. Neto enters the game for D. Mitchell,20,15
79,1,2:57.0,K. Porziņģis enters the game for E. Freedom,,20,15
80,1,2:49.0,Turnover by F. Ntilikina (bad pass; steal by R. Neto),,20,15
81,1,2:45.0,,R. Neto misses 2-pt layup from 1 ft,20,15
82,1,2:43.0,Defensive rebound by M. Beasley,,20,15
83,1,2:36.0,C. Lee makes 2-pt layup from 1 ft,,22,15
84,1,2:23.0,,Personal foul by M. Beasley (drawn by J. Johnson),22,15
85,1,2:23.0,,R. Hood enters the game for R. O'Neale,22,15
86,1,2:18.0,,Turnover by D. Favors (turnover),22,15
87,1,2:02.0,Turnover by M. Beasley (lost ball; steal by R. Hood),,22,15
88,1,1:52.0,,J. Johnson makes 2-pt jump shot from 6 ft,22,17
89,1,1:41.0,K. Porziņģis misses 3-pt jump shot from 28 ft,,22,17
90,1,1:39.0,,Defensive rebound by R. Neto,22,17
91,1,1:29.0,,R. Neto makes 2-pt jump shot from 3 ft,22,19
92,1,1:17.0,C. Lee misses 2-pt jump shot from 7 ft,,22,19
93,1,1:14.0,,Defensive rebound by Team,22,19
94,1,1:14.0,,Personal foul by C. Lee (drawn by J. Johnson),22,19
95,1,1:14.0,D. McDermott enters the game for C. Lee,,22,19
96,1,1:14.0,K. O'Quinn enters the game for M. Beasley,,22,19
97,1,0:54.0,,R. Neto makes 2-pt layup from 1 ft (assist by J. Ingles),22,21
98,1,0:44.0,,Offensive charge foul by F. Ntilikina (drawn by R. Neto),22,21
99,1,0:44.0,Turnover by F. Ntilikina (offensive foul),,22,21
100,1,0:44.0,T. Burke enters the game for F. Ntilikina,,22,21
101,1,0:33.0,,R. Hood makes 3-pt jump shot from 25 ft,22,24
