,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
0,1,11:36.0,,H. Whiteside misses 2-pt hook shot from 5 ft,0,0
1,1,11:33.0,Defensive rebound by Z. Randolph,,0,0
2,1,11:16.0,Z. Randolph misses 2-pt jump shot from 22 ft,,0,0
3,1,11:16.0,,Defensive rebound by G. Dragić,0,0
4,1,10:54.0,,G. Dragić makes 2-pt jump shot from 7 ft,0,2
5,1,10:35.0,J. Jackson makes 2-pt jump shot from 20 ft,,2,2
6,1,10:15.0,,J. Johnson makes 2-pt jump shot from 10 ft,2,4
7,1,10:09.0,D. Fox misses 2-pt jump shot from 18 ft,,2,4
8,1,10:06.0,,Defensive rebound by J. Johnson,2,4
9,1,9:53.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,4
10,1,9:49.0,Defensive rebound by W. Cauley-Stein,,2,4
11,1,9:39.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,2,4
12,1,9:37.0,,Defensive rebound by H. Whiteside,2,4
13,1,9:31.0,,G. Dragić makes 2-pt jump shot from 19 ft,2,6
14,1,9:11.0,Turnover by D. Fox (bad pass; steal by H. Whiteside),,2,6
15,1,8:59.0,,Personal foul by D. Fox (drawn by J. Johnson),2,6
16,1,8:52.0,,G. Dragić misses 2-pt jump shot from 11 ft,2,6
17,1,8:49.0,Defensive rebound by W. Cauley-Stein,,2,6
18,1,8:38.0,Z. Randolph makes 2-pt jump shot from 6 ft,,4,6
19,1,8:22.0,,J. Johnson misses 2-pt jump shot from 20 ft,4,6
20,1,8:19.0,Defensive rebound by J. Jackson,,4,6
21,1,8:13.0,W. Cauley-Stein misses 2-pt jump shot from 8 ft,,4,6
22,1,8:08.0,,Defensive rebound by H. Whiteside,4,6
23,1,7:59.0,,Personal foul by W. Cauley-Stein (drawn by G. Dragić),4,6
24,1,7:51.0,,G. Dragić makes 2-pt jump shot from 15 ft,4,8
25,1,7:40.0,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),,4,8
26,1,7:40.0,W. Cauley-Stein misses free throw 1 of 2,,4,8
27,1,7:40.0,Offensive rebound by Team,,4,8
28,1,7:40.0,W. Cauley-Stein misses free throw 2 of 2,,4,8
29,1,7:37.0,,Defensive rebound by J. Johnson,4,8
30,1,7:24.0,,J. Johnson misses 2-pt layup from 3 ft,4,8
31,1,7:22.0,,Offensive rebound by D. Jones,4,8
32,1,7:18.0,,J. Richardson misses 3-pt jump shot from 26 ft,4,8
33,1,7:13.0,,Offensive rebound by J. Johnson,4,8
34,1,6:56.0,,G. Dragić misses 2-pt layup from 3 ft,4,8
35,1,6:53.0,Defensive rebound by B. Bogdanović,,4,8
36,1,6:48.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Fox),,7,8
37,1,6:32.0,,G. Dragić misses 3-pt jump shot from 24 ft,7,8
38,1,6:29.0,Defensive rebound by Z. Randolph,,7,8
39,1,6:26.0,Personal foul by G. Dragić (drawn by D. Fox),,7,8
40,1,6:26.0,,Miami full timeout,7,8
41,1,6:26.0,K. Koufos enters the game for W. Cauley-Stein,,7,8
42,1,6:15.0,Z. Randolph misses 2-pt hook shot from 5 ft,,7,8
43,1,6:11.0,,Defensive rebound by J. Richardson,7,8
44,1,6:04.0,,Offensive foul by J. Johnson (drawn by D. Fox),7,8
45,1,6:04.0,,Turnover by J. Johnson (offensive foul),7,8
46,1,6:04.0,,W. Ellington enters the game for J. Richardson,7,8
47,1,5:52.0,J. Jackson makes 2-pt jump shot from 20 ft,,9,8
48,1,5:37.0,,Personal foul by J. Jackson (drawn by H. Whiteside),9,8
