,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,J. Richardson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by P. Beverley,0,0
2,1,11:24.0,,P. Beverley misses 2-pt jump shot from 10 ft,0,0
3,1,11:17.0,,Offensive rebound by D. Jordan,0,0
4,1,11:17.0,,D. Jordan makes 2-pt dunk at rim,0,2
5,1,10:57.0,G. Dragić makes 2-pt jump shot from 13 ft,,2,2
6,1,10:54.0,,Personal block foul by O. White (drawn by B. Griffin),2,2
7,1,10:43.0,,A. Rivers misses 3-pt jump shot from 24 ft,2,2
8,1,10:41.0,Defensive rebound by Team,,2,2
9,1,10:31.0,J. Winslow makes 2-pt jump shot from 9 ft (assist by J. Richardson),,4,2
10,1,10:18.0,,Personal foul by J. Winslow (drawn by D. Gallinari),4,2
11,1,10:03.0,,B. Griffin makes 2-pt jump shot from 18 ft,4,4
12,1,9:46.0,J. Winslow misses 2-pt jump shot from 4 ft (block by A. Rivers),,4,4
13,1,9:43.0,Offensive rebound by H. Whiteside,,4,4
14,1,9:43.0,H. Whiteside misses 2-pt layup at rim,,4,4
15,1,9:42.0,,Defensive rebound by Team,4,4
16,1,9:33.0,,P. Beverley misses 2-pt jump shot from 4 ft,4,4
17,1,9:33.0,,D. Jordan misses 2-pt layup from 1 ft,4,4
18,1,9:33.0,,Offensive rebound by D. Jordan,4,4
19,1,9:30.0,,Offensive rebound by D. Jordan,4,4
20,1,9:30.0,,D. Jordan misses 2-pt layup at rim,4,4
21,1,9:30.0,Defensive rebound by G. Dragić,,4,4
22,1,9:30.0,Personal foul by D. Jordan (drawn by G. Dragić),,4,4
23,1,9:14.0,H. Whiteside misses 2-pt hook shot from 10 ft,,4,4
24,1,9:14.0,,Defensive rebound by B. Griffin,4,4
25,1,9:00.0,,P. Beverley misses 3-pt jump shot from 24 ft,4,4
26,1,9:00.0,Defensive rebound by H. Whiteside,,4,4
27,1,8:48.0,J. Richardson misses 2-pt jump shot from 3 ft,,4,4
28,1,8:48.0,Offensive rebound by H. Whiteside,,4,4
29,1,8:42.0,H. Whiteside makes 2-pt layup at rim,,6,4
30,1,8:32.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by D. Jordan),6,6
31,1,8:08.0,O. White misses 3-pt jump shot from 23 ft,,6,6
