,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,Turnover by D. Booker (lost ball; steal by D. Green),,0,0
1,1,11:16.0,,P. Gasol misses 2-pt jump shot from 18 ft,0,0
2,1,11:14.0,Defensive rebound by D. Booker,,0,0
3,1,11:08.0,T. Warren misses 2-pt jump shot from 15 ft,,0,0
4,1,11:05.0,,Defensive rebound by P. Mills,0,0
5,1,10:44.0,,D. Green makes 2-pt jump shot from 17 ft (assist by P. Gasol),0,2
6,1,10:31.0,M. James misses 3-pt jump shot from 26 ft,,0,2
7,1,10:28.0,,Defensive rebound by K. Anderson,0,2
8,1,10:19.0,,L. Aldridge misses 3-pt jump shot from 24 ft,0,2
9,1,10:19.0,,Offensive rebound by Team,0,2
10,1,10:19.0,Loose ball foul by T. Warren (drawn by K. Anderson),,0,2
11,1,10:14.0,,P. Mills makes 2-pt jump shot from 9 ft (assist by K. Anderson),0,4
12,1,10:03.0,M. James misses 2-pt layup from 1 ft (block by P. Gasol),,0,4
13,1,10:03.0,,Defensive rebound by K. Anderson,0,4
14,1,9:53.0,,K. Anderson misses 2-pt layup from 1 ft,0,4
15,1,9:53.0,Defensive rebound by T. Chandler,,0,4
16,1,9:45.0,T. Warren misses 2-pt layup from 3 ft,,0,4
17,1,9:45.0,,Defensive rebound by P. Mills,0,4
18,1,9:32.0,,K. Anderson makes 2-pt jump shot from 1 ft (assist by P. Gasol),0,6
19,1,9:07.0,T. Warren makes 2-pt jump shot from 11 ft (assist by D. Booker),,2,6
20,1,8:47.0,,P. Mills misses 2-pt layup from 2 ft,2,6
21,1,8:47.0,Defensive rebound by T. Chandler,,2,6
22,1,8:36.0,M. Chriss misses 3-pt jump shot from 24 ft,,2,6
23,1,8:36.0,Offensive rebound by Team,,2,6
24,1,8:36.0,,Loose ball foul by K. Anderson (drawn by T. Chandler),2,6
25,1,8:25.0,T. Warren misses 2-pt jump shot from 18 ft,,2,6
26,1,8:25.0,T. Chandler makes 2-pt layup at rim,,4,6
27,1,8:17.0,Offensive rebound by T. Chandler,,4,6
28,1,8:09.0,,P. Gasol misses 2-pt hook shot from 23 ft,4,6
29,1,8:09.0,,Offensive rebound by L. Aldridge,4,6
30,1,8:02.0,,L. Aldridge makes 2-pt layup at rim,4,8
31,1,7:41.0,D. Booker misses 2-pt layup from 9 ft,,4,8
32,1,7:41.0,Offensive rebound by T. Chandler,,4,8
33,1,7:37.0,T. Chandler makes 2-pt layup at rim,,6,8
34,1,7:22.0,,L. Aldridge makes 2-pt hook shot from 6 ft,6,10
35,1,7:06.0,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Chandler),,9,10
