,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
0,1,11:45.0,,Turnover by E. Payton (bad pass; steal by R. Westbrook),0,0
1,1,11:27.0,S. Adams makes 2-pt jump shot from 12 ft (assist by P. George),,2,0
2,1,11:09.0,,E. Fournier misses 2-pt layup from 4 ft,2,0
3,1,11:06.0,Defensive rebound by C. Anthony,,2,0
4,1,10:58.0,S. Adams misses 2-pt jump shot from 11 ft,,2,0
5,1,10:56.0,,Defensive rebound by N. Vučević,2,0
6,1,10:50.0,,N. Vučević misses 3-pt jump shot from 26 ft,2,0
7,1,10:48.0,Defensive rebound by Team,,2,0
8,1,10:36.0,Turnover by R. Westbrook (bad pass),,2,0
9,1,10:13.0,,A. Gordon misses 3-pt jump shot from 25 ft,2,0
10,1,10:08.0,Defensive rebound by S. Adams,,2,0
11,1,10:05.0,Turnover by P. George (bad pass; steal by A. Gordon),,2,0
12,1,9:56.0,,A. Gordon misses 2-pt jump shot from 19 ft,2,0
13,1,9:53.0,Defensive rebound by R. Westbrook,,2,0
14,1,9:48.0,Turnover by C. Anthony (lost ball; steal by A. Gordon),,2,0
15,1,9:43.0,,A. Gordon misses 3-pt jump shot from 26 ft,2,0
16,1,9:37.0,Defensive rebound by R. Westbrook,,2,0
17,1,9:34.0,Shooting foul by J. Simmons (drawn by P. George),,2,0
18,1,9:34.0,P. George makes free throw 1 of 2,,3,0
19,1,9:34.0,P. George makes free throw 2 of 2,,4,0
20,1,9:21.0,,E. Payton makes 2-pt jump shot from 15 ft,4,2
21,1,9:12.0,Turnover by R. Westbrook (lost ball; steal by E. Payton),,4,2
22,1,9:05.0,,A. Gordon misses 2-pt layup from 2 ft,4,2
23,1,9:02.0,Defensive rebound by A. Roberson,,4,2
24,1,8:59.0,R. Westbrook misses 2-pt jump shot from 9 ft,,4,2
25,1,8:59.0,,Defensive rebound by A. Gordon,4,2
26,1,8:50.0,,N. Vučević makes 2-pt jump shot from 13 ft (assist by A. Gordon),4,4
27,1,8:31.0,C. Anthony misses 3-pt jump shot from 23 ft,,4,4
28,1,8:31.0,,Defensive rebound by E. Payton,4,4
29,1,8:23.0,,E. Payton makes 2-pt layup from 3 ft,4,6
30,1,8:23.0,Violation by A. Roberson (def goaltending),,4,6
31,1,8:09.0,Turnover by R. Westbrook (bad pass; steal by E. Payton),,4,6
32,1,8:00.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),4,8
33,1,7:39.0,R. Westbrook makes 2-pt layup from 2 ft,,6,8
34,1,7:31.0,,Shooting foul by S. Adams (drawn by A. Gordon),6,8
35,1,7:31.0,,A. Gordon misses free throw 1 of 2,6,8
36,1,7:31.0,,Offensive rebound by Team,6,8
37,1,7:31.0,,A. Gordon makes free throw 2 of 2,6,9
38,1,7:18.0,S. Adams makes 2-pt layup from 2 ft (assist by P. George),,8,9
39,1,7:08.0,,E. Payton makes 2-pt layup from 2 ft,8,11
40,1,6:46.0,A. Roberson makes 2-pt layup from 2 ft (assist by C. Anthony),,10,11
41,1,6:30.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Simmons),10,14
42,1,6:18.0,Personal foul by J. Simmons (drawn by P. George),,10,14
43,1,6:18.0,,Orlando full timeout,10,14
44,1,6:18.0,,T. Ross enters the game for J. Simmons,10,14
45,1,6:07.0,S. Adams misses 2-pt layup from 2 ft,,10,14
46,1,6:05.0,Offensive rebound by S. Adams,,10,14
47,1,6:05.0,S. Adams misses 2-pt layup at rim,,10,14
48,1,6:05.0,Offensive rebound by Team,,10,14
49,1,6:05.0,T. Ferguson enters the game for P. George,,10,14
50,1,6:01.0,R. Westbrook misses 2-pt layup from 4 ft (block by E. Fournier),,10,14
51,1,5:55.0,,Defensive rebound by T. Ross,10,14
52,1,5:52.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by T. Ross),10,16
53,1,5:38.0,T. Ferguson misses 3-pt jump shot from 26 ft,,10,16
54,1,5:35.0,,Defensive rebound by A. Gordon,10,16
55,1,5:17.0,,A. Gordon makes 2-pt jump shot from 7 ft (assist by E. Fournier),10,18
56,1,4:55.0,C. Anthony misses 2-pt jump shot from 15 ft (block by E. Payton),,10,18
57,1,4:55.0,Offensive rebound by Team,,10,18
58,1,4:52.0,C. Anthony misses 2-pt jump shot from 10 ft,,10,18
59,1,4:50.0,,Defensive rebound by A. Gordon,10,18
60,1,4:45.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),10,20
61,1,4:45.0,Oklahoma City full timeout,,10,20
62,1,4:33.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by A. Roberson),,13,20
63,1,4:19.0,,Turnover by A. Gordon (lost ball; steal by R. Westbrook),13,20
64,1,4:14.0,T. Ferguson misses 2-pt layup from 4 ft,,13,20
65,1,4:09.0,Offensive rebound by R. Westbrook,,13,20
66,1,4:09.0,R. Westbrook misses 2-pt layup at rim,,13,20
67,1,4:07.0,Offensive rebound by A. Roberson,,13,20
68,1,4:07.0,A. Roberson makes 2-pt layup at rim,,15,20
69,1,4:07.0,,E. Payton makes 2-pt jump shot from 4 ft,15,22
70,1,4:07.0,,Shooting foul by S. Adams (drawn by E. Payton),15,22
71,1,4:07.0,,E. Payton makes free throw 1 of 1,15,23
72,1,3:56.0,Turnover by A. Roberson (out of bounds lost ball),,15,23
73,1,3:39.0,,T. Ross makes 3-pt jump shot from 22 ft (assist by A. Gordon),15,26
74,1,3:17.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,18,26
75,1,3:07.0,,N. Vučević misses 3-pt jump shot from 26 ft,18,26
76,1,3:04.0,Defensive rebound by C. Anthony,,18,26
77,1,2:56.0,C. Anthony misses 2-pt jump shot from 20 ft,,18,26
78,1,2:56.0,Offensive rebound by S. Adams,,18,26
79,1,2:46.0,Turnover by R. Westbrook (bad pass; steal by A. Gordon),,18,26
80,1,2:45.0,,Shooting foul by R. Westbrook (drawn by A. Gordon),18,26
81,1,2:45.0,,A. Gordon misses free throw 1 of 2,18,26
82,1,2:45.0,,Offensive rebound by Team,18,26
83,1,2:45.0,,B. Biyombo enters the game for N. Vučević,18,26
84,1,2:45.0,R. Felton enters the game for R. Westbrook,,18,26
85,1,2:45.0,J. Grant enters the game for C. Anthony,,18,26
86,1,2:45.0,P. George enters the game for S. Adams,,18,26
87,1,2:45.0,D. Johnson enters the game for A. Roberson,,18,26
88,1,2:45.0,,A. Gordon misses free throw 2 of 2,18,26
89,1,2:29.0,Defensive rebound by P. George,,18,26
90,1,2:22.0,R. Felton misses 2-pt jump shot from 16 ft (block by T. Ross),,18,26
91,1,2:17.0,,Defensive rebound by A. Gordon,18,26
92,1,2:15.0,,E. Fournier misses 2-pt layup from 1 ft (block by J. Grant),18,26
93,1,2:15.0,Defensive rebound by R. Felton,,18,26
94,1,2:07.0,P. George makes 3-pt jump shot from 23 ft (assist by J. Grant),,21,26
95,1,1:51.0,,E. Payton misses 2-pt jump shot from 19 ft,21,26
96,1,1:47.0,Defensive rebound by J. Grant,,21,26
97,1,1:40.0,P. George makes 2-pt jump shot from 6 ft,,23,26
98,1,1:30.0,,E. Fournier misses 3-pt jump shot from 26 ft,23,26
99,1,1:30.0,,Offensive rebound by Team,23,26
100,1,1:30.0,,Personal foul by D. Johnson (drawn by B. Biyombo),23,26
101,1,1:30.0,,D. Augustin enters the game for E. Payton,23,26
102,1,1:30.0,,A. Afflalo enters the game for E. Fournier,23,26
103,1,1:17.0,,A. Gordon makes 2-pt layup from 3 ft,23,28
104,1,1:17.0,,Shooting foul by D. Johnson (drawn by A. Gordon),23,28
105,1,1:17.0,,A. Gordon makes free throw 1 of 1,23,29
106,1,1:09.0,D. Johnson misses 2-pt layup from 4 ft (block by B. Biyombo),,23,29
107,1,1:04.0,,Defensive rebound by A. Afflalo,23,29
108,1,0:45.0,,D. Augustin makes 2-pt jump shot from 20 ft,23,31
109,1,0:40.0,R. Felton misses 2-pt layup from 2 ft,,23,31
110,1,0:39.0,Offensive rebound by D. Johnson,,23,31
111,1,0:39.0,D. Johnson makes 2-pt dunk at rim,,25,31
112,1,0:25.0,,A. Afflalo misses 2-pt jump shot from 16 ft,25,31
113,1,0:21.0,Defensive rebound by T. Ferguson,,25,31
114,1,0:07.0,Personal foul by T. Ross (drawn by P. George),,25,31
115,1,0:00.0,P. George misses 3-pt jump shot from 29 ft,,25,31
116,1,0:00.0,Offensive rebound by Team,,25,31
117,2,11:49.0,P. George misses 2-pt jump shot from 19 ft,,25,31
118,2,11:46.0,,Defensive rebound by M. Hezonja,25,31
119,2,11:23.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by M. Hezonja),25,33
120,2,11:04.0,Shooting foul by B. Biyombo (drawn by J. Grant),,25,33
121,2,11:04.0,J. Grant makes free throw 1 of 2,,26,33
122,2,11:04.0,P. Patterson enters the game for D. Johnson,,26,33
123,2,11:04.0,J. Grant misses free throw 2 of 2,,26,33
124,2,11:01.0,Offensive rebound by P. George,,26,33
125,2,10:49.0,J. Grant misses 3-pt jump shot from 25 ft,,26,33
126,2,10:47.0,Offensive rebound by Team,,26,33
127,2,10:47.0,Personal foul by A. Afflalo (drawn by T. Ferguson),,26,33
128,2,10:41.0,P. George misses 3-pt jump shot from 27 ft,,26,33
129,2,10:38.0,,Defensive rebound by B. Biyombo,26,33
130,2,10:33.0,,Shooting foul by P. Patterson (drawn by D. Augustin),26,33
131,2,10:33.0,,D. Augustin makes free throw 1 of 2,26,34
132,2,10:33.0,,D. Augustin misses free throw 2 of 2,26,34
133,2,10:29.0,Defensive rebound by R. Felton,,26,34
134,2,10:12.0,P. George makes 2-pt layup at rim,,28,34
135,2,9:57.0,,Turnover by B. Biyombo (lost ball; steal by P. George),28,34
136,2,9:49.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Felton),,31,34
137,2,9:47.0,,Orlando full timeout,31,34
138,2,9:30.0,,Turnover by T. Ross (traveling),31,34
139,2,9:16.0,P. George misses 2-pt layup from 5 ft (block by T. Ross),,31,34
140,2,9:15.0,,Defensive rebound by M. Hezonja,31,34
141,2,9:00.0,,D. Augustin makes 2-pt layup from 1 ft,31,36
142,2,8:49.0,Shooting foul by D. Augustin (drawn by P. George),,31,36
143,2,8:49.0,P. George misses free throw 1 of 2,,31,36
144,2,8:49.0,Offensive rebound by Team,,31,36
145,2,8:49.0,,J. Simmons enters the game for A. Afflalo,31,36
146,2,8:49.0,R. Westbrook enters the game for T. Ferguson,,31,36
147,2,8:49.0,P. George makes free throw 2 of 2,,32,36
148,2,8:29.0,,Turnover by J. Simmons (lost ball; steal by J. Grant),32,36
149,2,8:17.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Felton),,34,36
150,2,7:57.0,,Turnover by B. Biyombo (bad pass),34,36
151,2,7:57.0,,E. Payton enters the game for M. Hezonja,34,36
152,2,7:57.0,,A. Gordon enters the game for D. Augustin,34,36
153,2,7:48.0,R. Felton makes 2-pt layup from 3 ft,,36,36
154,2,7:25.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),36,39
155,2,7:09.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,38,39
156,2,7:09.0,,Orlando full timeout,38,39
157,2,7:09.0,,N. Vučević enters the game for B. Biyombo,38,39
158,2,7:09.0,S. Adams enters the game for J. Grant,,38,39
159,2,7:09.0,C. Anthony enters the game for P. Patterson,,38,39
160,2,6:47.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),38,42
161,2,6:32.0,Shooting foul by N. Vučević (drawn by R. Westbrook),,38,42
162,2,6:32.0,R. Westbrook makes free throw 1 of 2,,39,42
163,2,6:32.0,R. Westbrook makes free throw 2 of 2,,40,42
164,2,6:14.0,,Shooting foul by S. Adams (drawn by A. Gordon),40,42
165,2,6:14.0,,A. Gordon makes free throw 1 of 2,40,43
166,2,6:14.0,J. Grant enters the game for S. Adams,,40,43
167,2,6:14.0,,A. Gordon makes free throw 2 of 2,40,44
168,2,6:01.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,42,44
169,2,5:48.0,,Shooting foul by C. Anthony (drawn by A. Gordon),42,44
170,2,5:48.0,,A. Gordon makes free throw 1 of 2,42,45
171,2,5:48.0,,A. Gordon makes free throw 2 of 2,42,46
172,2,5:30.0,P. George misses 2-pt layup from 5 ft,,42,46
173,2,5:30.0,,Defensive rebound by N. Vučević,42,46
174,2,5:28.0,,Personal foul by R. Westbrook (drawn by E. Payton),42,46
175,2,5:18.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Payton),42,48
176,2,5:18.0,Oklahoma City full timeout,,42,48
177,2,5:18.0,A. Roberson enters the game for R. Felton,,42,48
178,2,4:57.0,R. Westbrook misses 2-pt jump shot from 14 ft,,42,48
179,2,4:55.0,,Defensive rebound by A. Gordon,42,48
180,2,4:44.0,,T. Ross misses 3-pt jump shot from 22 ft,42,48
181,2,4:39.0,Defensive rebound by R. Westbrook,,42,48
182,2,4:38.0,Shooting foul by E. Payton (drawn by R. Westbrook),,42,48
183,2,4:38.0,,Orlando full timeout,42,48
184,2,4:38.0,,E. Fournier enters the game for T. Ross,42,48
185,2,4:38.0,R. Westbrook makes free throw 1 of 2,,43,48
186,2,4:38.0,R. Westbrook makes free throw 2 of 2,,44,48
187,2,4:23.0,,J. Simmons misses 2-pt jump shot from 16 ft,44,48
188,2,4:19.0,Defensive rebound by C. Anthony,,44,48
189,2,4:03.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by P. George),,47,48
190,2,3:50.0,,E. Payton makes 2-pt layup from 1 ft,47,50
191,2,3:32.0,J. Grant misses 3-pt jump shot from 23 ft,,47,50
192,2,3:28.0,,Defensive rebound by N. Vučević,47,50
193,2,3:22.0,,E. Fournier misses 3-pt jump shot from 26 ft,47,50
194,2,3:21.0,Defensive rebound by Team,,47,50
195,2,3:02.0,A. Roberson makes 2-pt dunk from 2 ft (assist by J. Grant),,49,50
196,2,2:48.0,,E. Payton makes 2-pt jump shot from 14 ft,49,52
197,2,2:28.0,Turnover by P. George (bad pass),,49,52
198,2,2:18.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by E. Payton),49,54
199,2,2:01.0,A. Roberson makes 2-pt layup from 1 ft (assist by P. George),,51,54
200,2,1:42.0,,J. Simmons makes 2-pt layup from 2 ft,51,56
201,2,1:29.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,53,56
202,2,1:12.0,,N. Vučević misses 2-pt dunk from 2 ft (block by J. Grant),53,56
203,2,1:06.0,Defensive rebound by P. George,,53,56
