,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:44.0,L. Markkanen misses 2-pt jump shot from 17 ft,,0,0
1,1,11:41.0,,Defensive rebound by V. Oladipo,0,0
2,1,11:28.0,,Turnover by M. Turner (traveling),0,0
3,1,11:15.0,K. Dunn makes 2-pt jump shot from 12 ft,,2,0
4,1,10:54.0,,Turnover by V. Oladipo (bad pass; steal by J. Holiday),2,0
5,1,10:48.0,R. Lopez makes 2-pt hook shot from 1 ft (assist by K. Dunn),,4,0
6,1,10:31.0,,M. Turner misses 2-pt jump shot from 17 ft,4,0
7,1,10:29.0,Defensive rebound by J. Holiday,,4,0
8,1,10:21.0,K. Dunn misses 2-pt layup from 1 ft (block by M. Turner),,4,0
9,1,10:21.0,,Defensive rebound by D. Collison,4,0
10,1,10:13.0,,V. Oladipo misses 3-pt jump shot from 24 ft,4,0
11,1,10:09.0,Defensive rebound by D. Valentine,,4,0
12,1,9:59.0,J. Holiday misses 2-pt jump shot from 17 ft,,4,0
13,1,9:56.0,,Defensive rebound by V. Oladipo,4,0
14,1,9:50.0,,D. Collison misses 2-pt jump shot from 17 ft,4,0
15,1,9:47.0,,Offensive rebound by T. Young,4,0
16,1,9:47.0,,T. Young makes 2-pt layup from 6 ft,4,2
17,1,9:35.0,J. Holiday misses 3-pt jump shot from 27 ft,,4,2
18,1,9:32.0,,Defensive rebound by M. Turner,4,2
19,1,9:25.0,,Turnover by V. Oladipo (bad pass; steal by K. Dunn),4,2
20,1,9:18.0,Personal foul by T. Young (drawn by L. Markkanen),,4,2
21,1,9:03.0,L. Markkanen misses 3-pt jump shot from 25 ft,,4,2
22,1,8:59.0,Offensive rebound by R. Lopez,,4,2
23,1,8:59.0,R. Lopez misses 2-pt layup at rim,,4,2
24,1,8:59.0,Offensive rebound by R. Lopez,,4,2
25,1,8:56.0,R. Lopez makes 2-pt layup at rim,,6,2
26,1,8:37.0,,T. Young misses 2-pt jump shot from 6 ft,6,2
27,1,8:34.0,Defensive rebound by R. Lopez,,6,2
28,1,8:25.0,R. Lopez makes 2-pt layup from 1 ft (assist by K. Dunn),,8,2
29,1,8:10.0,,M. Turner misses 2-pt jump shot from 20 ft,8,2
30,1,8:06.0,,Offensive rebound by T. Young,8,2
31,1,8:05.0,,Personal foul by K. Dunn (drawn by D. Collison),8,2
32,1,7:55.0,,M. Turner makes 2-pt layup at rim (assist by D. Collison),8,4
33,1,7:45.0,D. Valentine makes 3-pt jump shot from 23 ft (assist by K. Dunn),,11,4
34,1,7:38.0,,Indiana full timeout,11,4
35,1,7:29.0,,M. Turner misses 3-pt jump shot from 27 ft,11,4
36,1,7:27.0,Defensive rebound by J. Holiday,,11,4
37,1,7:15.0,Turnover by L. Markkanen (traveling),,11,4
38,1,7:03.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by D. Valentine),11,4
39,1,7:02.0,Defensive rebound by Team,,11,4
40,1,6:46.0,D. Valentine makes 2-pt jump shot from 8 ft,,13,4
41,1,6:32.0,,T. Young makes 3-pt jump shot from 23 ft (assist by M. Turner),13,7
42,1,6:17.0,L. Markkanen misses 2-pt layup at rim,,13,7
43,1,6:15.0,,Defensive rebound by T. Young,13,7
44,1,6:09.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by M. Turner),13,10
45,1,6:08.0,Chicago full timeout,,13,10
46,1,5:50.0,Turnover by R. Lopez (turnover),,13,10
47,1,5:40.0,,V. Oladipo makes 2-pt jump shot from 19 ft,13,12
48,1,5:29.0,R. Lopez makes 2-pt jump shot from 16 ft (assist by K. Dunn),,15,12
49,1,5:15.0,,M. Turner misses 2-pt jump shot from 4 ft,15,12
50,1,5:13.0,Defensive rebound by L. Markkanen,,15,12
51,1,5:05.0,K. Dunn makes 3-pt jump shot from 27 ft (assist by L. Markkanen),,18,12
52,1,4:45.0,,D. Collison misses 3-pt jump shot from 26 ft,18,12
53,1,4:42.0,Defensive rebound by J. Holiday,,18,12
