,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:43.0,L. Aldridge makes 2-pt hook shot from 2 ft (assist by P. Gasol),,2,0
1,1,11:26.0,,W. Matthews misses 2-pt jump shot from 8 ft,2,0
2,1,11:24.0,Defensive rebound by K. Leonard,,2,0
3,1,11:05.0,Turnover by T. Parker (lost ball; steal by Y. Ferrell),,2,0
4,1,10:55.0,,Y. Ferrell makes 2-pt jump shot from 12 ft (assist by D. Nowitzki),2,2
5,1,10:37.0,L. Aldridge misses 2-pt hook shot from 6 ft,,2,2
6,1,10:35.0,,Defensive rebound by D. Nowitzki,2,2
7,1,10:24.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by W. Matthews),2,5
8,1,10:05.0,D. Green misses 2-pt layup from 1 ft,,2,5
9,1,10:05.0,,Defensive rebound by W. Matthews,2,5
10,1,9:57.0,,M. Kleber misses 3-pt jump shot from 22 ft,2,5
11,1,9:54.0,Defensive rebound by P. Gasol,,2,5
12,1,9:46.0,T. Parker misses 2-pt jump shot from 18 ft,,2,5
13,1,9:44.0,,Defensive rebound by H. Barnes,2,5
14,1,9:36.0,,H. Barnes makes 3-pt jump shot from 25 ft,2,8
15,1,9:17.0,K. Leonard makes 2-pt jump shot from 13 ft,,4,8
16,1,8:56.0,,Shooting foul by D. Green (drawn by D. Nowitzki),4,8
17,1,8:56.0,,D. Nowitzki makes free throw 1 of 2,4,9
18,1,8:56.0,,D. Nowitzki makes free throw 2 of 2,4,10
19,1,8:35.0,K. Leonard makes 2-pt hook shot from 7 ft,,6,10
20,1,8:17.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,10
21,1,8:15.0,Defensive rebound by D. Green,,6,10
22,1,8:02.0,L. Aldridge misses 2-pt hook shot from 7 ft,,6,10
23,1,7:58.0,,Defensive rebound by Y. Ferrell,6,10
24,1,7:54.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,6,10
25,1,7:54.0,Defensive rebound by T. Parker,,6,10
26,1,7:40.0,T. Parker misses 3-pt jump shot from 23 ft,,6,10
27,1,7:36.0,,Defensive rebound by Team,6,10
28,1,7:36.0,,S. Mejri enters the game for D. Nowitzki,6,10
29,1,7:23.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,6,10
30,1,7:20.0,Defensive rebound by K. Leonard,,6,10
31,1,7:14.0,K. Leonard makes 2-pt jump shot from 20 ft,,8,10
32,1,7:13.0,,Dallas full timeout,8,10
33,1,7:13.0,M. Ginóbili enters the game for K. Leonard,,8,10
34,1,6:58.0,,W. Matthews makes 2-pt jump shot from 11 ft,8,12
35,1,6:40.0,L. Aldridge misses 2-pt jump shot from 17 ft,,8,12
36,1,6:36.0,,Defensive rebound by W. Matthews,8,12
37,1,6:30.0,,H. Barnes misses 2-pt layup at rim,8,12
38,1,6:28.0,Defensive rebound by D. Green,,8,12
39,1,6:15.0,D. Green misses 3-pt jump shot from 26 ft,,8,12
40,1,6:12.0,,Defensive rebound by Y. Ferrell,8,12
41,1,6:11.0,,Personal take foul by M. Ginóbili (drawn by Y. Ferrell),8,12
42,1,5:58.0,,H. Barnes misses 2-pt jump shot from 13 ft,8,12
43,1,5:55.0,Defensive rebound by P. Gasol,,8,12
44,1,5:45.0,Shooting foul by S. Mejri (drawn by M. Ginóbili),,8,12
45,1,5:45.0,M. Ginóbili misses free throw 1 of 2,,8,12
46,1,5:45.0,Offensive rebound by Team,,8,12
47,1,5:45.0,P. Mills enters the game for T. Parker,,8,12
48,1,5:45.0,B. Forbes enters the game for D. Green,,8,12
49,1,5:45.0,R. Gay enters the game for P. Gasol,,8,12
50,1,5:45.0,M. Ginóbili makes free throw 2 of 2,,9,12
51,1,5:21.0,,Y. Ferrell makes 2-pt jump shot from 16 ft,9,14
52,1,5:03.0,B. Forbes misses 2-pt jump shot from 10 ft,,9,14
53,1,5:03.0,,Defensive rebound by Y. Ferrell,9,14
54,1,4:55.0,,H. Barnes makes 2-pt hook shot from 1 ft (assist by Y. Ferrell),9,16
55,1,4:33.0,R. Gay makes 2-pt jump shot from 9 ft,,11,16
56,1,4:13.0,,Y. Ferrell makes 2-pt jump shot from 18 ft (assist by W. Matthews),11,18
57,1,3:59.0,R. Gay makes 2-pt jump shot from 19 ft (assist by B. Forbes),,13,18
58,1,3:38.0,,Y. Ferrell misses 2-pt layup from 1 ft,13,18
