,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:32.0,,J. Brown misses 3-pt jump shot from 25 ft,0,0
1,1,11:28.0,Defensive rebound by B. Bogdanović,,0,0
2,1,11:16.0,M. Turner misses 2-pt jump shot from 17 ft,,0,0
3,1,11:12.0,,Defensive rebound by J. Tatum,0,0
4,1,11:03.0,,A. Baynes misses 2-pt hook shot from 1 ft,0,0
5,1,11:02.0,,Offensive rebound by A. Baynes,0,0
6,1,11:02.0,,A. Baynes misses 2-pt layup from 1 ft,0,0
7,1,11:01.0,,Offensive rebound by A. Baynes,0,0
8,1,10:49.0,,K. Irving misses 2-pt layup from 3 ft,0,0
9,1,10:49.0,Defensive rebound by Team,,0,0
10,1,10:49.0,,Loose ball foul by A. Baynes (drawn by M. Turner),0,0
11,1,10:36.0,Shooting foul by J. Brown (drawn by V. Oladipo),,0,0
12,1,10:36.0,V. Oladipo makes free throw 1 of 2,,1,0
13,1,10:36.0,V. Oladipo makes free throw 2 of 2,,2,0
14,1,10:12.0,,J. Tatum misses 2-pt layup from 1 ft,2,0
15,1,10:12.0,Defensive rebound by V. Oladipo,,2,0
16,1,10:08.0,Turnover by V. Oladipo (traveling),,2,0
17,1,9:53.0,,J. Brown makes 2-pt layup at rim,2,2
18,1,9:41.0,M. Turner makes 3-pt jump shot from 25 ft (assist by C. Joseph),,5,2
19,1,9:24.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),5,4
20,1,9:06.0,V. Oladipo makes 3-pt jump shot from 26 ft,,8,4
21,1,8:48.0,,J. Tatum misses 2-pt layup from 2 ft (block by M. Turner),8,4
22,1,8:48.0,,Offensive rebound by Team,8,4
23,1,8:40.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),8,6
24,1,8:22.0,C. Joseph misses 2-pt jump shot from 11 ft,,8,6
25,1,8:18.0,Offensive rebound by C. Joseph,,8,6
26,1,8:12.0,M. Turner misses 3-pt jump shot from 23 ft,,8,6
27,1,8:08.0,,Defensive rebound by A. Horford,8,6
28,1,8:01.0,,A. Horford misses 2-pt jump shot from 21 ft,8,6
29,1,7:56.0,,Offensive rebound by A. Horford,8,6
30,1,7:50.0,,K. Irving misses 3-pt jump shot from 24 ft,8,6
31,1,7:48.0,Defensive rebound by B. Bogdanović,,8,6
32,1,7:36.0,Personal foul by J. Brown (drawn by M. Turner),,8,6
33,1,7:36.0,,S. Ojeleye enters the game for J. Brown,8,6
34,1,7:28.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by C. Joseph),,10,6
35,1,7:11.0,,A. Horford misses 2-pt layup from 1 ft,10,6
36,1,7:10.0,Defensive rebound by M. Turner,,10,6
37,1,6:58.0,C. Joseph misses 3-pt jump shot from 27 ft,,10,6
38,1,6:58.0,,Defensive rebound by A. Horford,10,6
39,1,6:58.0,,Personal foul by T. Young (drawn by A. Horford),10,6
40,1,6:58.0,,Boston full timeout,10,6
41,1,6:34.0,,S. Ojeleye misses 2-pt jump shot from 19 ft,10,6
42,1,6:31.0,Defensive rebound by M. Turner,,10,6
43,1,6:27.0,V. Oladipo misses 2-pt layup from 2 ft (block by A. Baynes),,10,6
44,1,6:26.0,Offensive rebound by T. Young,,10,6
45,1,6:26.0,T. Young makes 2-pt layup at rim,,12,6
46,1,6:05.0,,J. Tatum makes 2-pt jump shot from 21 ft,12,8
47,1,5:47.0,M. Turner makes 2-pt jump shot from 22 ft (assist by C. Joseph),,14,8
48,1,5:27.0,,A. Baynes misses 3-pt jump shot from 23 ft,14,8
49,1,5:25.0,Defensive rebound by V. Oladipo,,14,8
50,1,5:11.0,V. Oladipo makes 2-pt jump shot from 18 ft,,16,8
51,1,4:50.0,,J. Tatum makes 2-pt jump shot from 12 ft,16,10
52,1,4:37.0,M. Turner makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,19,10
53,1,4:21.0,,A. Baynes makes 2-pt dunk at rim (assist by K. Irving),19,12
54,1,4:10.0,T. Young makes 3-pt jump shot from 25 ft (assist by C. Joseph),,22,12
55,1,3:59.0,,K. Irving misses 2-pt layup from 2 ft,22,12
56,1,3:57.0,Defensive rebound by M. Turner,,22,12
57,1,3:56.0,Turnover by V. Oladipo (traveling),,22,12
58,1,3:56.0,,T. Rozier enters the game for K. Irving,22,12
59,1,3:56.0,,M. Morris enters the game for A. Baynes,22,12
60,1,3:56.0,,D. Theis enters the game for S. Ojeleye,22,12
61,1,3:56.0,D. Sabonis enters the game for T. Young,,22,12
62,1,3:40.0,,Turnover by D. Theis (bad pass; steal by V. Oladipo),22,12
63,1,3:34.0,V. Oladipo makes 2-pt dunk from 2 ft,,24,12
64,1,3:28.0,,Personal foul by C. Joseph (drawn by D. Theis),24,12
65,1,3:28.0,,G. Monroe enters the game for A. Horford,24,12
66,1,3:28.0,L. Stephenson enters the game for B. Bogdanović,,24,12
67,1,3:15.0,,M. Morris misses 3-pt jump shot from 24 ft,24,12
68,1,3:14.0,Defensive rebound by D. Sabonis,,24,12
69,1,3:09.0,V. Oladipo makes 2-pt layup at rim (assist by C. Joseph),,26,12
70,1,2:47.0,,M. Morris misses 2-pt jump shot from 13 ft (block by M. Turner),26,12
71,1,2:44.0,Defensive rebound by V. Oladipo,,26,12
72,1,2:33.0,V. Oladipo misses 2-pt layup from 4 ft (block by J. Tatum),,26,12
73,1,2:30.0,,Defensive rebound by M. Morris,26,12
74,1,2:19.0,,G. Monroe misses 2-pt layup from 4 ft,26,12
75,1,2:15.0,,Offensive rebound by G. Monroe,26,12
76,1,2:10.0,,M. Morris misses 3-pt jump shot from 26 ft,26,12
77,1,2:08.0,Defensive rebound by M. Turner,,26,12
78,1,2:05.0,Personal foul by T. Rozier (drawn by C. Joseph),,26,12
79,1,2:05.0,Indiana full timeout,,26,12
80,1,2:05.0,J. Young enters the game for C. Joseph,,26,12
81,1,2:05.0,A. Jefferson enters the game for M. Turner,,26,12
82,1,1:58.0,,Violation by D. Theis (kicked ball),26,12
83,1,1:46.0,Shooting foul by M. Morris (drawn by L. Stephenson),,26,12
84,1,1:46.0,L. Stephenson makes free throw 1 of 2,,27,12
85,1,1:46.0,B. Bogdanović enters the game for V. Oladipo,,27,12
86,1,1:46.0,L. Stephenson makes free throw 2 of 2,,28,12
87,1,1:33.0,,J. Tatum misses 2-pt jump shot from 22 ft,28,12
88,1,1:32.0,Defensive rebound by D. Sabonis,,28,12
89,1,1:25.0,,Violation by T. Rozier (kicked ball),28,12
90,1,1:25.0,,J. Brown enters the game for J. Tatum,28,12
91,1,1:16.0,Turnover by L. Stephenson (bad pass; steal by T. Rozier),,28,12
92,1,1:13.0,,Shooting foul by J. Young (drawn by T. Rozier),28,12
93,1,1:13.0,,T. Rozier makes free throw 1 of 2,28,13
94,1,1:13.0,,T. Rozier makes free throw 2 of 2,28,14
95,1,0:55.0,J. Young makes 2-pt jump shot from 12 ft (assist by A. Jefferson),,30,14
96,1,0:39.0,,T. Rozier misses 2-pt layup from 3 ft,30,14
97,1,0:39.0,,Offensive rebound by Team,30,14
98,1,0:39.0,Loose ball foul by A. Jefferson (drawn by G. Monroe),,30,14
99,1,0:39.0,,G. Monroe makes free throw 1 of 2,30,15
100,1,0:39.0,,G. Monroe makes free throw 2 of 2,30,16
101,1,0:28.0,D. Sabonis misses 2-pt jump shot from 4 ft,,30,16
102,1,0:24.0,,Defensive rebound by G. Monroe,30,16
103,1,0:19.0,,M. Morris misses 2-pt layup from 3 ft (block by B. Bogdanović),30,16
