,QUARTER,TIME_REMAINING,MIAMI_ACTION,WASHINGTON_ACTION,MIAMI_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,M. Morris makes 2-pt jump shot from 13 ft,0,2
1,1,11:22.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,2,2
2,1,11:01.0,,M. Morris makes 2-pt jump shot from 11 ft,2,4
3,1,10:45.0,G. Dragić misses 3-pt jump shot from 27 ft,,2,4
4,1,10:45.0,,Defensive rebound by Team,2,4
5,1,10:44.0,J. Johnson enters the game for J. Winslow,,2,4
6,1,10:26.0,,O. Porter misses 3-pt jump shot from 23 ft,2,4
7,1,10:23.0,,Offensive rebound by O. Porter,2,4
8,1,10:22.0,,Shooting foul by G. Dragić (drawn by O. Porter),2,4
9,1,10:22.0,,O. Porter makes free throw 1 of 2,2,5
10,1,10:22.0,,O. Porter makes free throw 2 of 2,2,6
11,1,10:04.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Waiters),,4,6
12,1,10:04.0,Shooting foul by M. Morris (drawn by H. Whiteside),,4,6
13,1,10:04.0,H. Whiteside makes free throw 1 of 1,,5,6
14,1,9:47.0,,O. Porter misses 2-pt jump shot from 13 ft (block by J. Richardson),5,6
15,1,9:44.0,Defensive rebound by H. Whiteside,,5,6
16,1,9:33.0,J. Richardson misses 3-pt jump shot from 25 ft,,5,6
17,1,9:30.0,Offensive rebound by J. Johnson,,5,6
18,1,9:28.0,D. Waiters misses 3-pt jump shot from 26 ft,,5,6
19,1,9:24.0,Offensive rebound by J. Richardson,,5,6
20,1,9:03.0,G. Dragić misses 2-pt jump shot from 6 ft,,5,6
21,1,9:00.0,,Defensive rebound by M. Morris,5,6
22,1,8:56.0,,J. Wall misses 3-pt jump shot from 25 ft,5,6
23,1,8:55.0,,Offensive rebound by Team,5,6
24,1,8:55.0,Loose ball foul by H. Whiteside (drawn by M. Gortat),,5,6
25,1,8:49.0,,M. Gortat misses 2-pt jump shot from 10 ft,5,6
26,1,8:46.0,Defensive rebound by H. Whiteside,,5,6
27,1,8:36.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,8,6
28,1,8:22.0,,B. Beal misses 3-pt jump shot from 25 ft,8,6
29,1,8:19.0,Defensive rebound by H. Whiteside,,8,6
30,1,8:05.0,D. Waiters misses 2-pt jump shot from 18 ft,,8,6
31,1,8:01.0,,Defensive rebound by O. Porter,8,6
32,1,7:55.0,,Shooting foul by J. Richardson (drawn by M. Gortat),8,6
33,1,7:55.0,,M. Gortat makes free throw 1 of 2,8,7
34,1,7:55.0,,M. Gortat misses free throw 2 of 2,8,7
35,1,7:53.0,Defensive rebound by J. Richardson,,8,7
36,1,7:29.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,11,7
37,1,7:09.0,,M. Morris misses 3-pt jump shot from 25 ft,11,7
38,1,7:06.0,Defensive rebound by H. Whiteside,,11,7
39,1,7:02.0,Shooting foul by B. Beal (drawn by D. Waiters),,11,7
40,1,7:02.0,D. Waiters makes free throw 1 of 2,,12,7
41,1,7:02.0,D. Waiters makes free throw 2 of 2,,13,7
42,1,6:50.0,,B. Beal misses 2-pt layup from 1 ft,13,7
43,1,6:48.0,Defensive rebound by H. Whiteside,,13,7
44,1,6:44.0,J. Richardson misses 2-pt layup at rim (block by M. Morris),,13,7
45,1,6:44.0,,Defensive rebound by J. Wall,13,7
46,1,6:29.0,,M. Gortat makes 2-pt hook shot from 10 ft,13,9
47,1,6:11.0,J. Johnson misses 3-pt jump shot from 26 ft,,13,9
48,1,6:08.0,,Defensive rebound by M. Gortat,13,9
49,1,5:59.0,,B. Beal misses 2-pt jump shot from 18 ft,13,9
50,1,5:55.0,Defensive rebound by J. Johnson,,13,9
51,1,5:47.0,J. Johnson makes 2-pt layup at rim (assist by D. Waiters),,15,9
52,1,5:47.0,,Washington full timeout,15,9
53,1,5:47.0,T. Johnson enters the game for J. Richardson,,15,9
54,1,5:31.0,,O. Porter misses 2-pt jump shot from 12 ft,15,9
55,1,5:28.0,Defensive rebound by J. Johnson,,15,9
56,1,5:18.0,G. Dragić makes 2-pt layup from 1 ft,,17,9
57,1,5:03.0,,Turnover by M. Gortat (out of bounds lost ball),17,9
58,1,4:51.0,Personal foul by M. Gortat (drawn by G. Dragić),,17,9
59,1,4:51.0,,K. Oubre enters the game for M. Morris,17,9
60,1,4:43.0,J. Johnson misses 3-pt jump shot from 24 ft,,17,9
61,1,4:39.0,,Defensive rebound by B. Beal,17,9
62,1,4:29.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),17,11
63,1,4:22.0,Offensive foul by H. Whiteside (drawn by K. Oubre),,17,11
64,1,4:22.0,Turnover by H. Whiteside (offensive foul),,17,11
65,1,4:22.0,K. Olynyk enters the game for H. Whiteside,,17,11
66,1,4:07.0,,J. Wall misses 2-pt jump shot from 5 ft,17,11
67,1,4:05.0,Defensive rebound by G. Dragić,,17,11
68,1,4:02.0,G. Dragić makes 2-pt layup from 1 ft,,19,11
69,1,3:38.0,,K. Oubre misses 2-pt jump shot from 8 ft,19,11
70,1,3:38.0,,M. Gortat misses 2-pt layup from 2 ft,19,11
71,1,3:38.0,Defensive rebound by T. Johnson,,19,11
72,1,3:37.0,,Defensive rebound by M. Gortat,19,11
73,1,3:30.0,J. Johnson makes 2-pt layup from 1 ft (assist by T. Johnson),,21,11
74,1,3:10.0,,Turnover by M. Gortat (bad pass; steal by G. Dragić),21,11
75,1,3:06.0,T. Johnson makes 2-pt layup from 2 ft (assist by G. Dragić),,23,11
76,1,3:06.0,,Washington full timeout,23,11
77,1,3:06.0,,I. Mahinmi enters the game for M. Gortat,23,11
78,1,3:06.0,W. Ellington enters the game for G. Dragić,,23,11
79,1,2:54.0,,Personal foul by K. Olynyk (drawn by B. Beal),23,11
80,1,2:41.0,,K. Oubre makes 2-pt jump shot from 16 ft,23,13
81,1,2:16.0,D. Waiters misses 2-pt layup from 1 ft,,23,13
82,1,2:16.0,,Defensive rebound by B. Beal,23,13
83,1,2:06.0,,K. Oubre misses 3-pt jump shot from 22 ft,23,13
84,1,2:03.0,Defensive rebound by K. Olynyk,,23,13
85,1,1:58.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,26,13
86,1,1:44.0,,Offensive foul by K. Oubre (drawn by D. Waiters),26,13
87,1,1:44.0,,Turnover by K. Oubre (offensive foul),26,13
88,1,1:44.0,,T. Frazier enters the game for J. Wall,26,13
89,1,1:44.0,,M. Scott enters the game for O. Porter,26,13
90,1,1:27.0,D. Waiters misses 2-pt jump shot from 18 ft,,26,13
91,1,1:24.0,,Defensive rebound by I. Mahinmi,26,13
92,1,1:16.0,,M. Scott misses 3-pt jump shot from 25 ft,26,13
93,1,1:12.0,Defensive rebound by D. Waiters,,26,13
94,1,1:04.0,W. Ellington misses 3-pt jump shot from 25 ft,,26,13
95,1,1:03.0,,Defensive rebound by K. Oubre,26,13
96,1,1:03.0,,Personal foul by T. Johnson (drawn by K. Oubre),26,13
97,1,1:03.0,,K. Oubre makes free throw 1 of 2,26,14
98,1,1:03.0,J. Richardson enters the game for D. Waiters,,26,14
99,1,1:03.0,,K. Oubre makes free throw 2 of 2,26,15
100,1,0:46.0,J. Johnson misses 2-pt dunk from 1 ft (block by I. Mahinmi),,26,15
101,1,0:43.0,,Defensive rebound by K. Oubre,26,15
102,1,0:27.0,,I. Mahinmi misses 2-pt layup from 4 ft (block by K. Olynyk),26,15
103,1,0:25.0,Defensive rebound by J. Johnson,,26,15
104,1,0:07.0,Turnover by T. Johnson (out of bounds lost ball),,26,15
105,1,0:00.0,,M. Scott makes 2-pt jump shot from 17 ft (assist by K. Oubre),26,17
106,2,11:38.0,J. Richardson misses 3-pt jump shot from 31 ft,,26,17
107,2,11:33.0,Offensive rebound by K. Olynyk,,26,17
108,2,11:32.0,T. Johnson misses 3-pt jump shot from 27 ft,,26,17
109,2,11:29.0,,Defensive rebound by T. Frazier,26,17
110,2,11:13.0,,Turnover by K. Oubre (bad pass; steal by J. Winslow),26,17
111,2,10:54.0,J. Richardson misses 2-pt layup from 3 ft,,26,17
112,2,10:54.0,Offensive rebound by Team,,26,17
113,2,10:53.0,K. Olynyk misses 2-pt jump shot from 13 ft,,26,17
114,2,10:49.0,,Defensive rebound by K. Oubre,26,17
115,2,10:38.0,,T. Frazier misses 3-pt jump shot from 26 ft (block by T. Johnson),26,17
116,2,10:34.0,,Offensive rebound by I. Mahinmi,26,17
117,2,10:33.0,,I. Mahinmi makes 2-pt hook shot from 9 ft,26,19
118,2,10:21.0,J. Winslow makes 2-pt dunk from 2 ft (assist by T. Johnson),,28,19
119,2,10:04.0,,Offensive foul by M. Scott (drawn by J. Winslow),28,19
120,2,10:04.0,,Turnover by M. Scott (offensive foul),28,19
121,2,9:51.0,W. Ellington makes 3-pt jump shot from 25 ft,,31,19
122,2,9:51.0,Shooting foul by J. Meeks (drawn by W. Ellington),,31,19
123,2,9:51.0,W. Ellington makes free throw 1 of 1,,32,19
124,2,9:39.0,,K. Oubre misses 3-pt jump shot from 25 ft,32,19
125,2,9:34.0,Defensive rebound by T. Johnson,,32,19
126,2,9:27.0,T. Johnson misses 3-pt jump shot from 26 ft,,32,19
127,2,9:22.0,Offensive rebound by K. Olynyk,,32,19
128,2,9:21.0,Personal foul by T. Frazier (drawn by J. Winslow),,32,19
129,2,9:08.0,J. Winslow misses 3-pt jump shot from 24 ft,,32,19
130,2,9:04.0,,Defensive rebound by T. Frazier,32,19
131,2,8:57.0,,J. Meeks misses 3-pt jump shot from 26 ft,32,19
132,2,8:57.0,Defensive rebound by Team,,32,19
133,2,8:46.0,Turnover by K. Olynyk (turnover),,32,19
134,2,8:46.0,Loose ball foul by K. Olynyk (drawn by T. Frazier),,32,19
135,2,8:33.0,,K. Oubre misses 2-pt jump shot from 11 ft,32,19
136,2,8:31.0,Defensive rebound by J. Winslow,,32,19
137,2,8:26.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),,34,19
138,2,8:26.0,,Washington full timeout,34,19
139,2,8:04.0,,K. Oubre misses 3-pt jump shot from 23 ft,34,19
140,2,8:00.0,Defensive rebound by W. Ellington,,34,19
141,2,7:49.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by T. Johnson),,37,19
142,2,7:34.0,,M. Scott makes 2-pt jump shot from 5 ft (assist by T. Frazier),37,21
143,2,7:15.0,J. Winslow misses 2-pt jump shot from 3 ft (block by I. Mahinmi),,37,21
144,2,7:15.0,Offensive rebound by K. Olynyk,,37,21
145,2,7:09.0,J. Richardson makes 3-pt jump shot from 27 ft,,40,21
146,2,6:59.0,,T. Frazier misses 2-pt layup from 1 ft,40,21
147,2,6:59.0,,Offensive rebound by K. Oubre,40,21
148,2,6:56.0,,K. Oubre misses 2-pt layup at rim,40,21
149,2,6:54.0,Defensive rebound by J. Winslow,,40,21
