,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:44.0,,Turnover by E. Payton (bad pass; steal by D. Mitchell),0,0
1,1,11:23.0,R. Rubio misses 2-pt layup from 3 ft,,0,0
2,1,11:19.0,Offensive rebound by R. Rubio,,0,0
3,1,11:09.0,D. Favors makes 2-pt jump shot from 13 ft (assist by R. Rubio),,2,0
4,1,10:52.0,,N. Vučević makes 2-pt hook shot from 9 ft,2,2
5,1,10:32.0,D. Mitchell makes 2-pt layup from 1 ft (assist by D. Favors),,4,2
6,1,10:26.0,,Turnover by T. Ross (step out of bounds),4,2
7,1,10:06.0,J. Jerebko makes 2-pt jump shot from 8 ft (assist by J. Ingles),,6,2
8,1,9:56.0,,Personal foul by R. Rubio (drawn by E. Payton),6,2
9,1,9:48.0,,E. Fournier misses 3-pt jump shot from 25 ft,6,2
10,1,9:43.0,Defensive rebound by D. Favors,,6,2
11,1,9:38.0,Shooting foul by E. Payton (drawn by R. Rubio),,6,2
12,1,9:38.0,R. Rubio makes free throw 1 of 2,,7,2
13,1,9:38.0,R. Rubio makes free throw 2 of 2,,8,2
14,1,9:29.0,,E. Payton misses 2-pt jump shot from 9 ft,8,2
15,1,9:25.0,,Offensive rebound by N. Vučević,8,2
16,1,9:24.0,,A. Gordon misses 2-pt layup at rim,8,2
17,1,9:23.0,,Offensive rebound by A. Gordon,8,2
18,1,9:23.0,,A. Gordon makes 2-pt layup at rim,8,4
19,1,9:09.0,Shooting foul by N. Vučević (drawn by D. Favors),,8,4
20,1,9:09.0,D. Favors makes free throw 1 of 2,,9,4
21,1,9:09.0,D. Favors makes free throw 2 of 2,,10,4
22,1,8:55.0,,E. Fournier makes 3-pt jump shot from 25 ft,10,7
23,1,8:40.0,J. Ingles misses 3-pt jump shot from 23 ft,,10,7
24,1,8:37.0,,Defensive rebound by A. Gordon,10,7
25,1,8:33.0,,A. Gordon makes 2-pt jump shot from 17 ft,10,9
26,1,8:18.0,R. Rubio makes 2-pt jump shot from 19 ft,,12,9
27,1,8:07.0,,E. Fournier misses 2-pt jump shot from 20 ft,12,9
28,1,8:04.0,Defensive rebound by J. Ingles,,12,9
29,1,7:47.0,R. Rubio misses 3-pt jump shot from 26 ft,,12,9
30,1,7:44.0,,Defensive rebound by N. Vučević,12,9
31,1,7:36.0,,Personal foul by R. Rubio (drawn by N. Vučević),12,9
32,1,7:36.0,,Orlando full timeout,12,9
33,1,7:23.0,,A. Gordon makes 2-pt jump shot from 18 ft,12,11
34,1,7:06.0,R. Rubio makes 2-pt jump shot from 21 ft (assist by J. Ingles),,14,11
35,1,6:54.0,,T. Ross misses 2-pt jump shot from 7 ft (block by D. Favors),14,11
36,1,6:49.0,Defensive rebound by D. Favors,,14,11
37,1,6:47.0,Turnover by D. Mitchell (bad pass; steal by E. Payton),,14,11
38,1,6:44.0,Offensive charge foul by A. Gordon,,14,11
39,1,6:44.0,,Turnover by A. Gordon (offensive foul),14,11
40,1,6:44.0,,Technical foul by A. Gordon,14,11
41,1,6:44.0,D. Mitchell makes technical free throw,,15,11
42,1,6:44.0,R. Hood enters the game for R. Rubio,,15,11
43,1,6:33.0,Turnover by J. Ingles (bad pass; steal by N. Vučević),,15,11
44,1,6:21.0,,A. Gordon misses 3-pt jump shot from 23 ft,15,11
45,1,6:17.0,Defensive rebound by R. Hood,,15,11
46,1,6:03.0,D. Mitchell misses 2-pt layup from 4 ft,,15,11
47,1,5:58.0,Offensive rebound by D. Favors,,15,11
48,1,5:58.0,D. Favors makes 2-pt dunk at rim,,17,11
49,1,5:49.0,,E. Fournier misses 2-pt jump shot from 17 ft,17,11
50,1,5:49.0,Defensive rebound by J. Jerebko,,17,11
51,1,5:32.0,J. Ingles misses 2-pt jump shot from 19 ft,,17,11
52,1,5:30.0,,Defensive rebound by A. Gordon,17,11
53,1,5:23.0,,A. Gordon makes 2-pt jump shot from 14 ft,17,13
54,1,5:10.0,Personal foul by E. Fournier (drawn by J. Ingles),,17,13
55,1,5:10.0,,J. Simmons enters the game for T. Ross,17,13
56,1,5:10.0,T. Sefolosha enters the game for J. Jerebko,,17,13
57,1,4:54.0,Turnover by R. Hood (lost ball; steal by N. Vučević),,17,13
58,1,4:46.0,,E. Payton makes 2-pt layup from 3 ft (assist by E. Fournier),17,15
59,1,4:23.0,T. Sefolosha misses 2-pt jump shot from 18 ft,,17,15
60,1,4:19.0,,Defensive rebound by E. Payton,17,15
61,1,4:17.0,,Shooting foul by D. Favors (drawn by E. Fournier),17,15
62,1,4:17.0,,E. Fournier makes free throw 1 of 1,17,16
63,1,4:17.0,A. Burks enters the game for J. Ingles,,17,16
64,1,4:17.0,,E. Fournier makes free throw 2 of 2,17,17
65,1,4:05.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by D. Favors),,20,17
66,1,3:55.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Payton),20,20
67,1,3:43.0,D. Favors makes 2-pt layup from 4 ft (assist by R. Hood),,22,20
68,1,3:43.0,Shooting foul by E. Fournier (drawn by D. Favors),,22,20
69,1,3:43.0,,A. Afflalo enters the game for E. Payton,22,20
70,1,3:43.0,,D. Augustin enters the game for E. Fournier,22,20
71,1,3:43.0,D. Favors makes free throw 1 of 1,,23,20
72,1,3:30.0,,N. Vučević misses 2-pt jump shot from 15 ft,23,20
73,1,3:25.0,Defensive rebound by T. Sefolosha,,23,20
74,1,3:19.0,Turnover by A. Burks (lost ball; steal by J. Simmons),,23,20
75,1,3:04.0,,Shooting foul by D. Mitchell (drawn by A. Gordon),23,20
76,1,3:04.0,,A. Gordon makes free throw 1 of 2,23,21
77,1,3:04.0,Utah full timeout,,23,21
78,1,3:04.0,E. Udoh enters the game for D. Favors,,23,21
79,1,3:04.0,R. Neto enters the game for D. Mitchell,,23,21
80,1,3:04.0,,A. Gordon makes free throw 2 of 2,23,22
81,1,2:47.0,R. Hood misses 3-pt jump shot from 26 ft,,23,22
82,1,2:43.0,,Defensive rebound by A. Afflalo,23,22
83,1,2:26.0,,A. Gordon misses 3-pt jump shot from 26 ft,23,22
84,1,2:25.0,Defensive rebound by Team,,23,22
85,1,2:08.0,Shooting foul by J. Simmons (drawn by A. Burks),,23,22
86,1,2:08.0,A. Burks makes free throw 1 of 2,,24,22
87,1,2:08.0,A. Burks makes free throw 2 of 2,,25,22
88,1,1:59.0,,Shooting foul by E. Udoh (drawn by J. Simmons),25,22
89,1,1:59.0,,J. Simmons makes free throw 1 of 2,25,23
90,1,1:59.0,,B. Biyombo enters the game for N. Vučević,25,23
91,1,1:59.0,,J. Simmons makes free throw 2 of 2,25,24
92,1,1:48.0,R. Neto makes 2-pt jump shot from 14 ft,,27,24
93,1,1:36.0,,B. Biyombo misses 2-pt layup from 4 ft,27,24
94,1,1:32.0,Defensive rebound by A. Burks,,27,24
95,1,1:30.0,A. Burks misses 3-pt jump shot from 25 ft,,27,24
96,1,1:26.0,,Defensive rebound by A. Gordon,27,24
97,1,1:17.0,Offensive charge foul by D. Augustin (drawn by R. Neto),,27,24
98,1,1:17.0,,Turnover by D. Augustin (offensive foul),27,24
