,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
0,1,11:40.0,,R. Rubio misses 2-pt jump shot from 13 ft,0,0
1,1,11:37.0,Defensive rebound by B. Simmons,,0,0
2,1,11:23.0,B. Simmons misses 2-pt jump shot from 12 ft,,0,0
3,1,11:20.0,,Defensive rebound by R. Gobert,0,0
4,1,11:11.0,,R. Rubio misses 2-pt jump shot from 13 ft,0,0
5,1,11:11.0,,R. Gobert misses 2-pt layup from 2 ft,0,0
6,1,11:11.0,,Offensive rebound by Team,0,0
7,1,11:09.0,,Offensive rebound by R. Gobert,0,0
8,1,11:04.0,,Shooting foul by R. Covington (drawn by R. Hood),0,0
9,1,11:04.0,,R. Hood makes free throw 1 of 2,0,1
10,1,11:04.0,,R. Hood makes free throw 2 of 2,0,2
11,1,10:54.0,B. Simmons makes 2-pt dunk from 2 ft (assist by R. Holmes),,2,2
12,1,10:36.0,,R. Rubio misses 3-pt jump shot from 23 ft,2,2
13,1,10:33.0,Defensive rebound by R. Covington,,2,2
14,1,10:23.0,D. Šarić makes 2-pt jump shot from 20 ft (assist by R. Holmes),,4,2
15,1,10:03.0,,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),4,4
16,1,9:57.0,R. Holmes makes 2-pt dunk from 2 ft (assist by B. Simmons),,6,4
17,1,9:34.0,,Personal foul by R. Holmes (drawn by R. Gobert),6,4
18,1,9:26.0,,J. Ingles makes 3-pt jump shot from 25 ft,6,7
19,1,9:04.0,R. Holmes makes 2-pt layup from 2 ft,,8,7
20,1,8:51.0,,R. Rubio misses 2-pt jump shot from 20 ft,8,7
21,1,8:48.0,Defensive rebound by R. Holmes,,8,7
22,1,8:42.0,B. Simmons misses 2-pt jump shot from 15 ft,,8,7
23,1,8:38.0,Offensive rebound by B. Simmons,,8,7
24,1,8:25.0,Turnover by B. Simmons (bad pass; steal by R. Hood),,8,7
25,1,8:11.0,,R. Rubio misses 2-pt jump shot from 19 ft,8,7
26,1,8:07.0,Defensive rebound by R. Covington,,8,7
27,1,8:03.0,Personal foul by R. Hood (drawn by J. Redick),,8,7
28,1,8:03.0,T. McConnell enters the game for D. Šarić,,8,7
29,1,7:58.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,11,7
30,1,7:58.0,Shooting foul by D. Favors (drawn by R. Covington),,11,7
31,1,7:58.0,,Utah full timeout,11,7
32,1,7:58.0,T. Luwawu-Cabarrot enters the game for J. Redick,,11,7
33,1,7:58.0,R. Covington makes free throw 1 of 1,,12,7
34,1,7:44.0,,Def 3 sec tech foul by R. Holmes,12,7
35,1,7:44.0,,R. Rubio makes technical free throw,12,8
36,1,7:41.0,,D. Favors misses 2-pt dunk from 1 ft (block by B. Simmons),12,8
37,1,7:39.0,Defensive rebound by R. Holmes,,12,8
38,1,7:34.0,B. Simmons misses 2-pt hook shot from 6 ft,,12,8
39,1,7:32.0,Offensive rebound by Team,,12,8
40,1,7:32.0,,D. Mitchell enters the game for R. Rubio,12,8
41,1,7:15.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,,12,8
42,1,7:15.0,,Defensive rebound by Team,12,8
43,1,7:15.0,Loose ball foul by R. Holmes (drawn by R. Gobert),,12,8
44,1,7:15.0,A. Johnson enters the game for R. Holmes,,12,8
45,1,7:04.0,,D. Favors makes 2-pt hook shot from 6 ft,12,10
46,1,7:04.0,,Shooting foul by B. Simmons (drawn by D. Favors),12,10
47,1,7:04.0,,D. Favors misses free throw 1 of 1,12,10
48,1,7:02.0,,Offensive rebound by J. Ingles,12,10
49,1,7:00.0,,Turnover by J. Ingles (turnover),12,10
50,1,6:53.0,B. Simmons makes 2-pt jump shot from 15 ft,,14,10
51,1,6:35.0,Violation by B. Simmons (kicked ball),,14,10
52,1,6:26.0,,D. Mitchell misses 3-pt jump shot from 25 ft,14,10
53,1,6:23.0,Defensive rebound by R. Covington,,14,10
54,1,6:15.0,B. Simmons misses 2-pt jump shot from 9 ft,,14,10
55,1,6:13.0,Offensive rebound by A. Johnson,,14,10
56,1,6:12.0,A. Johnson misses 2-pt layup from 3 ft,,14,10
57,1,6:12.0,,Defensive rebound by R. Gobert,14,10
58,1,6:03.0,,Turnover by R. Gobert (offensive goaltending),14,10
59,1,6:03.0,D. Šarić enters the game for B. Simmons,,14,10
60,1,5:55.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. McConnell),,16,10
61,1,5:30.0,,J. Jerebko enters the game for D. Favors,16,10
62,1,5:26.0,,Shooting foul by A. Johnson (drawn by R. Gobert),16,10
